"","intera",".value",".lower",".upper",".width",".point",".interval"
"1","Bee.B - Bee.A",-0.105012362072304,-0.518188486519165,0.370175931491617,0.95,"mode","hdi"
"2","Bee.C - Bee.A",-0.35179391383794,-0.659350181916192,-0.0418467882784561,0.95,"mode","hdi"
"3","Bee.D - Bee.A",-0.318787474701027,-0.710131564924051,0.0504879011599531,0.95,"mode","hdi"
"4","Bee.E - Bee.A",-0.417984955321345,-0.857072252206452,0.0482691342411234,0.95,"mode","hdi"
"5","Coleoptera.A - Bee.A",-0.89236932389668,-1.0574054512779,-0.73187475545231,0.95,"mode","hdi"
"6","Coleoptera.B - Bee.A",-0.88078107729497,-1.36414180628731,-0.431446193816706,0.95,"mode","hdi"
"7","Coleoptera.C - Bee.A",-0.715138347478323,-1.00286151750771,-0.384748403799568,0.95,"mode","hdi"
"8","Coleoptera.D - Bee.A",-0.754073510645512,-1.25543364674385,-0.354629702834493,0.95,"mode","hdi"
"9","Coleoptera.E - Bee.A",-0.698197225078652,-1.46249688937932,0.0411601472755272,0.95,"mode","hdi"
"10","Diptera.A - Bee.A",-0.774674416593975,-0.9006001653886,-0.644015676891624,0.95,"mode","hdi"
"11","Diptera.B - Bee.A",-0.815339356047539,-1.2977712650254,-0.419331750384538,0.95,"mode","hdi"
"12","Diptera.C - Bee.A",-0.782126151339601,-1.06053260340765,-0.434690425199645,0.95,"mode","hdi"
"13","Diptera.D - Bee.A",-0.868906162512742,-1.25856519496506,-0.498686482495646,0.95,"mode","hdi"
"14","Diptera.E - Bee.A",-0.812600580523778,-1.15532715415073,-0.33576532469137,0.95,"mode","hdi"
"15","Hymenoptera.A - Bee.A",-0.766129621358933,-0.918643581546414,-0.600270678776933,0.95,"mode","hdi"
"16","Hymenoptera.B - Bee.A",-0.470979545690244,-0.940262594952717,-0.0438502778555248,0.95,"mode","hdi"
"17","Hymenoptera.C - Bee.A",-0.856733399211468,-1.17942582886709,-0.536701038088147,0.95,"mode","hdi"
"18","Hymenoptera.D - Bee.A",-1.13955948742914,-1.58851363124038,-0.637280210365943,0.95,"mode","hdi"
"19","Hymenoptera.E - Bee.A",-1.05148157508849,-1.5051924340262,-0.546489927265985,0.95,"mode","hdi"
"20","Lepidoptera.A - Bee.A",-0.970540177127029,-1.14146838653962,-0.818831067524622,0.95,"mode","hdi"
"21","Lepidoptera.B - Bee.A",-0.192017379050537,-0.657787088088803,0.267692516962684,0.95,"mode","hdi"
"22","Lepidoptera.C - Bee.A",-0.874907834575813,-1.12438244815165,-0.494673624842157,0.95,"mode","hdi"
"23","Lepidoptera.D - Bee.A",-0.964133135541537,-1.33202973129112,-0.541287797003229,0.95,"mode","hdi"
"24","Lepidoptera.E - Bee.A",-0.811131344511414,-1.28453691725397,-0.399318379183681,0.95,"mode","hdi"
"25","Syrphidae.A - Bee.A",-0.774970842457985,-0.975062747312771,-0.61200474804377,0.95,"mode","hdi"
"26","Syrphidae.B - Bee.A",-0.57018283050368,-1.07084955594672,-0.0374000665153833,0.95,"mode","hdi"
"27","Syrphidae.C - Bee.A",-0.405070346831852,-0.724318914806945,-0.0335340807147824,0.95,"mode","hdi"
"28","Syrphidae.D - Bee.A",-0.535911874175476,-0.977789014043157,-0.0504246838955098,0.95,"mode","hdi"
"29","Syrphidae.E - Bee.A",-0.13862203281564,-0.669606242871361,0.341788944263134,0.95,"mode","hdi"
"30","Bee.C - Bee.B",-0.294360276282344,-0.71632034982678,0.0792739891461731,0.95,"mode","hdi"
"31","Bee.D - Bee.B",-0.274067293732212,-0.705431638224357,0.176650009896032,0.95,"mode","hdi"
"32","Bee.E - Bee.B",-0.314434130188559,-0.810929177170012,0.0913154152229536,0.95,"mode","hdi"
"33","Coleoptera.A - Bee.B",-0.784328379233194,-1.29014518998537,-0.381233020324636,0.95,"mode","hdi"
"34","Coleoptera.B - Bee.B",-0.843775601815425,-1.08725198809506,-0.580614437988782,0.95,"mode","hdi"
"35","Coleoptera.C - Bee.B",-0.636080068504768,-1.0289008692822,-0.236450375868298,0.95,"mode","hdi"
"36","Coleoptera.D - Bee.B",-0.717044271574728,-1.2137200865652,-0.211110564030806,0.95,"mode","hdi"
"37","Coleoptera.E - Bee.B",-0.716345376206467,-1.38048848107291,0.101722468554534,0.95,"mode","hdi"
"38","Diptera.A - Bee.B",-0.666713551003754,-1.13218509042007,-0.229467474217954,0.95,"mode","hdi"
"39","Diptera.B - Bee.B",-0.761978360590804,-0.976246604290711,-0.570557154718081,0.95,"mode","hdi"
"40","Diptera.C - Bee.B",-0.665797188661913,-1.08225665903175,-0.292881989453535,0.95,"mode","hdi"
"41","Diptera.D - Bee.B",-0.750368709667944,-1.23147665667109,-0.362218681586881,0.95,"mode","hdi"
"42","Diptera.E - Bee.B",-0.685808295989386,-1.12498575372476,-0.292882656116756,0.95,"mode","hdi"
"43","Hymenoptera.A - Bee.B",-0.720620746741374,-1.14022502510964,-0.236447651061479,0.95,"mode","hdi"
"44","Hymenoptera.B - Bee.B",-0.406027677929098,-0.628689024122268,-0.190415973256517,0.95,"mode","hdi"
"45","Hymenoptera.C - Bee.B",-0.777729063343526,-1.17374010239935,-0.379890123696588,0.95,"mode","hdi"
"46","Hymenoptera.D - Bee.B",-1.04432997658714,-1.62341753485269,-0.585663325901307,0.95,"mode","hdi"
"47","Hymenoptera.E - Bee.B",-0.998538881760346,-1.44733875229116,-0.475072095559807,0.95,"mode","hdi"
"48","Lepidoptera.A - Bee.B",-0.888982502985209,-1.33057063178937,-0.425908465451475,0.95,"mode","hdi"
"49","Lepidoptera.B - Bee.B",-0.142302879493704,-0.376744332116552,0.125014131748059,0.95,"mode","hdi"
"50","Lepidoptera.C - Bee.B",-0.766846022113767,-1.14711865292747,-0.366034212782097,0.95,"mode","hdi"
"51","Lepidoptera.D - Bee.B",-0.873609506540051,-1.31996073173004,-0.421631897794481,0.95,"mode","hdi"
"52","Lepidoptera.E - Bee.B",-0.80418137131084,-1.20556252431181,-0.289637292195645,0.95,"mode","hdi"
"53","Syrphidae.A - Bee.B",-0.735732455855753,-1.17254550674903,-0.260296044092129,0.95,"mode","hdi"
"54","Syrphidae.B - Bee.B",-0.413717627030222,-0.803285482561998,-0.107849168685174,0.95,"mode","hdi"
"55","Syrphidae.C - Bee.B",-0.318258436069981,-0.72984838645065,0.105091149873882,0.95,"mode","hdi"
"56","Syrphidae.D - Bee.B",-0.410327473032817,-0.963290835028614,0.0592017118052017,0.95,"mode","hdi"
"57","Syrphidae.E - Bee.B",-0.103587103269386,-0.611783018602089,0.4169416113337,0.95,"mode","hdi"
