"","Network","PolOrder","int_tot","Reference","Latitude","Longitude","clim","Estimate","Est.Error","Q2.5","Q97.5"
"1","Bartomeu_BA","Bee",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.08475,1.85051980356489,0,7
"2","Bartomeu_BA","Coleoptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.6205,1.19345541766691,0,4
"3","Bartomeu_BA","Diptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.57275,1.16771071956249,0,4
"4","Bartomeu_BA","Hymenoptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.54275,1.05945884807419,0,4
"5","Bartomeu_BA","Lepidoptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.4885,0.99025900815181,0,3
"6","Bartomeu_FR","Bee",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.79775,1.43417542591137,0,5
"7","Bartomeu_FR","Coleoptera",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.43725,0.904857518774266,0,3
"8","Bartomeu_FR","Hymenoptera",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.37875,0.830945879864517,0,3
"9","Bartomeu_FR","Syrphidae",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.738,1.37652813535607,0,5
"10","Bartomeu_M1","Bee",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.09875,1.87213104673899,0,6
"11","Bartomeu_M1","Coleoptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.61975,1.22577957700104,0,4
"12","Bartomeu_M1","Diptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.56925,1.10000315419312,0,4
"13","Bartomeu_M1","Hymenoptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.5025,1.00610477173251,0,3
"14","Bartomeu_M1","Lepidoptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.49775,0.991332750722815,0,3
"15","Bartomeu_M3","Bee",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.3385,2.24803940585849,0,8
"16","Bartomeu_M3","Coleoptera",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.75225,1.41186694825323,0,4
"17","Bartomeu_M3","Diptera",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.65075,1.25525629039995,0,4
"18","Bartomeu_M3","Lepidoptera",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.54325,1.06438370227396,0,4
"19","Bartomeu_M3","Syrphidae",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.18475,2.10730339994146,0,7
"20","Bartomeu_MI","Bee",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.09325,1.89418885683459,0,6
"21","Bartomeu_MI","Coleoptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.6295,1.23434624504762,0,4
"22","Bartomeu_MI","Diptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.575,1.12547397700623,0,4
"23","Bartomeu_MI","Hymenoptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.54725,1.05737739205891,0,4
"24","Bartomeu_MI","Lepidoptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.49325,1.0048417110252,0,3
"25","Bartomeu_MI","Syrphidae",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.0875,1.86123878168563,0,6
"26","Bartomeu_SE","Bee",32,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.9465,1.67789796632464,0,6
"27","Bartomeu_SE","Coleoptera",32,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.556,1.07919190313445,0,4
"28","Bartomeu_SE","Hymenoptera",32,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.416,0.867831944025321,0,3
"29","benadi_14_1","Bee",470,"Benadi_etal_2014",47.64917,13.105,"C",2.21025,3.51135690927825,0,12
"30","benadi_14_1","Diptera",470,"Benadi_etal_2014",47.64917,13.105,"C",1.184,2.01187870260075,0,7
"31","benadi_14_1","Lepidoptera",470,"Benadi_etal_2014",47.64917,13.105,"C",0.95475,1.6937885545182,0,6
"32","benadi_14_1","Syrphidae",470,"Benadi_etal_2014",47.64917,13.105,"C",1.93475,3.13511557600653,0,11
"33","benadi_14_2","Bee",424,"Benadi_etal_2014",47.598,12.89722,"D",2.8775,4.49906147307798,0,16
"34","benadi_14_2","Diptera",424,"Benadi_etal_2014",47.598,12.89722,"D",1.2655,2.14304874290778,0,7
"35","benadi_14_2","Lepidoptera",424,"Benadi_etal_2014",47.598,12.89722,"D",0.89975,1.63044918002131,0,5
"36","benadi_14_2","Syrphidae",424,"Benadi_etal_2014",47.598,12.89722,"D",1.88075,3.07837595773068,0,10.0250000000001
"37","benadi_14_3","Bee",356,"Benadi_etal_2014",47.58194,12.93417,"D",2.33575,3.70174927222504,0,12
"38","benadi_14_3","Diptera",356,"Benadi_etal_2014",47.58194,12.93417,"D",1.06625,1.77049275588737,0,6
"39","benadi_14_3","Lepidoptera",356,"Benadi_etal_2014",47.58194,12.93417,"D",0.72025,1.38725306100358,0,5
"40","benadi_14_3","Syrphidae",356,"Benadi_etal_2014",47.58194,12.93417,"D",1.53975,2.52031901541945,0,9
"41","benadi_14_4","Bee",359,"Benadi_etal_2014",47.69056,13.03056,"C",2.2255,3.48442033145566,0,12
"42","benadi_14_4","Diptera",359,"Benadi_etal_2014",47.69056,13.03056,"C",1.1165,1.89177759147684,0,7
"43","benadi_14_4","Lepidoptera",359,"Benadi_etal_2014",47.69056,13.03056,"C",0.97575,1.6747725676307,0,6
"44","benadi_14_4","Syrphidae",359,"Benadi_etal_2014",47.69056,13.03056,"C",2.13425,3.38859817430405,0,12
"45","benadi_14_5","Bee",382,"Benadi_etal_2014",47.67528,13.14139,"C",2.60575,4.04331597064954,0,14
"46","benadi_14_5","Diptera",382,"Benadi_etal_2014",47.67528,13.14139,"C",1.34825,2.26919793149762,0,8
"47","benadi_14_5","Lepidoptera",382,"Benadi_etal_2014",47.67528,13.14139,"C",1.13425,1.88695974831816,0,7
"48","benadi_14_5","Syrphidae",382,"Benadi_etal_2014",47.67528,13.14139,"C",2.2915,3.56464646579524,0,12.0250000000001
"49","benadi_14_6","Bee",239,"Benadi_etal_2014",47.69694,12.94778,"D",2.29975,3.72046507880408,0,13
"50","benadi_14_6","Diptera",239,"Benadi_etal_2014",47.69694,12.94778,"D",1.03825,1.80861956023881,0,6
