intera,.value,.lower,.upper,.width,.point,.interval,grp
Coleoptera.E - Bee.C,-2.016045631,-3.127718593,-1.242322488,0.95,mode,hdi,
Coleoptera.E - Bee.D,-2.296857963,-3.240689365,-1.226819159,0.95,mode,hdi,
Coleoptera.E - Bee.E,-1.15676974,-2.20552415,-0.162787267,0.95,mode,hdi,1
Diptera.A - Bee.A,-0.151759931,-0.349518464,0.05696549,0.95,mode,hdi,1
Diptera.A - Bee.B,0.015773265,-0.311993148,0.404237156,0.95,mode,hdi,
Diptera.A - Bee.C,-0.309222168,-0.549311902,-0.080238447,0.95,mode,hdi,
Diptera.A - Bee.D,-0.423822502,-0.837912478,-0.01871105,0.95,mode,hdi,
Diptera.A - Bee.E,0.584481667,0.18195415,1.148346662,0.95,mode,hdi,
Diptera.A - Coleoptera.A,1.01061199,0.784944221,1.27772298,0.95,mode,hdi,1
Diptera.A - Coleoptera.B,0.738027559,0.390449699,1.229872113,0.95,mode,hdi,
Diptera.A - Coleoptera.C,0.595827209,0.300161367,0.874093919,0.95,mode,hdi,
Diptera.A - Coleoptera.D,1.145008564,0.380447148,2.161359974,0.95,mode,hdi,
Diptera.A - Coleoptera.E,1.665329969,0.955617944,2.860233991,0.95,mode,hdi,
Diptera.B - Bee.A,-0.073380411,-0.430331779,0.269233829,0.95,mode,hdi,
Diptera.B - Bee.B,0.105505777,-0.313488936,0.544692862,0.95,mode,hdi,1
Diptera.B - Bee.C,-0.276457872,-0.606249578,0.112790717,0.95,mode,hdi,
Diptera.B - Bee.D,-0.356980457,-0.836155236,0.135651195,0.95,mode,hdi,
Diptera.B - Bee.E,0.736437697,0.155034189,1.255677988,0.95,mode,hdi,
Diptera.B - Coleoptera.A,1.13443926,0.749690361,1.501324686,0.95,mode,hdi,
Diptera.B - Coleoptera.B,0.908510678,0.40200751,1.371103948,0.95,mode,hdi,1
Diptera.B - Coleoptera.C,0.67174591,0.292331562,1.073846766,0.95,mode,hdi,
Diptera.B - Coleoptera.D,1.320812142,0.493109335,2.303915476,0.95,mode,hdi,1
Diptera.B - Coleoptera.E,1.844480616,0.920537934,2.880561576,0.95,mode,hdi,
Diptera.C - Bee.A,-0.619677665,-0.882342696,-0.346791768,0.95,mode,hdi,
Diptera.C - Bee.B,-0.400071964,-0.796935498,-0.036375355,0.95,mode,hdi,
Diptera.C - Bee.C,-0.790577252,-1.061672572,-0.535507952,0.95,mode,hdi,1
Diptera.C - Bee.D,-0.892459429,-1.327119382,-0.461289482,0.95,mode,hdi,
Diptera.C - Bee.E,0.180221587,-0.30864465,0.663392539,0.95,mode,hdi,
Diptera.C - Coleoptera.A,0.578216619,0.276391235,0.86054096,0.95,mode,hdi,
Diptera.C - Coleoptera.B,0.307369638,-0.103309626,0.752175348,0.95,mode,hdi,
Diptera.C - Coleoptera.C,0.125887594,-0.170002876,0.429770107,0.95,mode,hdi,1
Diptera.C - Coleoptera.D,0.671114637,-0.061928453,1.695306155,0.95,mode,hdi,
Diptera.C - Coleoptera.E,1.200569965,0.448659199,2.380502908,0.95,mode,hdi,
Diptera.D - Bee.A,-0.372511738,-0.910114955,0.054281771,0.95,mode,hdi,
Diptera.D - Bee.B,-0.184903087,-0.73377142,0.360782906,0.95,mode,hdi,
Diptera.D - Bee.C,-0.58027293,-1.058935476,-0.132746427,0.95,mode,hdi,
Diptera.D - Bee.D,-0.691475037,-1.26520243,-0.128734815,0.95,mode,hdi,1
Diptera.D - Bee.E,0.36823645,-0.251519566,1.029317329,0.95,mode,hdi,
Diptera.D - Coleoptera.A,0.733513564,0.273635259,1.257421568,0.95,mode,hdi,
Diptera.D - Coleoptera.B,0.529252009,-0.048718967,1.116076049,0.95,mode,hdi,
