intera,.value,.lower,.upper,.width,.point,.interval,grp
Syrphidae.A - Diptera.E,-1.398532179,-1.832377928,-0.985024717,0.95,mode,hdi,
Syrphidae.A - Hymenoptera.A,0.125112678,-0.152370915,0.400015896,0.95,mode,hdi,1
Syrphidae.A - Hymenoptera.B,-0.669254168,-1.04834141,-0.27753087,0.95,mode,hdi,
Syrphidae.A - Hymenoptera.C,0.331136197,-0.027821234,0.597506032,0.95,mode,hdi,
Syrphidae.A - Hymenoptera.D,0.636026088,-0.011374668,1.473511121,0.95,mode,hdi,
Syrphidae.A - Hymenoptera.E,0.355571012,-0.212006931,1.008988135,0.95,mode,hdi,
Syrphidae.A - Lepidoptera.A,0.142595017,-0.166910555,0.419448845,0.95,mode,hdi,1
Syrphidae.A - Lepidoptera.B,0.590514271,0.100338075,1.138533489,0.95,mode,hdi,
Syrphidae.A - Lepidoptera.C,0.278684712,-0.044300773,0.576080093,0.95,mode,hdi,
Syrphidae.A - Lepidoptera.D,0.131820369,-0.399674215,0.75581901,0.95,mode,hdi,
Syrphidae.A - Lepidoptera.E,-0.020987141,-0.510565539,0.481809663,0.95,mode,hdi,
Syrphidae.B - Bee.A,-1.489756984,-1.938405548,-0.976272838,0.95,mode,hdi,
Syrphidae.B - Bee.B,-1.249997776,-1.790872322,-0.741317342,0.95,mode,hdi,1
Syrphidae.B - Bee.C,-1.590215483,-2.133837002,-1.170978076,0.95,mode,hdi,
Syrphidae.B - Bee.D,-1.685674029,-2.295709059,-1.127835926,0.95,mode,hdi,
Syrphidae.B - Bee.E,-0.694761254,-1.32570019,-0.037055969,0.95,mode,hdi,
Syrphidae.B - Coleoptera.A,-0.305107018,-0.76588345,0.222751518,0.95,mode,hdi,
Syrphidae.B - Coleoptera.B,-0.504257791,-1.101985634,0.061478469,0.95,mode,hdi,1
Syrphidae.B - Coleoptera.C,-0.739303208,-1.238831319,-0.243330421,0.95,mode,hdi,
Syrphidae.B - Coleoptera.D,-0.14305055,-1.024383435,0.912457911,0.95,mode,hdi,
Syrphidae.B - Coleoptera.E,0.350706304,-0.529889375,1.495078505,0.95,mode,hdi,
Syrphidae.B - Diptera.A,-1.296863786,-1.806921338,-0.859123516,0.95,mode,hdi,
Syrphidae.B - Diptera.B,-1.390979325,-1.916327039,-0.864417117,0.95,mode,hdi,1
Syrphidae.B - Diptera.C,-0.830247244,-1.343633356,-0.35358628,0.95,mode,hdi,
Syrphidae.B - Diptera.D,-1.134078492,-1.675227186,-0.406427262,0.95,mode,hdi,
Syrphidae.B - Diptera.E,-1.924581324,-2.554476158,-1.399859861,0.95,mode,hdi,
Syrphidae.B - Hymenoptera.A,-0.348246387,-0.891688342,0.103747451,0.95,mode,hdi,
Syrphidae.B - Hymenoptera.B,-1.172888147,-1.709416273,-0.632389208,0.95,mode,hdi,1
Syrphidae.B - Hymenoptera.C,-0.193127025,-0.781960761,0.241875874,0.95,mode,hdi,
Syrphidae.B - Hymenoptera.D,0.070712441,-0.683030006,1.019985943,0.95,mode,hdi,
Syrphidae.B - Hymenoptera.E,-0.243789724,-0.93460233,0.561304452,0.95,mode,hdi,
Syrphidae.B - Lepidoptera.A,-0.316472731,-0.901204995,0.086817798,0.95,mode,hdi,
Syrphidae.B - Lepidoptera.B,0.085960411,-0.575354422,0.734271838,0.95,mode,hdi,1
Syrphidae.B - Lepidoptera.C,-0.213226814,-0.737575852,0.261820234,0.95,mode,hdi,
Syrphidae.B - Lepidoptera.D,-0.362958885,-1.029283726,0.402217914,0.95,mode,hdi,
Syrphidae.B - Lepidoptera.E,-0.526650904,-1.233401742,0.0848804,0.95,mode,hdi,
Syrphidae.C - Bee.A,-0.612847008,-0.899989843,-0.341326025,0.95,mode,hdi,
Syrphidae.C - Bee.B,-0.41269028,-0.795146357,-0.012114819,0.95,mode,hdi,
Syrphidae.C - Bee.C,-0.791404996,-1.088738063,-0.533681262,0.95,mode,hdi,1
Syrphidae.C - Bee.D,-0.92056832,-1.359625601,-0.485461763,0.95,mode,hdi,
Syrphidae.C - Bee.E,0.14932611,-0.343006597,0.658035718,0.95,mode,hdi,
Syrphidae.C - Coleoptera.A,0.554858758,0.274192785,0.890259899,0.95,mode,hdi,
Syrphidae.C - Coleoptera.B,0.288741765,-0.085484383,0.775655004,0.95,mode,hdi,
Syrphidae.C - Coleoptera.C,0.144119495,-0.20891137,0.425546123,0.95,mode,hdi,1
Syrphidae.C - Coleoptera.D,0.601606485,-0.095385163,1.684099683,0.95,mode,hdi,
Syrphidae.C - Coleoptera.E,1.320017521,0.420145922,2.297424155,0.95,mode,hdi,
Syrphidae.C - Diptera.A,-0.452142114,-0.747021359,-0.188899383,0.95,mode,hdi,
Syrphidae.C - Diptera.B,-0.552618243,-0.964666943,-0.183238616,0.95,mode,hdi,
Syrphidae.C - Diptera.C,-0.018187644,-0.298085892,0.303446415,0.95,mode,hdi,1
Syrphidae.C - Diptera.D,-0.204531299,-0.701974587,0.300274995,0.95,mode,hdi,
Syrphidae.C - Diptera.E,-1.077089417,-1.524797884,-0.685301094,0.95,mode,hdi,
Syrphidae.C - Hymenoptera.A,0.485117763,0.146719274,0.782692611,0.95,mode,hdi,
Syrphidae.C - Hymenoptera.B,-0.307560183,-0.704044188,0.105431557,0.95,mode,hdi,
Syrphidae.C - Hymenoptera.C,0.605548794,0.300495986,0.939924154,0.95,mode,hdi,1
Syrphidae.C - Hymenoptera.D,0.896026805,0.313678658,1.824229696,0.95,mode,hdi,
Syrphidae.C - Hymenoptera.E,0.755650715,0.098786892,1.337375054,0.95,mode,hdi,
Syrphidae.C - Lepidoptera.A,0.467871317,0.122310016,0.757092129,0.95,mode,hdi,
Syrphidae.C - Lepidoptera.B,0.880443586,0.424276046,1.467315371,0.95,mode,hdi,
Syrphidae.C - Lepidoptera.C,0.617037991,0.284073698,0.936354871,0.95,mode,hdi,1
Syrphidae.C - Lepidoptera.D,0.5285386,-0.040379661,1.124477381,0.95,mode,hdi,
Syrphidae.C - Lepidoptera.E,0.288616707,-0.214379611,0.817772295,0.95,mode,hdi,
Syrphidae.D - Bee.A,0.090034255,-0.364994312,0.496572234,0.95,mode,hdi,
Syrphidae.D - Bee.B,0.349323567,-0.217889253,0.805502186,0.95,mode,hdi,
Syrphidae.D - Bee.C,-0.053787412,-0.499233409,0.347214074,0.95,mode,hdi,
Syrphidae.D - Bee.D,-0.138788684,-0.718343872,0.345979854,0.95,mode,hdi,1
Syrphidae.D - Bee.E,0.850609859,0.305821729,1.487464533,0.95,mode,hdi,
Syrphidae.D - Coleoptera.A,1.332629427,0.853716382,1.743530728,0.95,mode,hdi,
Syrphidae.D - Coleoptera.B,1.098765002,0.50730251,1.591652737,0.95,mode,hdi,
Syrphidae.D - Coleoptera.C,0.825276093,0.382265331,1.28049878,0.95,mode,hdi,
Syrphidae.D - Coleoptera.D,1.349374608,0.556589972,2.452683677,0.95,mode,hdi,1
Syrphidae.D - Coleoptera.E,1.97654704,1.102850823,3.15810794,0.95,mode,hdi,
Syrphidae.D - Diptera.A,0.269535993,-0.16647682,0.695292332,0.95,mode,hdi,
Syrphidae.D - Diptera.B,0.165683158,-0.319173221,0.701972225,0.95,mode,hdi,
Syrphidae.D - Diptera.C,0.698526302,0.268118729,1.159895576,0.95,mode,hdi,
Syrphidae.D - Diptera.D,0.509512792,-0.113271577,1.085072782,0.95,mode,hdi,1
Syrphidae.D - Diptera.E,-0.416552873,-0.904161884,0.127240212,0.95,mode,hdi,
Syrphidae.D - Hymenoptera.A,1.211366567,0.692542952,1.594633824,0.95,mode,hdi,
Syrphidae.D - Hymenoptera.B,0.4066009,-0.140433031,0.896803023,0.95,mode,hdi,
Syrphidae.D - Hymenoptera.C,1.362575147,0.873849003,1.808429616,0.95,mode,hdi,
Syrphidae.D - Hymenoptera.D,1.707922804,0.92863234,2.560668508,0.95,mode,hdi,1
Syrphidae.D - Hymenoptera.E,1.433385189,0.748505014,2.147285202,0.95,mode,hdi,
Syrphidae.D - Lepidoptera.A,1.151612746,0.675057268,1.60898147,0.95,mode,hdi,
Syrphidae.D - Lepidoptera.B,1.63061312,0.99789854,2.255568852,0.95,mode,hdi,
Syrphidae.D - Lepidoptera.C,1.368270607,0.897710104,1.811447412,0.95,mode,hdi,
Syrphidae.D - Lepidoptera.D,1.109980315,0.553204396,1.899433437,0.95,mode,hdi,1
Syrphidae.D - Lepidoptera.E,1.049744212,0.415690223,1.635882216,0.95,mode,hdi,
Syrphidae.E - Bee.A,-0.885629242,-1.512188267,-0.420732242,0.95,mode,hdi,
Syrphidae.E - Bee.B,-0.798735602,-1.381161879,-0.173903007,0.95,mode,hdi,
Syrphidae.E - Bee.C,-1.144338325,-1.688372496,-0.627514083,0.95,mode,hdi,
Syrphidae.E - Bee.D,-1.235469241,-1.901552773,-0.615974232,0.95,mode,hdi,
Syrphidae.E - Bee.E,-0.20544026,-0.841857944,0.520766639,0.95,mode,hdi,1
Syrphidae.E - Coleoptera.A,0.229231926,-0.332037144,0.771017821,0.95,mode,hdi,
Syrphidae.E - Coleoptera.B,0.034117143,-0.678321662,0.607271507,0.95,mode,hdi,
Syrphidae.E - Coleoptera.C,-0.196863178,-0.778737551,0.34325512,0.95,mode,hdi,
Syrphidae.E - Coleoptera.D,0.453987492,-0.583512997,1.397420263,0.95,mode,hdi,
Syrphidae.E - Coleoptera.E,1.082106976,-0.081244461,2.086503589,0.95,mode,hdi,1
Syrphidae.E - Diptera.A,-0.794588804,-1.367116744,-0.307550443,0.95,mode,hdi,
Syrphidae.E - Diptera.B,-0.800236643,-1.534708318,-0.336349702,0.95,mode,hdi,
Syrphidae.E - Diptera.C,-0.3211572,-0.90017789,0.202647407,0.95,mode,hdi,
Syrphidae.E - Diptera.D,-0.584431239,-1.226294617,0.095599878,0.95,mode,hdi,
Syrphidae.E - Diptera.E,-1.388977691,-2.067395742,-0.854172327,0.95,mode,hdi,1
Syrphidae.E - Hymenoptera.A,0.166534191,-0.459433947,0.647094088,0.95,mode,hdi,
Syrphidae.E - Hymenoptera.B,-0.595068114,-1.319477916,-0.106636801,0.95,mode,hdi,
Syrphidae.E - Hymenoptera.C,0.323503377,-0.290250768,0.813382941,0.95,mode,hdi,
Syrphidae.E - Hymenoptera.D,0.696100258,-0.137110291,1.620271066,0.95,mode,hdi,
Syrphidae.E - Hymenoptera.E,0.419439663,-0.396853198,1.109391418,0.95,mode,hdi,1
Syrphidae.E - Lepidoptera.A,0.152377679,-0.451517968,0.672058049,0.95,mode,hdi,
Syrphidae.E - Lepidoptera.B,0.582124671,-0.145621969,1.3044766,0.95,mode,hdi,
Syrphidae.E - Lepidoptera.C,0.27203185,-0.297873119,0.827724308,0.95,mode,hdi,
Syrphidae.E - Lepidoptera.D,0.111478111,-0.579731596,0.932462939,0.95,mode,hdi,
Syrphidae.E - Lepidoptera.E,-0.025777134,-0.758703441,0.638005994,0.95,mode,hdi,1
