X,A,B,C,D,E
A,0,12.271,36.841,20.634,19.279
B,12.271,0,5.953,3.715,4.312
C,36.841,5.953,0,1.503,1.668
D,20.634,3.715,1.503,0,1.035
E,19.279,4.312,1.668,1.035,0
