PolFamily,total_links
Syrphidae,6298
Apidae,5956
Halictidae,3284
Tachinidae,2001
Andrenidae,1735
Megachilidae,1636
Muscidae,1624
Bombyliidae,985
Crabronidae,971
Vespidae,949
Formicidae,842
Calliphoridae,782
Nymphalidae,727
Colletidae,676
Chrysomelidae,621
Ichneumonidae,616
Lycaenidae,581
Cerambycidae,561
Braconidae,558
Anthomyiidae,523
Pompilidae,502
Pieridae,472
NA,453
Chloropidae,441
Hesperiidae,434
Sarcophagidae,401
Scarabaeidae,388
Empididae,376
Mordellidae,356
Melyridae,343
Noctuidae,274
Lauxaniidae,258
Nitidulidae,255
Tiphiidae,254
Sphecidae,252
Crambidae,235
Chironomidae,230
Curculionidae,229
Dermestidae,205
Bibionidae,191
Tenthredinidae,179
Scoliidae,177
Cantharidae,173
Rhiniidae,169
Conopidae,160
Nomadidae,154
Chalcididae,145
Oedemeridae,145
Pteromalidae,142
Phoridae,135
Sphingidae,125
Sepsidae,124
Coccinellidae,121
Sciaridae,114
Tephritidae,110
Buprestidae,108
Chrysididae,108
Geometridae,108
Scatopsidae,108
Culicidae,106
Papilionidae,98
Scraptiidae,98
Elateridae,92
Ripiphoridae,84
Erebidae,83
Lygistorrhinidae,81
Fanniidae,80
Scenopinidae,79
Stratiomyidae,77
Ceratopogonidae,73
Meloidae,72
Ephydridae,70
Sapygidae,70
Lampyridae,69
Scathophagidae,68
Philanthidae,67
Agromyzidae,66
Riodinidae,66
Tabanidae,65
Milichiidae,62
Eulophidae,61
Tenebrionidae,61
Staphylinidae,59
Zygaenidae,57
Perilampidae,56
Drosophilidae,53
Melittidae,53
Rhinophoridae,48
Chrysididae ,46
Dolichopodidae,43
Cleridae,39
Argidae,37
Gelechiidae,36
Figitidae,34
Sphaeroceridae,34
Attelabidae,32
Chamaemyiidae,32
Sciomyzidae,31
Byturidae,30
Acroceridae,29
Phalacridae,29
Glaphyridae,27
Scelionidae,27
Evaniidae,26
Histeridae,26
Platystomatidae,26
Pyralidae,26
Adelidae,25
Asilidae,25
Eumenidae,24
Latridiidae,22
Nemestrinidae,22
Hybotidae,20
Carabidae,19
Brentidae,18
Scirtidae,18
Pterophoridae,17
Sesiidae,16
Anthophoridae,14
Gasteruptiidae,14
Piophilidae,14
Heliodinidae,13
Mutillidae,13
Silvanidae,13
Ulidiidae,13
Yponomeutidae,13
Kateretidae,12
Mycetophilidae,12
Tortricidae,12
Anthicidae,11
Cecidomyiidae,11
Eurytomidae,11
Lecithoceridae,11
Lygaeidae,11
Tenthredinoidea,10
Canacidae,9
Myrmosidae,9
Tipulidae,9
Cephidae,8
Lonchaeidae,8
Lycidae,8
Callidulidae,7
Lasiocampidae,7
Mythicomyiidae,7
Asteiidae,6
Brachystomatidae,6
Dasytidae,6
Simuliidae,6
Thynnidae,6
Zeugophoridae,6
Brachyceridae,5
Cetoniidae,5
Gracillariidae,5
Heleomyzidae,5
Limoniidae,5
Pelecorhynchidae,5
Prionoceridae,5
Sematuridae,5
Bethylidae,4
Cimbicidae,4
Cryptophagidae,4
Encyrtidae,4
Micropterigidae,4
Pipunculidae,4
Torymidae,4
Carnidae,3
Ceratogoponidae,3
Eucharitidae,3
Eupelmidae,3
Lonchopteridae,3
Oedomeridae,3
Oestridae,3
Psilidae,3
Ptinidae,3
Rhagionidae,3
Salpingidae,3
Satyridae,3
Anobiidae,2
Autostichidae,2
Cephaloidae,2
Clusiidae,2
Coreidae,2
Epicopeiidae,2
Erotylidae,2
Hydrophilidae,2
Laemophloeidae,2
Lymantriidae,2
Nemistrinidae,2
Papilionoidae,2
Perissommatidae,2
Pyrochroidae,2
Scolytidae,2
Aderidae,1
Agromizidae,1
Agyrtidae,1
Anthribidae,1
Arctiidae,1
Biphyllidae,1
Choreutidae,1
Coccinelidae,1
Corylophidae,1
Cryptochetidae,1
Eucoilidae,1
Glyphipterigidae,1
Heliconidae,1
Melolonthidae,1
Milichidae,1
Mycetophagidae,1
Mycteridae,1
Nolidae,1
Notodontidae,1
Opomyzidae,1
Ormyridae,1
Orsodacnidae,1
Pamphiliidae,1
Platygastridae,1
Psychodidae,1
Ptilodactylidae,1
Saturniidae,1
Sierolomorphidae,1
