intera,.value,.lower,.upper,.width,.point,.interval,group1,group2,Clim_1,Clim_2,
Andrenidae.B - Andrenidae.A,0.377593304,-0.181459046,0.966973685,0.95,mode,hdi,Andrenidae.B,Andrenidae.A,B,A,IFS(
Andrenidae.C - Andrenidae.A,0.034748138,-0.376475674,0.455895333,0.95,mode,hdi,Andrenidae.C,Andrenidae.A,C,A,
Andrenidae.C - Andrenidae.B,-0.362710542,-0.897839229,0.188756569,0.95,mode,hdi,Andrenidae.C,Andrenidae.B,C,B,
Andrenidae.D - Andrenidae.A,0.111350074,-0.336646073,0.58634993,0.95,mode,hdi,Andrenidae.D,Andrenidae.A,D,A,
Andrenidae.D - Andrenidae.B,-0.293397769,-0.898396191,0.295687522,0.95,mode,hdi,Andrenidae.D,Andrenidae.B,D,B,
Andrenidae.D - Andrenidae.C,0.038919845,-0.307706036,0.423676826,0.95,mode,hdi,Andrenidae.D,Andrenidae.C,D,C,
Andrenidae.E - Andrenidae.A,-0.02470385,-0.549161354,0.544532935,0.95,mode,hdi,Andrenidae.E,Andrenidae.A,E,A,
Andrenidae.E - Andrenidae.B,-0.393617368,-1.011439542,0.247820264,0.95,mode,hdi,Andrenidae.E,Andrenidae.B,E,B,
Andrenidae.E - Andrenidae.C,0.020948438,-0.569706247,0.507134102,0.95,mode,hdi,Andrenidae.E,Andrenidae.C,E,C,
Andrenidae.E - Andrenidae.D,-0.043638093,-0.67896806,0.544694958,0.95,mode,hdi,Andrenidae.E,Andrenidae.D,E,D,
Anthomyiidae.A - Andrenidae.A,-0.285554811,-1.040415299,0.570665353,0.95,mode,hdi,Anthomyiidae.A,Andrenidae.A,A,A,
Anthomyiidae.A - Andrenidae.B,-0.589174343,-1.681609522,0.315140264,0.95,mode,hdi,Anthomyiidae.A,Andrenidae.B,A,B,
Anthomyiidae.A - Andrenidae.C,-0.156036698,-1.169929674,0.572231254,0.95,mode,hdi,Anthomyiidae.A,Andrenidae.C,A,C,
Anthomyiidae.A - Andrenidae.D,-0.371644979,-1.299238596,0.497741639,0.95,mode,hdi,Anthomyiidae.A,Andrenidae.D,A,D,
Anthomyiidae.A - Andrenidae.E,-0.284037299,-1.281366498,0.717001573,0.95,mode,hdi,Anthomyiidae.A,Andrenidae.E,A,E,
Anthomyiidae.B - Andrenidae.A,0.276979258,-0.665365866,1.264478199,0.95,mode,hdi,Anthomyiidae.B,Andrenidae.A,B,A,
Anthomyiidae.B - Andrenidae.B,-0.09238397,-1.007286355,0.773683917,0.95,mode,hdi,Anthomyiidae.B,Andrenidae.B,B,B,
Anthomyiidae.B - Andrenidae.C,0.306321762,-0.675266429,1.178386587,0.95,mode,hdi,Anthomyiidae.B,Andrenidae.C,B,C,
Anthomyiidae.B - Andrenidae.D,0.171341137,-0.775842506,1.14813383,0.95,mode,hdi,Anthomyiidae.B,Andrenidae.D,B,D,
Anthomyiidae.B - Andrenidae.E,0.310452849,-0.695592847,1.329277153,0.95,mode,hdi,Anthomyiidae.B,Andrenidae.E,B,E,
Anthomyiidae.B - Anthomyiidae.A,0.460455907,-0.58955514,1.694353734,0.95,mode,hdi,Anthomyiidae.B,Anthomyiidae.A,B,A,
Anthomyiidae.C - Andrenidae.A,0.210432899,-0.258776648,0.637424718,0.95,mode,hdi,Anthomyiidae.C,Andrenidae.A,C,A,
Anthomyiidae.C - Andrenidae.B,-0.221678686,-0.751855483,0.372531388,0.95,mode,hdi,Anthomyiidae.C,Andrenidae.B,C,B,
Anthomyiidae.C - Andrenidae.C,0.179366778,-0.118392805,0.410247359,0.95,mode,hdi,Anthomyiidae.C,Andrenidae.C,C,C,
Anthomyiidae.C - Andrenidae.D,0.076796208,-0.289815858,0.484177292,0.95,mode,hdi,Anthomyiidae.C,Andrenidae.D,C,D,
Anthomyiidae.C - Andrenidae.E,0.194030066,-0.378037188,0.764564733,0.95,mode,hdi,Anthomyiidae.C,Andrenidae.E,C,E,
Anthomyiidae.C - Anthomyiidae.A,0.46361625,-0.410904371,1.328076536,0.95,mode,hdi,Anthomyiidae.C,Anthomyiidae.A,C,A,
Anthomyiidae.C - Anthomyiidae.B,-0.046739403,-1.033289168,0.856636281,0.95,mode,hdi,Anthomyiidae.C,Anthomyiidae.B,C,B,
Anthomyiidae.D - Andrenidae.A,-0.26503764,-0.851543442,0.353342344,0.95,mode,hdi,Anthomyiidae.D,Andrenidae.A,D,A,
Anthomyiidae.D - Andrenidae.B,-0.6923584,-1.393626565,-0.007275739,0.95,mode,hdi,Anthomyiidae.D,Andrenidae.B,D,B,
Anthomyiidae.D - Andrenidae.C,-0.268840535,-0.7897681,0.19883269,0.95,mode,hdi,Anthomyiidae.D,Andrenidae.C,D,C,
Anthomyiidae.D - Andrenidae.D,-0.330513991,-0.867659689,0.145541849,0.95,mode,hdi,Anthomyiidae.D,Andrenidae.D,D,D,
Anthomyiidae.D - Andrenidae.E,-0.22935061,-0.979042,0.424209491,0.95,mode,hdi,Anthomyiidae.D,Andrenidae.E,D,E,
Anthomyiidae.D - Anthomyiidae.A,0.03734277,-0.876782299,0.978726568,0.95,mode,hdi,Anthomyiidae.D,Anthomyiidae.A,D,A,
Anthomyiidae.D - Anthomyiidae.B,-0.539915376,-1.580687293,0.431307581,0.95,mode,hdi,Anthomyiidae.D,Anthomyiidae.B,D,B,
Anthomyiidae.D - Anthomyiidae.C,-0.450264319,-0.961445269,0.064384972,0.95,mode,hdi,Anthomyiidae.D,Anthomyiidae.C,D,C,
Anthomyiidae.E - Andrenidae.A,-0.215582748,-0.897132537,0.332493812,0.95,mode,hdi,Anthomyiidae.E,Andrenidae.A,E,A,
Anthomyiidae.E - Andrenidae.B,-0.571792941,-1.329432988,0.037987196,0.95,mode,hdi,Anthomyiidae.E,Andrenidae.B,E,B,
Anthomyiidae.E - Andrenidae.C,-0.303287937,-0.865597967,0.252506237,0.95,mode,hdi,Anthomyiidae.E,Andrenidae.C,E,C,
