"","V1"
"Bartomeu_BA",21
"Bartomeu_FR",20
"Bartomeu_M1",18
"Bartomeu_M3",23
"Bartomeu_MI",24
"Bartomeu_SE",20
"benadi_14_1",196
"benadi_14_2",170
"benadi_14_3",156
"benadi_14_4",146
"benadi_14_5",135
"benadi_14_6",98
"Caradonna14",94
"Chacoff_011",197
"Fang_Huang1",129
"Fang_Huang8",166
"Fang_Huang9",166
"ilha_das_vl",13
"lararomer16",121
"M_PL_001_00",102
"M_PL_002_00",65
"M_PL_003_00",26
"M_PL_004_00",103
"M_PL_005_00",276
"M_PL_006_00",62
"M_PL_007_00",37
"M_PL_008_00",39
"M_PL_009_00",119
"M_PL_010_00",77
"M_PL_011_00",14
"M_PL_012_00",56
"M_PL_013_00",57
"M_PL_014_00",82
"M_PL_015_00",667
"M_PL_016_00",180
"M_PL_017_00",80
"M_PL_018_00",106
"M_PL_019_00",86
"M_PL_020_00",92
"M_PL_021_00",678
"M_PL_022_00",46
"M_PL_023_00",73
"M_PL_024_00",19
"M_PL_025_00",45
"M_PL_026_00",55
"M_PL_027_00",61
"M_PL_028_00",140
"M_PL_029_00",119
"M_PL_030_00",54
"M_PL_031_00",50
"M_PL_032_00",34
"M_PL_033_00",35
"M_PL_034_00",129
"M_PL_035_00",37
"M_PL_036_00",13
"M_PL_037_00",41
"M_PL_038_00",43
"M_PL_039_00",52
"M_PL_040_00",44
"M_PL_041_00",44
"M_PL_042_00",7
"M_PL_043_00",83
"M_PL_044_00",610
"M_PL_045_00",27
"M_PL_046_00",45
"M_PL_047_00",187
"M_PL_048_00",237
"M_PL_049_00",226
"M_PL_050_00",36
"M_PL_052_00",40
"M_PL_053_00",295
"M_PL_054_00",319
"M_PL_055_00",196
"M_PL_056_00",366
"M_PL_057_00",884
"M_PL_060_01",40
"M_PL_060_02",39
"M_PL_060_03",46
"M_PL_060_04",47
"M_PL_060_05",55
"M_PL_060_06",46
"M_PL_060_07",40
"M_PL_060_08",29
"M_PL_060_09",41
"M_PL_060_10",26
"M_PL_060_11",21
"M_PL_060_12",27
"M_PL_060_13",32
"M_PL_060_14",38
"M_PL_060_15",38
"M_PL_060_16",40
"M_PL_060_17",36
"M_PL_060_18",29
"M_PL_060_19",14
"M_PL_060_20",19
"M_PL_060_21",23
"M_PL_060_22",32
"M_PL_060_23",28
"M_PL_060_24",25
"M_PL_061_01",13
"M_PL_061_02",18
"M_PL_061_03",15
"M_PL_061_04",15
"M_PL_061_05",23
"M_PL_061_06",25
"M_PL_061_07",24
"M_PL_061_08",20
"M_PL_061_09",11
"M_PL_061_10",15
"M_PL_061_11",13
"M_PL_061_12",13
"M_PL_061_13",20
"M_PL_061_14",12
"M_PL_061_15",19
"M_PL_061_16",20
"M_PL_061_17",14
"M_PL_061_18",19
"M_PL_061_19",22
"M_PL_061_20",15
"M_PL_061_21",19
"M_PL_061_22",19
"M_PL_061_23",27
"M_PL_061_24",19
"M_PL_061_25",12
"M_PL_061_26",14
"M_PL_061_27",14
"M_PL_061_28",20
"M_PL_061_29",19
"M_PL_061_30",14
"M_PL_061_31",20
"M_PL_061_32",19
"M_PL_061_33",7
"M_PL_061_34",8
"M_PL_061_35",14
"M_PL_061_36",18
"M_PL_061_37",20
"M_PL_061_38",24
"M_PL_061_39",24
"M_PL_061_40",27
"M_PL_061_41",10
"M_PL_061_42",12
"M_PL_061_43",17
"M_PL_061_44",12
"M_PL_061_45",24
"M_PL_061_46",22
"M_PL_061_47",27
"M_PL_061_48",15
"M_PL_062_00",1045
"mauritius_v",14
"parachnowit",21
"Probert_Ana",16
"Probert_Kar",33
"Probert_Wha",15
"Robinson_18",24
"Robson_2014",30
"Santos_2010",26
"Shay_et2016",28
"Song_002015",22
"Souza_cerra",132
"Souza_chaco",90
"Souza_panta",71
"Souza_verad",110
"Traveset_13",221
"Troj_fuert1",40
"Troj_fuert2",39
"Troj_gomer1",34
"Troj_gomer2",40
"Troj_GranC1",36
"Troj_GranC2",36
"Troj_Hierr1",34
"Troj_Hierr2",38
"Troj_TeneS1",39
"Troj_TeneS2",55
"Troj_TeneT1",36
"Troj_TeneT2",46
"Troj_WestS1",38
"Troj_WestS2",45
"vannoort_Ai",12
"vannoort_ma",12
"VS Mascardi",31
"VS Quetrihu",36
"VS Safarila",25
"VS_llao_lla",28
