Tree.spp,Ochetellus.glaber,Nylanderia.sp,Iridomyrmex.sulcheri,Monomorium.antarcticum,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Bombus,Cerembycidae,Aranae,Lycaena.salustius,Clitarchus,Prosthemadera.novaeseelandiae
Cordyline australis,23,0,0,0,1,0,0,0,0,0,0,0,0,0
Leptospermum scoparium,31,6,0,0,23,63,14,44,3,2,0,15,1,0
Metrosideros,0,0,48,0,26,2,2,4,36,2,0,0,0,0
Phormium tenax,145,29,0,1,39,133,25,72,14,0,1,0,0,1
