"","x"
"1","Croton scouleri"
"2","Clerodendrum molle"
"3","Bursera graveolens"
"4","Tournefortia psilostachya"
"5","Cardiospermum galapageium"
"6","Gossypium darwinii"
"7","Tournefortia pubescens"
"8","Cordia leucophlyctis"
"9","Vallesia glabra"
"10","Desmanthus virgatus"
"11","Chiococca alba"
"12","Lantana peduncularis"
"13","Acacia rurodiana"
"14","Opuntia  echios"
"15","Cordia lutea"
"16","Prosopis juliflora"
"17","Opuntia galapageia"
"18","Tribulus cistoides"
"19","Maytenus octogona"
"20","Boerhaavia caribaea"
"21","Sarcostemma angustissimum"
"22","Waltheria ovata"
"23","Scalesia affinis"
"24","Commicarpus tuberosus"
"25","Parkinsonia aculeata"
"26","Crotalaria pumila"
"27","Polygala galapageia"
"28","Tamarindus indica"
"29","Ipomoea habeliana"
"30","Blainvillea dichotoma"
"31","Castela galapageia"
"32","Rhynchosia minima"
"33","Mentzelia aspera"
"34","Scutia spicata"
"35","Senna pistacifolia"
"36","Alternanthera echinocephala"
"37","Tournefortia rufo-sericea"
"38","Portulaca oleracea"
"39","Macraea laricifolia"
"40","Pectis tenuifolia"
"41","Momordica charantia"
"42","Boerhaavia erecta"
"43","Heliotropium angiospermum"
"44","Scalesia bauri"
"45","Cryptocarpus pyriformis"
"46","Bastardia viscosa"
"47","Galactia striata"
"48","Plumbago scandens"
"49","Mollugo flavescens"
"50","Cleome viscosa"
"51","Jasminocereus thouarsii"
"52","Abutilon depauperatum"
"53","Tiquilia fusca"
"54","Alternanthera filifolia"
"55","Cordia revoluta"
"56","Ipomoea linearifolia"
"57","Tiquilia darwinii"
"58","Mollugo snodgrassii"
"59","Darwiniothamnus lancifolius"
"60","Borreria ericaefolia"
"61","Aphloia theiformis"
"62","Roussea simplex"
"63","Molinaea alternifolia"
"64","Toddalia asiatica"
"65","Stillingia lineata"
"66","Erythroxylum macrocarpum"
"67","Croton fothergillifolius"
"68","Psiadia terebinthina"
"69","Chassalia coriacea"
"70","Dodonaea viscosa"
"71","Bertiera zaluzania"
"72","Antirhea borbonica"
"73","Claoxylon linostachys"
"74","Menodora decemfida"
"75","Petunia axillaris"
"76","Arjona longifolia"
"77","Ruta chalepensis"
"78","Spharealcea miniata"
"79","Opuntia sulphurea"
"80","Dipyrena glaberrima"
"81","Senna aphylla"
"82","Condalia microphylla"
"83","Senecio aff  pinnatus"
"84","Larrea nitida"
"85","Buddleja mendozensis"
"86","Argemone subfusiformis"
"87","Larrea cuneifolia"
"88","Acantholippiaseriphioides"
"89","Helenium donianum"
"90","Thymophylla pentachaeta"
"91","Zuccagnia punctata"
"92","Capparis atamisquea"
"93","Polygala stenophylla"
"94","Larrea divaricata"
"95","Spartium junceum"
"96","Clematis montevidensis"
"97","Lippia turbinata"
"98","Centaurea solstialis"
"99","Salvia gilliesii"
"100","Verbascum thapsus"
"101","Hysterionica jassionoide"
"102","Elaeagnus angustifolia"
"103","Aloyssia gratissima"
"104","Cereus sp"
"105","Prosopis flexuosa"
"106","Baccharis aff  crispa"
"107","Monttea aphylla"
"108","Descurainia sp"
"109","Mentzelia albescens"
"110","Lecanophora heterophylla"
"111","Schinus aff  fasciculata"
"112","Proustia cuneifolia"
"113","Oxybaphus obatus"
"114","Lycium chilense"
"115","Trichocereus candicans"
"116","Fumaria capreolata"
"117","Philibertia gilliesii"
"118","Cerastium arvense"
"119","Hoffmannseggia eremophila"
"120","Trichocereus strigosus"
"121","Erodium sp"
"122","Junellia aspera"
"123","Veronica polita"
"124","Erodium cicatarium"
"125","Bougainvillea spinosa"
"126","Lycium tenuispinosum"
"127","Glandularia crithmifolia"
"128","Heliotropium sp"
"129","Lycium gilliesianum"
"130","Pyrrhocactus pachacoensis"
"131","Bredemeyera microphylla"
"132","Cryptantha sp"
"133","Vitex rotundifolia"
"134","Mallotus japonicus"
"135","Scleria terrestris"
"136","Glochidion acuminatum"
"137","PittosPorum tobira"
"138","Melastoma candidum"
"139","Ardisia sieboldii"
"140","Musaenda parviflora"
"141","Schima wallichii"
