"Plant","Andrena","Anthidium","Anthidium sticticum","Apis melifera","Bombus terrestris","Braconidae","Camponotus aetiops","Coleoptera","Dasytidae","Halictus gemmeus","Halictus pyrenaicus","Hylaeus","Hylaeus nigritus","Lasioglossum","Mordellistena pumila","Oedemera barbara","Oedemera flavipes","Oedemera lurida","Oxythyrea funesta","Scolia","Sphaerophoeria","Xylocopa"
"Allium ampeloprasum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus althaeoides",0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0
"Daucus carota carota",1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0
"Eryngium campestre",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Opuntia stricta",0,2,1,19,6,0,7,0,2,0,3,0,2,1,0,0,0,0,2,1,0,3
"Sedum sediforme",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus tenerrinus",9,0,0,1,0,0,0,0,0,1,3,1,0,3,0,2,0,1,0,0,1,0
"Urospermum picrioides",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
