,Apis.mellifera,Bombus.,Colletidae.Halictidae,Vespula,Syrphidae,Diptera,Diptera,Coleoptera,Lepidoptera,Hymenoptera,Myridae
Calystegia sepium subsp. roseata,18,73,6,1,2,0,1,19,0,98,2
Daucus carota,24,14,18,1,8,8,10,33,76,81,1
Hebe,73,136,222,0,0,5,2,9,1,65,4
Hoheria populnea,5,2,1,0,0,0,1,1,0,0,0
Kunzea robusta,5,19,13,0,1,6,9,83,2,5,27
Leptospermum scoparium,0,0,0,1,0,0,1,8,0,0,2
Leycesteria formosa,9,38,0,0,0,0,0,0,0,1,0
Melicytus ramiflorus,53,1,8,10,1,1,0,31,1,12,2
Metrosideros perforata,103,71,38,266,0,4,3,6,1,472,1
Myrsine australis,0,0,1,0,0,0,0,1,0,0,2
Olearia furfuracea,4,1,1,0,1,2,0,1,0,0,0
Phormium tenax,75,10,13,18,0,1,5,0,0,125,2
Phytolacca octandra,65,57,32,2,0,2,4,7,0,57,8
Rubus fruticosus,5,3,2,0,0,0,0,3,0,0,0
Solanum nigrum,0,1,0,0,0,0,0,0,0,0,0
