"Plant","Amegilla femorata?","Andrena","Anthidium sticticum","Anthophora","Apis melifera","Bibionidae","Bombus terrestris","Callophrys rubi","Coleoptera","Colletes","Criptocephalus","Dasytidae","Eucera","Halictus","Halictus gemmeus","Helorus coruscus","Hylaeus","Lasioglossum","Megaquile","Milichidae","Mordella bipunctata","Mordellistena pumila","Nomada","Oedemera flavipes","Oedemera lurida","Oedemera nobilis","Osmia","Oxythyrea funesta","Plagiolepsis pigmaea","Polistes gallicum","Psilothrix","Ptinidae Bruchidae"
"Aetheorrina bulbosa",0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,1,1,1,2,0,0,0,0,0,9,0
"Alyssum maritimum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Carpobrotus spp. acinaciformis",0,3,4,0,4,0,4,0,3,0,0,1,1,1,0,0,0,0,1,0,1,1,0,3,8,1,2,9,2,0,13,2
"Convolvulus althaeoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0
"Euphorbea segatalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Lathirus clymenum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",3,1,15,1,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus tenerrinus",0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,2,0,1,4,4,0,0,0,0,0,5,0
"Thymelaea hirusta",0,0,0,0,4,5,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0
"Urospermum picrioides",0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,2,3,0,0,1,0,0,1,0
