,Abutilon depauperatum,Acacia rurodiana,Alternanthera echinocephala,Alternanthera filifolia,Bastardia viscosa,Blainvillea dichotoma,Boerhaavia caribaea,Boerhaavia erecta,Borreria ericaefolia,Bursera graveolens,Cardiospermum galapageium,Castela galapageia,Chiococca alba,Cleome viscosa,Clerodendrum molle,Commicarpus tuberosus,Cordia leucophlyctis,Cordia lutea,Cordia revoluta,Crotalaria pumila,Croton scouleri,Cryptocarpus pyriformis,Darwiniothamnus lancifolius,Desmanthus virgatus,Galactia striata,Gossypium darwinii,Heliotropium angiospermum,Ipomoea habeliana,Ipomoea linearifolia,Jasminocereus thouarsii,Lantana peduncularis,Macraea laricifolia,Maytenus octogona,Mentzelia aspera,Mollugo flavescens,Mollugo snodgrassii,Momordica charantia,Opuntia  echios,Opuntia galapageia,Parkinsonia aculeata,Pectis tenuifolia,Plumbago scandens,Polygala galapageia,Portulaca oleracea,Prosopis juliflora,Rhynchosia minima,Sarcostemma angustissimum,Scalesia affinis,Scalesia bauri,Scutia spicata,Senna pistacifolia,Tamarindus indica,Tiquilia darwinii,Tiquilia fusca,Tournefortia psilostachya,Tournefortia pubescens,Tournefortia rufo-sericea,Tribulus cistoides,Vallesia glabra,Waltheria ovata
Heliocheilus cystiphora,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,24813,,,,,,,,,,,,,,,,,,,,,,,,,,,155,199,
Heliodines galapagoensis,,,,,,,,,,,,,,,39,,404,448,,,30783,803,,,,,,,,,2587,,,,,,,,,,,,,260,,,,,,,,,,,,,,,697,503
Heliothis virecens,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemiargus ramon,3216,288,2717,,176220,7,77,,,,,,,,,8115,6484,955,,931,78495,,,3562,2693,,27206,,,,4853,15,,4862,307,,,,,,,753,1400,,,10162,,,,,4,146,,,248,,,,46679,1137
Hyles lineata,,,,,,,,,,,,,39,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypena vetustalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantanophaga pusillidactyla,,,,,,,,,,,,,,,,,19,,,,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera sp.,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera sp.1,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera sp.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera sp.3,,,,,,,,,,,,,,,,,,,,,4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera sp.4,,,,,,,,,,955,,,,,,,350,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera sp.6,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera sp.7,,,,,,,,,,,,,,,,,,,,,2198,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,
Lepidoptera sp.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,,
Lepidoptera sp.9,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptotes parrhasioides,418,1420,1368,,778,5,67,,,,681,,,480,194,,6527,,,423,,,,,1224,,176,,,,821,,,,35,,,,,,,,1400,,,,,,,,,,,,248,705,,2439,,52170
Loxomorpha? sp.,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,,,,,
Manduca rustica,,,,,,,,,,,,,10,,,,281,,,,,,,,,,,,,,,,,,,,,,662,,,,,,,,,,,,,,,,,,,,,
Manduca sexta leucoptera,,,,,,,,,,,,,,,,,,,,,9231,,,,,,,171,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,
Melipotis indomita,,,,,,,,,,,,,19,,58,,94,138,,,25555,,,,,,,,,,2822,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,
Neohelvibotys sp.1,,,,,,,,,,,,,,,438,,954,,,,4852,,,,,,717,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicetiodes apianellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noctuidae sp.,,,,,,,,,,,,,,,,,,,,,62000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noctuidae sp.1,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noctuidae sp.2 ?,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ommatochila mundala,,,,,,,,,,,,,,,,,37,,,,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornidia obesa,,,,,,,,,,,,,,,,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozarba consternans,,,,,,,,,,1145,,,,,,,423,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,
Paraeuxesta sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
Phoebis sennae,,,,,,,,,,,,,,,43,,26,5301,,,,,,,371,1491,,,,35,,,,,,,,,,,,778,,,,19,,95,,,4,,,,,,,274,,
Psara chathamalis,,,,,,,,,,,,,,,,,,,,,4662,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,11133,,,,425,
Pseudoplusia includens,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterophoridae sp. 1,,,,,,,3230,,,,,,,,,4481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterophoridae sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
Pterophoridae sp.2,,,,,,,26,,,,,,,,,49,,,,,4396,,,,,,,,,,,,,,,,,,,67,,,,,,,,133,,,,,,,,,,,,166
Pterophoridae sp.3,,,,,,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyralidae sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,
Spageuia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,
Spageuia sp.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,
Spoladea recurvalis,,,26,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,
Spoladea sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4032,,,,,
Spragueia creton,,,,,,,,,,636,,,,,58,,160,,,,292,,,,,,,,,,,7,,,,,,,,,,,,,,268,,,,,,,,,,,,128,,142
Spragueia margana,,,,,,,,,,955,,,,,,,60,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,257,,
Tortricidae sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,,,69,,
Tortricidae sp.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,
Udea sp.1,,,,,,,,,,3400,,,,,,,,,,,2308,,,,,,,,,,,13,,,,,,,,,,,,,71,,,,,,,,,,,,,,,
Urbanus dorantes,129,,26,,,,,71,,,,,,,,5,8108,1663,,,217,,,,,,100,,,,84815,,,,,,,,,,,661,,,,1900,,,1128,,,146,,,,,1045,434,68802,3185
Utetheisa galapagensis,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysopodes nigripilosa,,,,,,,,,,382,,,,,,,,,,,12308,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Ischnura hastatum,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Acrididae sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,
Acrididae sp.2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae sp.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,
Anaulocomera darwinii,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gryllidae sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2954,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,
Gryllidae sp.2,,,,,,,,,,,,,,,,,44,,,,3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gryllidae sp.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schistocerca borealis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308,,,,,,,,,,,,,68,,,,,130,,,,,,,,,,,
Camarhynchus parvulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geospiza fortis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
Geospiza fuliginosa,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,,,,,,,5,,,,,,,,
Geospiza magnirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,
Geospiza scandens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,108,,,,,,,,,,,,,,,,,,,,,
Mimus parvulus,,,,,,,,,,,,,,,,,,,,,643,,,,,,,,,,,,,,,,,10,40,,,,,,,,,,,,,,,,,,,,,
Microlophus pacificus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,
Haplothrips sp.,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
