,Apis.mellifera,Bombus.,Colletidae.Halictidae,Vespula,Syrphidae,Diptera sp1,Diptera sp2,Coleoptera,Lepidoptera,Hymenoptera,Myridae
Datura stramonium,1,0,2,0,0,0,0,0,0,44,0
Calystegia sepium subsp. roseata,8,5,4,0,0,2,1,6,0,0,0
Daucus carota,13,3,50,2,3,8,5,62,1,78,2
Gahnia rigida,2,0,0,0,1,0,0,0,0,0,0
Hebe,34,159,213,0,0,2,2,25,3,6,1
Hoheria populnea,0,0,0,0,0,0,0,1,0,0,0
Kunzea robusta,14,11,11,0,0,0,2,13,0,0,7
Leptospermum scoparium,16,33,9,1,0,0,0,19,0,10,0
Melicytus ramiflorus,118,6,7,17,4,3,6,75,4,42,13
Metrosideros excelsa,13,4,0,1,0,0,0,1,0,9,0
Olearia furfuracea,2,0,7,0,0,1,0,15,1,0,1
Phormium tenax,37,9,61,0,0,0,5,2,0,5,0
Rubus fruticosus,9,21,5,0,0,0,0,1,0,2,0
Tropaeolum majus,8,14,0,0,0,0,0,1,0,0,0
