Tree.spp,Ochetellus.glaber,Nylanderia.sp,Monomorium.antarcticum,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Lassioglossum,Bombus,Cerembycidae,Aranae,Lycaena.salustius,Polistes.chinensis,Icheumonidae,Prosthemadera.novaeseelandiae
Agapanthus praecox,66,0,0,10,0,0,0,0,4,0,0,0,1,0,0
Cordyline australisTree,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Taraxacum,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leptospermum scoparium,45,19,4,10,22,8,16,1,2,1,0,3,0,1,0
Phormium tenax,33,0,0,18,8,18,13,1,8,0,1,0,2,0,2
