Tree.spp,Ochetellus.glaber,Nylanderia.sp,Tetramorium.grassii,Technomyrmex.jocosus,Iridomyrmex.sulcheri,Monomorium.smithii,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Lassioglossum,Bombus,Cerembycidae,Mordella.sp,Trogoderma._beetle,Curculionoidea ,Staphylinidae,Coleoptera,Odonata,Aranae,Diptera,Lycaena.salustius,Zizina.labradus,Piers.rapae,Lepidoptera,Polistes.chinensis,Vespula.vulgaris,Orthoptera,Anicotrocerus.gazella,Hymenopetra,Icheumonidae,Blattodea
Agapanthus praecox praecox,186,7,1,0,11,0,5,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conzya bonariensis,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0
Cordyline australis,28,4,0,14,0,0,2,2,1,0,0,1,0,0,0,0,0,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0
Dipogon lignosus,18,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Kunzea ericoides,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Leptospermum scoparium,33,5,0,1,0,5,5,4,6,6,1,0,1,0,0,1,0,4,1,4,9,4,0,0,1,6,0,0,0,4,0,1
Lilium formasanum,275,115,2,0,0,0,1,1,1,0,0,2,0,0,0,1,1,5,0,1,1,0,0,0,0,2,0,0,0,5,0,0
Lupinus arboreus,100,12,5,0,0,0,41,3,0,0,0,27,0,0,0,0,0,27,0,5,1,2,0,0,0,1,0,0,0,1,0,0
Lycium ferocissimum,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Metrosideros excelsa,77,55,0,6,0,0,110,27,19,25,0,14,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Muehlenbeckia astonii astonii,162,162,4,0,0,11,31,0,0,0,0,0,0,1,0,0,0,2,0,2,7,5,3,0,0,16,0,0,0,2,0,0
Ozothamnus leptophyllus,55,2,0,0,0,0,1,2,0,2,1,1,1,47,1,0,1,13,0,1,30,29,0,0,0,1,0,0,0,17,2,0
Parsonsia heterophylla,122,0,0,0,0,0,7,2,0,0,0,0,3,4,0,0,1,22,0,0,2,10,0,0,0,0,0,0,0,18,0,1
Phormium tenax,1593,126,0,13,4,0,138,131,169,180,2,20,2,0,0,0,0,1,0,1,4,0,0,0,0,5,1,0,0,0,1,1
Pittosporum crassifolium,156,0,0,0,0,0,98,2,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0
Polygala myrtifolia,154,23,8,0,1,0,13,2,6,0,0,6,0,0,0,0,0,0,0,4,2,2,0,0,0,9,0,1,0,0,0,0
Senecio skirrhodon,14,26,9,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,10,10,6,1,1,0,0,0,1,0,0,0,0
Vicia sativa,59,122,171,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
