N,db,query,family,order
1,ncbi,Acamptopoeum,Andrenidae,Hymenoptera
22,ncbi,Melectoides,Apidae,Hymenoptera
23,ncbi,Melissoptila,Apidae,Hymenoptera
31,ncbi,Svastra,Apidae,Hymenoptera
47,ncbi,Ancyloscelis,Apidae,Hymenoptera
49,ncbi,Arhysoceble,Apidae,Hymenoptera
55,ncbi,Geotrigona,Apidae,Hymenoptera
64,ncbi,Melitoma,Apidae,Hymenoptera
68,ncbi,Paratetrapedia,Apidae,Hymenoptera
69,ncbi,Paratrigona,Apidae,Hymenoptera
75,ncbi,Scaptotrigona,Apidae,Hymenoptera
77,ncbi,Trichocerapis,Apidae,Hymenoptera
79,ncbi,Alepidosceles,Apidae,Hymenoptera
102,ncbi,Tetragonisca,Apidae,Hymenoptera
111,ncbi,Ctenioschelus,Apidae,Hymenoptera
117,ncbi,Tetrapedia,Apidae,Hymenoptera
133,ncbi,Schwarzula,Apidae,Hymenoptera
134,ncbi,Tetragona,Apidae,Hymenoptera
71,ncbi,Plecia,Bibionidae,Diptera
12,ncbi,Cochliomyia,Calliphoridae,Diptera
86,ncbi,Chloroprocta,Calliphoridae,Diptera
93,ncbi,Hemilucilia,Calliphoridae,Diptera
42,ncbi,Conura,Chalcididae,Hymenoptera
66,ncbi,Nodonota,Chrysomelidae,Coleoptera
21,ncbi,Lonchopria,Colletidae,Hymenoptera
37,ncbi,Willinkapis,Colletidae,Hymenoptera
97,ncbi,Ptiloglossa,Colletidae,Hymenoptera
135,ncbi,Perditomorpha,Colletidae,Hymenoptera
136,ncbi,Tetraglossula,Colletidae,Hymenoptera
2,ncbi,Acromyrmex,Formicidae,Hymenoptera
16,ncbi,Forelius,Formicidae,Hymenoptera
72,ncbi,Pseudomyrmex,Formicidae,Hymenoptera
88,ncbi,Dolichoderus,Formicidae,Hymenoptera
115,ncbi,Cephalotes,Formicidae,Hymenoptera
28,ncbi,Pseudagapostemon,Halictidae,Hymenoptera
50,ncbi,Ceratalictus,Halictidae,Hymenoptera
73,ncbi,Rhinocorynura,Halictidae,Hymenoptera
137,ncbi,Thectochlora,Halictidae,Hymenoptera
85,ncbi,Chioides,Hesperiidae,Lepidoptera
59,ncbi,Largus,Largidae,Hemiptera
65,ncbi,Ministrymon,Lycaenidae,Lepidoptera
116,ncbi,Chlorostrymon,Lycaenidae,Lepidoptera
35,ncbi,Trichothurgus,Megachilidae,Hymenoptera
89,ncbi,Epanthidium,Megachilidae,Hymenoptera
140,ncbi,Macraspis,Multicalycidae,Aspidogastridae
3,ncbi,Agromizidae,Agromizidae,Diptera
4,ncbi,Ananthidium,Megachilidae,Hymenoptera
5,ncbi,Aristosyrphus,Syrphidae,Diptera
6,ncbi,Audre,Riodinidae,Lepidoptera
7,ncbi,Bryodemina,Bombyliidae,Diptera
8,ncbi,Parasystoechus,Bombyliidae,Diptera
9,ncbi,Poecilognathus,Bombyliidae,Diptera
10,ncbi,Calliopsini,Andrenidae,Hymenoptera
11,ncbi,Chaetocrania,Tachinidae,Diptera
14,ncbi,Epitragus,Tenebrionidae,Coleoptera
15,ncbi,Eumenidae,Vespidae,Hymenoptera
17,ncbi,Hemiptera,NA,Hemiptera
19,ncbi,Hypalastoroides,Vespidae,Hymenoptera
20,ncbi,Leptometriella,Apidae,Hymenoptera
24,ncbi,Mutilidae,Mutilidae,Hymenoptera
25,ncbi,Neuroptera,NA,Neuroptera
27,ncbi,Pompillidae,Pompilidae,Hymenoptera
29,ncbi,Rubrica,Sphecidae,Hymenoptera
30,ncbi,Sciomyzidae,Sciomyzidae,Diptera
