"","unique(plant_family$family)"
"161","Grossulariaceae"
"162","Tofieldiaceae"
"163","Clethraceae"
"164","Nartheciaceae"
"165","Dioscoreaceae"
"166","Elaeagnaceae"
"167","Basellaceae"
"168","Iteaceae"
"169","Ulmaceae"
"170","Phytolaccaceae"
"171","Saururaceae"
"172","Pontederiaceae"
"173","Linderniaceae"
"174","Hydrocharitaceae"
"175","Nymphaeaceae"
"176","Typhaceae"
"177","Eupteleaceae"
"178","Paeoniaceae"
"179","Aphloiaceae"
"180","Calophyllaceae"
"181","Erythroxylaceae"
"182","Flagellariaceae"
"183","Chrysobalanaceae"
"184","Sapotaceae"
"185","Rousseaceae"
"186","Achariaceae"
"187","Annonaceae"
"188","Dilleniaceae"
"189","Nepenthaceae"
"190","Comandraceae"
"191","Hypoxidaceae"
"192","Eulophidae"
"193","Martyniaceae"
"194","Nelumbonaceae"
"195","Hyriidae"
"196","Molluginaceae"
"197","Aristolochiaceae"
"198","Columelliaceae"
"199","Costaceae"
