"","ele","lng","lat","Network"
"1",74,3.296797,42.315336,"Bartomeu_BA"
"2",74,3.296797,42.315336,"Bartomeu_FR"
"3",74,3.296797,42.315336,"Bartomeu_M1"
"4",74,3.296797,42.315336,"Bartomeu_M3"
"5",74,3.296797,42.315336,"Bartomeu_MI"
"6",74,3.296797,42.315336,"Bartomeu_SE"
"7",917,13.105,47.64917,"benadi_14_1"
"8",957,12.89722,47.598,"benadi_14_2"
"9",1352,12.93417,47.58194,"benadi_14_3"
"10",799,13.03056,47.69056,"benadi_14_4"
"11",544,13.14139,47.67528,"benadi_14_5"
"12",852,12.94778,47.69694,"benadi_14_6"
"13",2913,-106.9842,38.95139,"Caradonna14"
"14",540,-68.015892,-32.008985,"Chacoff_011"
"15",3342,99.63806,27.90139,"Fang_Huang8"
"16",3342,99.63806,27.90139,"Fang_Huang9"
"17",3342,99.63806,27.90139,"Fang_Huang1"
"18",136,-31.134698,39.450242,"ilha_das_vl"
"19",1914,-3.95,40.8333,"lararomer16"
"20",3363,-70.266668,-33.283334,"M_PL_001_00"
"21",3363,-70.266668,-33.283334,"M_PL_002_00"
"22",3363,-70.266668,-33.283334,"M_PL_003_00"
"23",107,-66.071245,46.553731,"M_PL_004_00"
"24",4241,-105.043821,38.841784,"M_PL_005_00"
"25",2,1.575532,52.762395,"M_PL_006_00"
"26",39,1.097873,52.413173,"M_PL_007_00"
"27",2011,-16.633333,28.216667,"M_PL_008_00"
"28",1009,18.5,68.35,"M_PL_009_00"
"29",261,-20.5,74.5,"M_PL_010_00"
"30",565,57.552152,-20.348404,"M_PL_011_00"
"31",1193,-17.248908,28.127842,"M_PL_012_00"
"32",1448,30.133333,-29.616667,"M_PL_013_00"
"33",250,-71.3,81.816667,"M_PL_014_00"
"34",118,23.635043,38.014466,"M_PL_015_00"
"35",30,-6.55,37.016667,"M_PL_016_00"
"36",9,-2.589902,51.574994,"M_PL_017_00"
"37",83,9.973652,56.238737,"M_PL_018_00"
"38",2121,148.266667,-36.45,"M_PL_019_00"
"39",250,-71.3,81.816667,"M_PL_020_00"
"40",735,135.75,35.333333,"M_PL_021_00"
"41",3289,-69.7,-34.166667,"M_PL_022_00"
"42",1900,-69.283333,-33,"M_PL_023_00"
"43",92,-114.966667,75,"M_PL_024_00"
"44",149,-79.001843,36.075391,"M_PL_025_00"
"45",1,-90.600747,-0.290164,"M_PL_026_00"
"46",745,171.566667,-42.95,"M_PL_027_00"
"47",964,171.78466,-43.02823,"M_PL_028_00"
"48",1685,171.720224,-43.099531,"M_PL_029_00"
"49",110,-67.416667,8.933333,"M_PL_030_00"
"50",1473,-61.716667,5.583333,"M_PL_031_00"
"51",224,-88.166667,40.133333,"M_PL_032_00"
"52",68,-75.5,45.4,"M_PL_033_00"
"53",84,-73.583333,-42,"M_PL_034_00"
"54",8,-76.191667,17.916667,"M_PL_035_00"
"55",885,-31.227222,39.466667,"M_PL_036_00"
"56",78,9.973652,56.248737,"M_PL_037_00"
"57",71,9.993652,56.238737,"M_PL_038_00"
"58",2490,-16.605556,28.268611,"M_PL_039_00"
"59",151,-77.645278,18.353889,"M_PL_040_00"
"60",115,-61.467222,15.518889,"M_PL_041_00"
"61",7,-90.977222,-0.949194,"M_PL_042_00"
"62",82,9.953652,56.238737,"M_PL_043_00"
"63",10,129.493741,28.377248,"M_PL_044_00"
"64",1,-52,71,"M_PL_045_00"
"65",55,10.233333,56.066667,"M_PL_046_00"
"66",75,9.266667,56.066667,"M_PL_047_00"
"67",54,9.1,56.1,"M_PL_048_00"
"68",37,10.216667,56.066667,"M_PL_049_00"
"69",2490,-16.605556,28.268611,"M_PL_050_00"
"70",139,-50.55,66.966667,"M_PL_052_00"
"71",499,131.5,33.4,"M_PL_053_00"
"72",62,135.783333,35.033333,"M_PL_054_00"
"73",21,136.083333,35.65,"M_PL_055_00"
"74",1475,138.383333,35.583333,"M_PL_056_00"
"75",330,135.866667,35.166667,"M_PL_057_00"
"76",358,57.443254,-20.452076,"M_PL_060_01"
"77",358,57.443254,-20.452076,"M_PL_060_02"
"78",358,57.443254,-20.452076,"M_PL_060_03"
"79",358,57.443254,-20.452076,"M_PL_060_04"
"80",358,57.443254,-20.452076,"M_PL_060_05"
"81",358,57.443254,-20.452076,"M_PL_060_06"
"82",358,57.443254,-20.452076,"M_PL_060_07"
"83",358,57.443254,-20.452076,"M_PL_060_08"
"84",358,57.443254,-20.452076,"M_PL_060_09"
"85",358,57.443254,-20.452076,"M_PL_060_10"
"86",358,57.443254,-20.452076,"M_PL_060_11"
"87",358,57.443254,-20.452076,"M_PL_060_12"
"88",358,57.443254,-20.452076,"M_PL_060_13"
"89",358,57.443254,-20.452076,"M_PL_060_14"
"90",358,57.443254,-20.452076,"M_PL_060_15"
"91",358,57.443254,-20.452076,"M_PL_060_16"
"92",358,57.443254,-20.452076,"M_PL_060_17"
"93",358,57.443254,-20.452076,"M_PL_060_18"
"94",358,57.443254,-20.452076,"M_PL_060_19"
"95",358,57.443254,-20.452076,"M_PL_060_20"
"96",358,57.443254,-20.452076,"M_PL_060_21"
"97",358,57.443254,-20.452076,"M_PL_060_22"
"98",358,57.443254,-20.452076,"M_PL_060_23"
"99",358,57.443254,-20.452076,"M_PL_060_24"
"100",303,55.43333,-4.666667,"M_PL_061_01"
"101",303,55.43333,-4.666667,"M_PL_061_02"
"102",303,55.43333,-4.666667,"M_PL_061_03"
"103",303,55.43333,-4.666667,"M_PL_061_04"
"104",303,55.43333,-4.666667,"M_PL_061_05"
"105",303,55.43333,-4.666667,"M_PL_061_06"
"106",303,55.43333,-4.666667,"M_PL_061_07"
"107",303,55.43333,-4.666667,"M_PL_061_08"
"108",303,55.43333,-4.666667,"M_PL_061_09"
"109",303,55.43333,-4.666667,"M_PL_061_10"
"110",303,55.43333,-4.666667,"M_PL_061_11"
"111",303,55.43333,-4.666667,"M_PL_061_12"
"112",303,55.43333,-4.666667,"M_PL_061_13"
"113",303,55.43333,-4.666667,"M_PL_061_14"
"114",303,55.43333,-4.666667,"M_PL_061_15"
"115",303,55.43333,-4.666667,"M_PL_061_16"
"116",303,55.43333,-4.666667,"M_PL_061_17"
"117",303,55.43333,-4.666667,"M_PL_061_18"
"118",303,55.43333,-4.666667,"M_PL_061_19"
"119",303,55.43333,-4.666667,"M_PL_061_20"
"120",303,55.43333,-4.666667,"M_PL_061_21"
"121",303,55.43333,-4.666667,"M_PL_061_22"
"122",303,55.43333,-4.666667,"M_PL_061_23"
"123",303,55.43333,-4.666667,"M_PL_061_24"
"124",303,55.43333,-4.666667,"M_PL_061_25"
"125",303,55.43333,-4.666667,"M_PL_061_26"
"126",303,55.43333,-4.666667,"M_PL_061_27"
"127",303,55.43333,-4.666667,"M_PL_061_28"
"128",303,55.43333,-4.666667,"M_PL_061_29"
"129",303,55.43333,-4.666667,"M_PL_061_30"
"130",303,55.43333,-4.666667,"M_PL_061_31"
"131",303,55.43333,-4.666667,"M_PL_061_32"
"132",303,55.43333,-4.666667,"M_PL_061_33"
"133",303,55.43333,-4.666667,"M_PL_061_34"
"134",303,55.43333,-4.666667,"M_PL_061_35"
"135",303,55.43333,-4.666667,"M_PL_061_36"
"136",303,55.43333,-4.666667,"M_PL_061_37"
"137",303,55.43333,-4.666667,"M_PL_061_38"
"138",303,55.43333,-4.666667,"M_PL_061_39"
"139",303,55.43333,-4.666667,"M_PL_061_40"
"140",303,55.43333,-4.666667,"M_PL_061_41"
"141",303,55.43333,-4.666667,"M_PL_061_42"
"142",303,55.43333,-4.666667,"M_PL_061_43"
"143",303,55.43333,-4.666667,"M_PL_061_44"
"144",303,55.43333,-4.666667,"M_PL_061_45"
"145",303,55.43333,-4.666667,"M_PL_061_46"
"146",303,55.43333,-4.666667,"M_PL_061_47"
"147",303,55.43333,-4.666667,"M_PL_061_48"
"148",189,-89.8968771,39.278958,"M_PL_062_00"
"149",147,57.43,-20.25,"mauritius_v"
"150",68,-123.6311111,48.8083333,"parachnowit"
"151",173,174.4589,-36.9264,"Probert_Ana"
"152",49,174.4823,-36.9866,"Probert_Kar"
"153",7,174.5068,-37.0402,"Probert_Wha"
"154",347,-99.0972,49.7094,"Robson_2014"
"155",31,-75.804512,78.875223,"Robinson_18"
"156",239,-39.766667,-12.7,"Santos_2010"
"157",11,-158.278615,21.574281,"Shay_et2016"
"158",1713,100.385368,50.436774,"Song_002015"
"159",628,-52.048056,-18.280556,"Souza_cerra"
"160",80,-57.885,-21.701111,"Souza_chaco"
"161",556,-54.398333,-20.544167,"Souza_panta"
"162",91,-57.039667,-19.581178,"Souza_verad"
"163",67,-91.012863,-0.6907,"Traveset_13"
"164",666,13.8919,28.5643,"Troj_fuert1"
"165",666,13.8919,28.5643,"Troj_fuert2"
"166",443,17.2267,28.0398,"Troj_gomer1"
"167",443,17.2267,28.0398,"Troj_gomer2"
"168",457,15.4331,27.9041,"Troj_GranC1"
"169",457,15.4331,27.9041,"Troj_GranC2"
"170",449,17.8959,27.8047,"Troj_Hierr1"
"171",449,17.8959,27.8047,"Troj_Hierr2"
"172",518,16.4173,28.2222,"Troj_TeneS1"
"173",518,16.4173,28.2222,"Troj_TeneS2"
"174",389,16.9123,28.3531,"Troj_TeneT1"
"175",389,16.9123,28.3531,"Troj_TeneT2"
"176",460,14.4222,26.161,"Troj_WestS1"
"177",460,14.4222,26.161,"Troj_WestS2"
"178",69,174.51861,-36.886333,"vannoort_Ai"
"179",231,174.47333,-36.858694,"vannoort_ma"
"180",1004,-71.498965,-41.011859,"VS_llao_lla"
"181",1004,-71.498965,-41.011859,"VS Mascardi"
"182",1004,-71.498965,-41.011859,"VS Quetrihu"
"183",1004,-71.498965,-41.011859,"VS Safarila"
"184",79,-2.627856,51.457104,"carvalheiro"
