,db,query,family,order,Genus,note
1518,ncbi,1166,Tachinidae,Diptera,Linnaenya,
1523,ncbi,1383,Asilidae,Diptera,Neaitamus,
1526,ncbi,1570,Scarabaeidae,Coleoptera,Paraserica,
1533,ncbi,1859,Curculionidae,Coleoptera,Rhinoncomimus,
1536,ncbi,1963,Tachinidae,Diptera,Sisyropa,
1543,ncbi,775,Megachilidae,Hymenoptera,Euapis,
1547,ncbi,1168,Chrysomelidae,Coleoptera,Linotetis,
1548,ncbi,1477,Eumenidae,Hymenoptera,Oracistrocerus,
1549,ncbi,1549,Papilionidae,Lepidoptera,Papilix,
1551,ncbi,677,Pentatomidae,Hemiptera,Dybowskia,
1552,ncbi,1110,Halictidae,Hymenoptera,Lasiogiossum,Lasioglossum
1554,ncbi,142,Anthocoridae,Hemiptera,Anthocris,Anthocoris
1559,ncbi,1120,Syrphidae,Hymenoptera,Lathrophthalmus,Eristalinus
1560,ncbi,1137,Alydidae,Hemiptera,Leptocorixa,Leptocorisa
1563,ncbi,1804,Syrphidae,Diptera,Pseudomerdon,
1564,ncbi,2191,Syrphidae,Diptera,Vollucella,Volucella
1565,ncbi,2215,Apidae,Hymenoptera,Xptocopa,Xylocopa
1566,ncbi,1862,Syrphidae,Diptera,Rhinotropidia,
1568,ncbi,1626,Aphrophoridae,Hemiptera,Petaphora,
1569,ncbi,1046,Pyralidae,Lepidoptera,Hymerria,
1572,ncbi,670,Dolichopodidae,Diptera,Dotichopus,Dolichopus
1575,ncbi,996,Syrphidae,Diptera,Hetophilus,Helophilus
1581,ncbi,790,Pipunculidae,Diptera,Eudorilas,
1584,ncbi,1250,Megachilidae,Hymenoptera,Megachite,Megachile
1589,ncbi,122,Pompilidae,Hymenoptera,Anoptius,Anoplius
1591,ncbi,426,Syrphidae,Diptera,Cheitosia,
1594,ncbi,542,Colletidae,Hymenoptera,Cottetes,Colletes
1596,ncbi,765,Syrphidae,Diptera,Eristatinus,Eristalinus
1597,ncbi,835,Tachinidae,Diptera,Eutachina,Phorcidella
1599,ncbi,1074,Attelabidae,Coleoptera,Involvutus,
1603,ncbi,1238,Melyridae,Coleoptera,Matachius,Malachius
1604,ncbi,1437,Ephydridae,Diptera,Ochtera,Ochtera
1609,ncbi,1670,Reduviidae,Hemiptera,Phynocoris,Rhynocoris
1610,ncbi,1685,Geocoridae,Hemiptera,Piocoris,Geocoris
1615,ncbi,1949,Tachinidae,Diptera,Servillia,
1617,ncbi,462,Oedomeridae,Coleoptera,Chrysarthia,Chrysanthia
1619,ncbi,1527,Cerambycidae,Coleoptera,Pachytodes,
1620,ncbi,276,Apidae,Hymenoptera,Bornbus,Bombus
1621,ncbi,2242,Nymphalidae,Lepidoptera,Zophoessa,
1622,ncbi,532,Cerambycidae,Coleoptera,Corymbia,Stictoleptura
1623,ncbi,1377,Cerambycidae,Coleoptera,Nakanea,
1624,ncbi,102,Cerambycidae,Coleoptera,Anastrangalis,
1627,ncbi,625,Calliphoridae,Diptera,Dexopollenia,
1632,ncbi,2206,Calliphoridae,Diptera,Xanthothyxus,
1633,ncbi,233,Zygaenidae,Lepidoptera,Balatala,
1636,ncbi,1197,Chrysomelidae,Coleoptera,Lupesus,
1638,ncbi,70,Tenthredinidae,Hymenoptera,Alphostrombocerus,
1639,ncbi,97,Pyralidae,Lepidoptera,Anaria,
1641,ncbi,257,Biphyllidae,Coleoptera,Biphyllis,
1651,ncbi,1109,Halictidae,Hymenoptera,Lasiogfossum,Lasioglossum
1652,ncbi,1152,Miridae,Hemiptera,Ligus,Lygus
1653,ncbi,1509,Geometridae,Lepidoptera,Ourapterix,
1654,ncbi,1550,Scarabaeidae,Coleoptera,Papilla,Popillia
1656,ncbi,1843,Chrysomelidae,Coleoptera,Pyrrhata,Pyrrhalta
1658,ncbi,1964,Tephritidae,Diptera,Sitarea,
1661,ncbi,2187,Syrphidae,Diptera,Videa,Didea
1662,ncbi,1826,Callidulidae,Lepidoptera,Pteroelecta,
1663,ncbi,168,Nymphalidae,Lepidoptera,Arasehmia,
1665,ncbi,184,Syrphidae,Diptera,Asarcuna,
1667,ncbi,1436,Hesperiidae,Lepidoptera,Ocholodes,
1668,ncbi,916,Tachinidae,Diptera,Gormnosoma,Gymnosoma
1670,ncbi,1241,Sphingidae,Lepidoptera,Mauoglossum,
