"","db","query","family","order","Genus"
"582","ncbi","379",NA,NA,"Cephidae"
"583","ncbi","395",NA,NA,"Cerioides"
"586","ncbi","489",NA,NA,"Clytiomyia"
"587","ncbi","521",NA,NA,"Coreidae"
"589","ncbi","572",NA,NA,"Cuphocera"
"590","ncbi","591",NA,NA,"Cytherea"
"593","ncbi","653",NA,NA,"Diphyrus"
"596","ncbi","849",NA,NA,"Exhyalanthrax"
"614","ncbi","1285",NA,NA,"Mesanthidium"
"616","ncbi","1302",NA,NA,"Metopoplax"
"628","ncbi","1636",NA,NA,"Phaniosoma"
"640","ncbi","1994",NA,NA,"Stelis"
"643","ncbi","2030",NA,NA,"Strymonidia"
"647","ncbi","2130",NA,NA,"Trianthidium"
"653","ncbi","2042",NA,NA,"Syntarucus"
"655","ncbi","708",NA,NA,"Ells"
"656","ncbi","763",NA,NA,"Eristalodes"
"657","ncbi","1282",NA,NA,"Meria"
"662","ncbi","968",NA,NA,"Heliotaurus"
"663","ncbi","1121",NA,NA,"Lathyrophthalmus"
"665","ncbi","1428",NA,NA,"Nustera"
"671","ncbi","396",NA,NA,"Cerocala"
"674","ncbi","655",NA,NA,"Discestra"
"675","ncbi","656",NA,NA,"Dischistus"
"676","ncbi","693",NA,NA,"Edema"
"687","ncbi","1362",NA,NA,"Mylabrix"
"688","ncbi","1372",NA,NA,"Mythimma"
"689","ncbi","1532",NA,NA,"Palleira"
"695","ncbi","1776",NA,NA,"Pryonix"
"700","ncbi","2165",NA,NA,"Udaea"
"702","ncbi","1833",NA,NA,"Pyonia"
"706","ncbi","2166",NA,NA,"Undefined"
"710","ncbi","729",NA,NA,"Eoseristalis"
"713","ncbi","401",NA,NA,"Ceuthorrhynchus"
"718","ncbi","2028",NA,NA,"Strophosomus"
"727","ncbi","1308",NA,NA,"Miccotrogus"
"731","ncbi","1073",NA,NA,"Incurviseta"
"732","ncbi","2168",NA,NA,"Unientified"
"733","ncbi","643",NA,NA,"Dilophus"
"734","ncbi","852",NA,NA,"Exonera"
"735","ncbi","1715",NA,NA,"Poecilohetaerus"
"738","ncbi","1597",NA,NA,"Pelecorhychus"
"741","ncbi","68",NA,NA,"Alophera"
"742","ncbi","825",NA,NA,"Euryglossa"
"745","ncbi","408",NA,NA,"Chaetophthalamus"
"746","ncbi","450",NA,NA,"Chloromerus"
"747","ncbi","649",NA,NA,"Diostracus"
"750","ncbi","1754",NA,NA,"Prohardya"
"754","ncbi","1922",NA,NA,"Sciari"
"759","ncbi","2054",NA,NA,"Tachinidae"
"760","ncbi","319",NA,NA,"Calliphoridae"
"763","ncbi","1631",NA,NA,"Phalacrodira"
"764","ncbi","1705",NA,NA,"Plebius"
"765","ncbi","5",NA,NA,"Acarina"
"769","ncbi","409",NA,NA,"Chalcidae"
"772","ncbi","1321",NA,NA,"Microspectra"
"775","ncbi","1590",NA,NA,"Pectinarctica"
"777","ncbi","2068",NA,NA,"Tarentula"
"778","ncbi","2142",NA,NA,"Tridymus"
"779","ncbi","764",NA,NA,"Eristalomya"
"780","ncbi","779",NA,NA,"Eucetonia"
"781","ncbi","151",NA,NA,"Anthromacra"
"782","ncbi","272",NA,NA,"Bombylus"
"785","ncbi","1418",NA,NA,"Nonartha"
"787","ncbi","1571",NA,NA,"Parastrangalis"
"788","ncbi","748",NA,NA,"Epistotophe"
"790","ncbi","885",NA,NA,"Ganoxanthus"
"795","ncbi","263",NA,NA,"Blitopertha"
"797","ncbi","1254",NA,NA,"Megaspis"
"810","ncbi","531",NA,NA,"Corymbas"
"811","ncbi","617",NA,NA,"Demonax"
"815","ncbi","1068",NA,NA,"Idiostrangalia"
"816","ncbi","1071",NA,NA,"Imatisma"
"817","ncbi","1091",NA,NA,"Japanostrangalia"
"819","ncbi","1167",NA,NA,"Linoetis"
"820","ncbi","1265",NA,NA,"Melanotus"
"822","ncbi","1467",NA,NA,"Onomaus"
"826","ncbi","2026",NA,NA,"Strombocerina"
"828","ncbi","2129",NA,NA,"Tremus"
"832","ncbi","125",NA,NA,"Anostinus"
"836","ncbi","200",NA,NA,"Athemellus"
"837","ncbi","252",NA,NA,"Bhaphuma"
"842","ncbi","378",NA,NA,"Cephenius"
"845","ncbi","475",NA,NA,"Chrystogaster"
"848","ncbi","533",NA,NA,"Corymia"
"851","ncbi","621",NA,NA,"Dere"
"856","ncbi","752",NA,NA,"Epotiocerus"
"857","ncbi","799",NA,NA,"Eulype"
"859","ncbi","865",NA,NA,"Ferusa"
"860","ncbi","956",NA,NA,"Harmonia"
"866","ncbi","1236",NA,NA,"Mashumyia"
"868","ncbi","1278",NA,NA,"Meluscaeva"
"869","ncbi","1299",NA,NA,"Metialina"
"870","ncbi","1307",NA,NA,"Micadocantharis"
"871","ncbi","1325",NA,NA,"Milesia"
"878","ncbi","1575",NA,NA,"Paratrichius"
"879","ncbi","1589",NA,NA,"Pecticus"
"880","ncbi","1595",NA,NA,"Pelatines"
"883","ncbi","1789",NA,NA,"Pseudaosterna"
"885","ncbi","1845",NA,NA,"Pyrrhona"
"886","ncbi","1920",NA,NA,"Schwarzerium"
"891","ncbi","2020",NA,NA,"Strangalomorpha"
"892","ncbi","2025",NA,NA,"Strogylogaster"
"893","ncbi","2044",NA,NA,"Syreta"
"895","ncbi","2061",NA,NA,"Takaomyia"
"900","ncbi","2200",NA,NA,"Xanthochroa"
"903","ncbi","2112",NA,NA,"Thysanoptera"
"905","ncbi","440",NA,NA,"Chironomidae"
"906","ncbi","448",NA,NA,"Chlorobrachycoma"
"907","ncbi","1053",NA,NA,"Hypodinerus"
"908","ncbi","1172",NA,NA,"Liphantus"
"910","ncbi","1349",NA,NA,"Mosillus"
"912","ncbi","492",NA,NA,"Coccinela"
"913","ncbi","600",NA,NA,"Dasybaris"
"914","ncbi","663",NA,NA,"Dolichogyna"
"917","ncbi","1710",NA,NA,"Podagritus"
"919","ncbi","2062",NA,NA,"Tamseuxoa"
"936","ncbi","1717",NA,NA,"Pogonomyiodes"
"939","ncbi","940",NA,NA,"Halictid"
"940","ncbi","1037",NA,NA,"Hylema"
"942","ncbi","2121",NA,NA,"Toxomerous"
"943","ncbi","781",NA,NA,"Euchlo"
"944","ncbi","734",NA,NA,"Ephemoropsis"
"945","ncbi","221",NA,NA,"Augochorella"
"947","ncbi","1118",NA,NA,"Lassioglossum"
"954","ncbi","783",NA,NA,"Euchrombius"
"955","ncbi","1134",NA,NA,"Lepidanthrax"
"957","ncbi","1510",NA,NA,"Oxacis"
"958","ncbi","657",NA,NA,"Disclisioprocta"
"960","ncbi","1784",NA,NA,"Psedoplusia"
"962","ncbi","89",NA,NA,"Ammophorus"
