,db,family,query,order
115,ncbi,NA,Indeterminada,NA
124,ncbi,Cyperaceae,Ascolepis,Poales
11,ncbi,Nyctaginaceae,Oxybaphus,Caryophyllales
59,ncbi,Ochnaceae,Ouratea,Malpighiales
8,ncbi,Oleaceae,Menodora,Lamiales
1,ncbi,Papaveraceae,Argemone,Ranunculales
80,ncbi,Passifloraceae,Piriqueta,Malpighiales
14,ncbi,Plantaginaceae,Monttea,Lamiales
98,ncbi,Plantaginaceae,Angelonia,Lamiales
12,ncbi,Polygalaceae,Bredemeyera,Fabales
92,ncbi,Pontederiaceae,Eichhornia,Commelinales
3,ncbi,Rhamnaceae,Condalia,Rosales
25,ncbi,Rubiaceae,Galianthe,Gentianales
83,ncbi,Rubiaceae,Staelia,Gentianales
103,ncbi,Rubiaceae,Genipa,Gentianales
120,ncbi,Rubiaceae,Emmeorhiza,Gentianales
122,ncbi,Rubiaceae,Diodella,Gentianales
104,ncbi,Salicaceae,Laetia,Malpighiales
36,ncbi,Sapindaceae,Serjania,Sapindales
94,ncbi,Sapindaceae,Paullinia,Sapindales
52,ncbi,Sapotaceae,Pouteria,Ericales
7,ncbi,Scrophulariaceae,Buddleja,Lamiales
21,ncbi,Solanaceae,Petunia,Solanales
75,ncbi,Talinaceae,Talinum,Caryophyllales
126,ncbi,Urticaceae,Cecropia,Rosales
13,ncbi,Verbenaceae,Dipyrena,Lamiales
16,ncbi,Verbenaceae,Glandularia,Lamiales
109,ncbi,Verbenaceae,Baillonia,Lamiales
58,ncbi,Vochysiaceae,Vochysia,Myrtales
127,ncbi,Xyridaceae,Abolboda,Poales
