"","PGenus","family"
"1","Acaena","Rosaceae"
"2","Adesmia","Fabaceae"
"6","Berberis","Berberidaceae"
"7","Bowlesia","Apiaceae"
"8","Calandrinia","Montiaceae"
"10","Cerastium","Caryophyllaceae"
"11","Chaetanthera","Asteraceae"
"13","Chuquiraga","Asteraceae"
"14","Erodium","Geraniaceae"
"15","Euphorbia","Euphorbiaceae"
"16","Haplopappus","Asteraceae"
"18","Hypochoeris","Asteraceae"
"19","Leuceria","Asteraceae"
"20","Leucocoryne","Amaryllidaceae"
"21","Mulinum","Apiaceae"
"22","Mustisia","Asteraceae"
"23","Oxalis","Oxalidaceae"
"24","Phacelia","Hydrophyllaceae"
"25","Quinchamalium","Schoepfiaceae"
"26","Rhodophiala","Amaryllidaceae"
"27","Sanicula","Apiaceae"
"28","Senecio","Asteraceae"
"30","Sisyrinchium","Iridaceae"
"31","Stachys","Lamiaceae"
"32","Tetraglochin","Rosaceae"
"33","Tristagma","Amaryllidaceae"
"34","Valeriana","Caprifoliaceae"
"35","Astragalus","Fabaceae"
"38","Calceolaria","Calceolariaceae"
"40","Clarkia","Onagraceae"
"42","Loasa","Loasaceae"
"43","Lupinus","Fabaceae"
"47","Perezia","Asteraceae"
"49","Salpiglossus","Solanaceae"
"52","Solanum","Solanaceae"
"53","Solenomelus","Iridaceae"
"54","Tropaeolum","Tropaeolaceae"
"56","Verbena","Verbenaceae"
"58","Asteriscium","Apiaceae"
"59","Barneoudia","Ranunculaceae"
"64","Cardamine","Brassicaceae"
"69","Nardophyllum","Asteraceae"
"77","Viviania","Francoaceae"
"86","Schizanthus","Solanaceae"
"87","Scypanthus","Loasaceae"
"96","Anarthrophyllum","Fabaceae"
"99","Lathyrus","Fabaceae"
"100","Madia","Asteraceae"
"106","Alstroemeria","Alstroemeriaceae"
"109","Cynoglossum","Boraginaceae"
"169","Nassauvia","Asteraceae"
"246","Oenothera","Onagraceae"
"258","Nothoscordum","Amaryllidaceae"
"263","Lepidium","Brassicaceae"
"276","Collomia","Polemoniaceae"
"285","Malesherbia","Passifloraceae"
"336","Trichocereus","Cactaceae"
"353","Hippeastrum","Amaryllidaceae"
"369","Mutisia","Asteraceae"
"405","Azorella","Apiaceae"
"407","Discaria","Rhamnaceae"
"408","Laretia","Apiaceae"
"443","Werneria","Asteraceae"
"453","Ranunculus","Ranunculaceae"
"457","Stenodraba","Brassicaceae"
"494","Viola","Violaceae"
"507","Erigeron","Asteraceae"
"561","Draba","Brassicaceae"
"569","Caiophora","Loasaceae"
"576","Oreopolus","Rubiaceae"
"582","Junellia","Verbenaceae"
"584","Nototriche","Malvaceae"
"606","Pozoa","Apiaceae"
"639","Aralia","Araliaceae"
"640","Cypripedium","Orchidaceae"
"641","Linnaea","Caprifoliaceae"
"642","Maianthemum","Asparagaceae"
"644","Chimaphila","Ericaceae"
"645","Cornus","Cornaceae"
"646","Clintonia","Liliaceae"
"655","Pyrola","Ericaceae"
"656","Trillium","Melanthiaceae"
"695","Trientalis","Primulaceae"
"774","Medeola","Liliaceae"
"806","Jamesia","Hydrangeaceae"
"807","Prunus","Rosaceae"
"808","Aconitum","Ranunculaceae"
"809","Allium","Amaryllidaceae"
"810","Arctostaphylus","Ericaceae"
"811","Aster","Asteraceae"
"813","Calochortus","Liliaceae"
"814","Campanula","Campanulaceae"
"815","Carduus","Asteraceae"
"816","Chamaenerium","Onagraceae"
"817","Chrysopsis","Asteraceae"
"818","Cleome","Cleomaceae"
"819","Delphinium","Ranunculaceae"
"820","Dodecatheon","Primulaceae"
"821","Drymocallis","Rosaceae"
"823","Fragaria","Rosaceae"
"824","Frasera","Gentianaceae"
"825","Geranium","Geraniaceae"
"826","Holodiscus","Rosaceae"
"829","Mertensia","Boraginaceae"
"830","Opulaster","Rosaceae"
"831","Pedicularis","Orobanchaceae"
"832","Penstemon","Plantaginaceae"
"833","Pentstemon","Plantaginaceae"
"836","Petalostemon","Fabaceae"
"838","Rosa","Rosaceae"
"839","Rubus","Rosaceae"
"841","Rydbergia","Asteraceae"
"842","Sedum","Crassulaceae"
"843","Sieversia","Rosaceae"
"844","Solidago","Asteraceae"
"847","Aquilegia","Ranunculaceae"
"849","Capnoides","Papaveraceae"
"851","Castilleia","Orobanchaceae"
"854","Erysimum","Brassicaceae"
"857","Heracleum","Apiaceae"
"860","Linaria","Plantaginaceae"
"861","Mentzelia","Loasaceae"
"863","Monarda","Lamiaceae"
"870","Potentilla","Rosaceae"
"889","Helianthus","Asteraceae"
"904","Stanleya","Brassicaceae"
"905","Thermopsis","Fabaceae"
"906","Trifolium","Fabaceae"
"916","Gentiana","Gentianaceae"
"922","Onagra","Onagraceae"
"935","Asclepias","Apocynaceae"
"953","Taraxacum","Asteraceae"
"954","Thalictrum","Ranunculaceae"
"955","Tradescantia","Commelinaceae"
"961","Elephantella","Orobanchaceae"
"982","Gilia","Polemoniaceae"
"998","Dasyphora","Rosaceae"
"1016","Ibidium","Orchidaceae"
"1054","Apocynum","Apocynaceae"
"1090","Scutellaria","Lamiaceae"
"1116","Aragalus","Fabaceae"
"1119","Lithospermum","Boraginaceae"
"1130","Physaria","Brassicaceae"
"1266","Lappula","Boraginaceae"
"1294","Iris","Iridaceae"
"1329","Achillea","Asteraceae"
"1330","Polygonum","Polygonaceae"
"1339","Caltha","Ranunculaceae"
"1343","Malvastrum","Malvaceae"
"1451","Oreochrysum","Asteraceae"
"1484","Silene","Caryophyllaceae"
"1488","Galium","Rubiaceae"
"1528","Pachylophus","Chloropidae"
"1595","Clementsia","Crassulaceae"
"1606","Geum","Rosaceae"
"1656","Sambucus","Adoxaceae"
"1729","Leucanthemum","Asteraceae"
"1730","Lotus","Fabaceae"
"1735","Vicia","Fabaceae"
"1742","Prunella","Lamiaceae"
"1749","Centaurea","Asteraceae"
"1775","Lychnis","Caryophyllaceae"
"1785","Cirsium","Asteraceae"
"1821","Plantago","Plantaginaceae"
"1876","Filipendula","Rosaceae"
"1881","Primula","Primulaceae"
"1887","Orchis","Orchidaceae"
"1960","Echium","Boraginaceae"
"1961","Mentha","Lamiaceae"
"1962","Pimpinella","Apiaceae"
"1963","Pterocephalus","Caprifoliaceae"
"1964","Tolpis","Asteraceae"
"1965","Argyranthemum","Asteraceae"
"1970","Spartocytisus","Fabaceae"
"1973","Nepeta","Lamiaceae"
"1981","Scrophularia","Scrophulariaceae"
"1989","Adenocarpus","Fabaceae"
"2067","Dryas","Rosaceae"
"2068","Pinguicula","Lentibulariaceae"
"2071","Rhodiola","Crassulaceae"
"2072","Rhododendron","Ericaceae"
"2073","Saxifraga","Saxifragaceae"
"2075","Trollius","Ranunculaceae"
"2076","Arabis","Brassicaceae"
"2078","Diapensia","Diapensiaceae"
"2080","Parnassia","Celastraceae"
"2094","Cassiope","Ericaceae"
"2099","Salix","Salicaceae"
"2103","Antennaria","Asteraceae"
"2203","Bartsia","Orobanchaceae"
"2308","Arenaria","Caryophyllaceae"
"2309","Armeria","Plumbaginaceae"
"2310","Arnica","Asteraceae"
"2315","Melandrium","Caryophyllaceae"
"2316","Papaver","Papaveraceae"
"2326","Vaccinium","Ericaceae"
"2356","Cochlearia","Brassicaceae"
"2368","Stellaria","Caryophyllaceae"
"2391","Epilobium","Onagraceae"
"2392","Lesquerella","Brassicaceae"
"2764","Gastonia","Araliaceae"
"2765","Hibiscus","Malvaceae"
"2766","Ipomoea","Convolvulaceae"
"2767","Leucaena","Fabaceae"
"2768","Morinda","Rubiaceae"
"2769","Passiflora","Passifloraceae"
"2770","Pemphis","Lythraceae"
"2771","Scaevola","Goodeniaceae"
"2772","Stachytapheta","Verbenaceae"
"2773","Thespesia","Malvaceae"
"2774","Tourneortia","Boraginaceae"
"2775","Turnera","Passifloraceae"
"2776","Dracaena","Asparagaceae"
"2796","Suriana","Surianaceae"
"2816","Ageretina","Asteraceae"
"2817","Anacyclus","Asteraceae"
"2818","Andryala","Asteraceae"
"2819","Galactites","Asteraceae"
"2820","Laurus","Lauraceae"
"2823","Cedronella","Lamiaceae"
"2825","Erica","Ericaceae"
"2838","Leontodon","Asteraceae"
"2839","Raphanus","Brassicaceae"
"2863","Cistus","Cistaceae"
"2867","Ilex","Aquifoliaceae"
"2870","Picconia","Oleaceae"
"2872","Rhamnus","Rhamnaceae"
"2874","Sonchus","Asteraceae"
"2877","Aichryson","Crassulaceae"
"2879","Appolonias","Lauraceae"
"2885","Hypericum","Hypericaceae"
"2904","Psoralia","Fabaceae"
"2961","Aspidonepsis","Apocynaceae"
"2962","Sisyranthus","Apocynaceae"
"2963","Xysmalobium","Apocynaceae"
"2965","Miraglossum","Apocynaceae"
"2966","Pachycarpus","Apocynaceae"
"3138","Braya","Brassicaceae"
"3243","Chamomilla","Asteraceae"
"3244","Chrysanthemum","Asteraceae"
"3247","Crocus","Iridaceae"
"3248","Ecballium","Cucurbitaceae"
"3250","Fumana","Cistaceae"
"3251","Gagea","Liliaceae"
