"","pairs","F.Model","R2","p.value","p.adjusted","sig"
"1","C vs A",6.39050965844758,0.0907865234881227,0.001,0.00125,"*"
"2","C vs E",2.70728774910628,0.0469141395256133,0.001,0.00125,"*"
"3","C vs D",2.06498949188053,0.0375009513474077,0.009,0.01,"*"
"4","C vs B",7.33521105510418,0.101405815343738,0.001,0.00125,"*"
"5","A vs E",3.8444746589928,0.13328288015099,0.001,0.00125,"*"
"6","A vs D",4.01559532825521,0.148639897787311,0.001,0.00125,"*"
"7","A vs B",6.78586592435426,0.162396202022924,0.001,0.00125,"*"
"8","E vs D",1.85150380627673,0.116803038305021,0.017,0.017,"."
"9","E vs B",4.29586685729749,0.14179712623944,0.001,0.00125,"*"
"10","D vs B",4.84873176883471,0.168074347520288,0.001,0.00125,"*"
