"","diff","lwr","upr","p adj"
"B-A",-0.1167082408767,-0.241050969320371,0.00763448756697087,0.0771620998529307
"C-A",-0.0108885798169178,-0.0947741513847924,0.0729969917509569,0.996470183744627
"D-A",-0.0916545132162487,-0.248661795988722,0.0653527695562249,0.493793337774606
"E-A",0.0100691321968652,-0.141034800549508,0.161173064943238,0.999743623289043
"C-B",0.105819661059782,-0.0239826886843379,0.235622010803902,0.167582808002159
"D-B",0.0250537276604512,-0.160588799055335,0.210696254376237,0.995895392685424
"E-B",0.126777373073565,-0.0538998512056624,0.307454597352793,0.303405103022317
"D-C",-0.0807659333993309,-0.242131427622457,0.0805995608237956,0.641706202172409
"E-C",0.020957712013783,-0.134669838161945,0.176585262189511,0.995929537799785
"E-D",0.101723645413114,-0.102811026708816,0.306258317535044,0.64727801254176
