IGenus,Family,Order
Acanthosoma,Acanthosomatidae,Hemiptera
Elasmostethus,Acanthosomatidae,Hemiptera
Elasmucha,Acanthosomatidae,Hemiptera
Sastragala,Acanthosomatidae,Hemiptera
Deferunda,Achilidae,Hemiptera
Plectoderoides,Achilidae,Hemiptera
Ptectoderoides,Achilidae,Hemiptera
Acrididae,Acrididae,Orthoptera
Halmenus,Acrididae,Orthoptera
Schistocerca,Acrididae,Orthoptera
Actina,Acroceridae,Diptera
Apsonia,Acroceridae,Diptera
Megalybus,Acroceridae,Diptera
Oligoneura,Acroceridae,Diptera
Philopota,Acroceridae,Diptera
Adela,Adelidae,Lepidoptera
Adelidae,Adelidae,Lepidoptera
Nemophora,Adelidae,Lepidoptera
Pseudoloterus,Aderidae,Coleoptera
Agromizidae,Agromizidae,Diptera
Agromyza,Agromyzidae,Diptera
Agromyzidae,Agromyzidae,Diptera
Liriomyza,Agromyzidae,Diptera
Melanagromyza,Agromyzidae,Diptera
Napomyza,Agromyzidae,Diptera
Phytoliriomyza,Agromyzidae,Diptera
Phytomyza,Agromyzidae,Diptera
Pseudonapomyza,Agromyzidae,Diptera
Pelatines,Agyrtidae,Coleoptera
Alydus,Alydidae,Hemiptera
Camptopus,Alydidae,Hemiptera
Leptocorixa,Alydidae,Hemiptera
Andreana,Andrenidae,Hymenoptera
Andrena,Andrenidae,Hymenoptera
andrena,Andrenidae,Hymenoptera
Anthemurgus,Andrenidae,Hymenoptera
Arhysosage,Andrenidae,Hymenoptera
Calliopsis,Andrenidae,Hymenoptera
Callonychium,Andrenidae,Hymenoptera
Heterosarus,Andrenidae,Hymenoptera
Iomelissa,Andrenidae,Hymenoptera
Liphanthus,Andrenidae,Hymenoptera
Liphantus,Andrenidae,Hymenoptera
Opandrena,Andrenidae,Hymenoptera
Panur,Andrenidae,Hymenoptera
Panurginus,Andrenidae,Hymenoptera
panurginus,Andrenidae,Hymenoptera
Panurgus,Andrenidae,Hymenoptera
Parandrena,Andrenidae,Hymenoptera
Perdita,Andrenidae,Hymenoptera
Perditella,Andrenidae,Hymenoptera
Psaenythia,Andrenidae,Hymenoptera
Pseudopanurgus,Andrenidae,Hymenoptera
Pterandrena,Andrenidae,Hymenoptera
Ptilandrena,Andrenidae,Hymenoptera
Spinoliella,Andrenidae,Hymenoptera
Trachandrena,Andrenidae,Hymenoptera
Verbenapis,Andrenidae,Hymenoptera
Zaperdita,Andrenidae,Hymenoptera
Acamptopoeum,Andrenidae,Hymenoptera
Calliopsini,Andrenidae,Hymenoptera
Oxaea,Andrenidae,Hymenoptera
Anisolabis,Anisolabididae,Dermaptera
Neodryophilus,Anobiidae,Coleoptera
Anomia,Anomiidae,Pectinoida
Anthicus,Anthicidae,Coleoptera
Aulacoderus,Anthicidae,Coleoptera
Macratria,Anthicidae,Coleoptera
Anthocoris,Anthocoridae,Hemiptera
Anthocris,Anthocoridae,Hemiptera
Bilia,Anthocoridae,Hemiptera
Adia,Anthomyiidae,Diptera
Alliopsis,Anthomyiidae,Diptera
Anothomyia,Anthomyiidae,Diptera
Anthomyia,Anthomyiidae,Diptera
Anthomyiidae,Anthomyiidae,Diptera
Anthomyiella,Anthomyiidae,Diptera
Anthomyiidae,Anthomyiidae,Diptera
Botanophila,Anthomyiidae,Diptera
Calythea,Anthomyiidae,Diptera
Chiastocheta,Anthomyiidae,Diptera
Delia,Anthomyiidae,Diptera
Egle,Anthomyiidae,Diptera
Enneastigma,Anthomyiidae,Diptera
Eremomyioides,Anthomyiidae,Diptera
Fucellia,Anthomyiidae,Diptera
Hammomyia,Anthomyiidae,Diptera
Heterostylodes,Anthomyiidae,Diptera
Hydrophoria,Anthomyiidae,Diptera
Hylema,Anthomyiidae,Diptera
Hylemya,Anthomyiidae,Diptera
Lasiomma,Anthomyiidae,Diptera
Leucophora,Anthomyiidae,Diptera
Paradelia,Anthomyiidae,Diptera
Paregle,Anthomyiidae,Diptera
Pegohylemyia,Anthomyiidae,Diptera
Pegomya,Anthomyiidae,Diptera
Pegomyia,Anthomyiidae,Diptera
Pegoplata,Anthomyiidae,Diptera
Phorbia,Anthomyiidae,Diptera
Zaphne,Anthomyiidae,Diptera
Xenoglossodes,Anthophoridae,Hymenoptera
Choragus,Anthribidae,Coleoptera
Aphis,Aphididae,Hemiptera
Brevicoryne,Aphididae,Hemiptera
Petaphora,Aphrophoridae,Hemiptera
Agemilla,Apidae,Hymenoptera
Alloscirtetica,Apidae,Hymenoptera
Amegilla,Apidae,Hymenoptera
Ammobates,Apidae,Hymenoptera
Anthophora,Apidae,Hymenoptera
anthophora,Apidae,Hymenoptera
Apidae,Apidae,Hymenoptera
Apis,Apidae,Hymenoptera
Appis,Apidae,Hymenoptera
Bombias,Apidae,Hymenoptera
Bombomelecta,Apidae,Hymenoptera
Bombus,Apidae,Hymenoptera
bombus,Apidae,Hymenoptera
Bornbus,Apidae,Hymenoptera
Cemolobus,Apidae,Hymenoptera
Centrias,Apidae,Hymenoptera
Centris,Apidae,Hymenoptera
Ceratina,Apidae,Hymenoptera
Chalepogenus,Apidae,Hymenoptera
Clisodon,Apidae,Hymenoptera
Diadasia,Apidae,Hymenoptera
Emphor,Apidae,Hymenoptera
Emphoropsis,Apidae,Hymenoptera
Epeolus,Apidae,Hymenoptera
Epicharis,Apidae,Hymenoptera
Epimelissodes,Apidae,Hymenoptera
Eucera,Apidae,Hymenoptera
Euglossa,Apidae,Hymenoptera
Eulaema,Apidae,Hymenoptera
Eupavlovskia,Apidae,Hymenoptera
Exomalopsis,Apidae,Hymenoptera
Exonera,Apidae,Hymenoptera
Florilegus,Apidae,Hymenoptera
Frieseomelitta,Apidae,Hymenoptera
Habropoda,Apidae,Hymenoptera
Heminomada,Apidae,Hymenoptera
Holcopasites,Apidae,Hymenoptera
Holonomada,Apidae,Hymenoptera
Isepeolus,Apidae,Hymenoptera
Manuelia,Apidae,Hymenoptera
Melecta,Apidae,Hymenoptera
Melipona,Apidae,Hymenoptera
Melissodes,Apidae,Hymenoptera
melissodes,Apidae,Hymenoptera
Mesonychium,Apidae,Hymenoptera
Nomada,Apidae,Hymenoptera
Oxystoglossa,Apidae,Hymenoptera
Partamona,Apidae,Hymenoptera
Peponapis,Apidae,Hymenoptera
Plebeia,Apidae,Hymenoptera
Proxylocopa,Apidae,Hymenoptera
Psithyrus,Apidae,Hymenoptera
psithyrus,Apidae,Hymenoptera
Pyrobombus,Apidae,Hymenoptera
Svastrides,Apidae,Hymenoptera
Tapinotaspis,Apidae,Hymenoptera
Tetralonia,Apidae,Hymenoptera
Thyreus,Apidae,Hymenoptera
Triepeolus,Apidae,Hymenoptera
Trigona,Apidae,Hymenoptera
Trigonisca,Apidae,Hymenoptera
Xenoglossa,Apidae,Hymenoptera
Xptocopa,Apidae,Hymenoptera
Xyiocopa,Apidae,Hymenoptera
Xylocopa,Apidae,Hymenoptera
Zaodontomerus,Apidae,Hymenoptera
Melectoides,Apidae,Hymenoptera
Melissoptila,Apidae,Hymenoptera
Svastra,Apidae,Hymenoptera
Ancyloscelis,Apidae,Hymenoptera
Arhysoceble,Apidae,Hymenoptera
Geotrigona,Apidae,Hymenoptera
Melitoma,Apidae,Hymenoptera
Paratetrapedia,Apidae,Hymenoptera
Paratrigona,Apidae,Hymenoptera
Scaptotrigona,Apidae,Hymenoptera
Trichocerapis,Apidae,Hymenoptera
Alepidosceles,Apidae,Hymenoptera
Tetragonisca,Apidae,Hymenoptera
Ctenioschelus,Apidae,Hymenoptera
Tetrapedia,Apidae,Hymenoptera
Schwarzula,Apidae,Hymenoptera
Tetragona,Apidae,Hymenoptera
Leptometriella,Apidae,Hymenoptera
