ORDER,FAMILY,GENUS
Coleoptera,Buprestidae,Buprestidae
Diptera,Agromyzidae,Agromyzidae1
Diptera,Agromyzidae,Agromyzidae2
Diptera,Agromyzydae,Euryglos
Diptera,Anthomyiidae,Anthomyiidae1
Diptera,Anthomyiidae,Anthomyiidae2
Diptera,Bibionidae,Bibionidae1
Diptera,Bibionidae,Bibionidae2
Diptera,Bombyliidae,Bombyliidae
Diptera,Bombyliidae,Lycophlaeba
Diptera,Bombyliidae,Truphloechus
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Bombyliidae,Villa
Diptera,Muscidae,Muscidae1
Diptera,Sarcophagidae,Sarcophagidae1
Diptera,Syrphidae,Eristalis
Diptera,Syrphidae,Habromyia
Diptera,Syrphidae,Scaeva
Diptera,Tabanidae,Dasybasis
Diptera,Tabanidae,Scaptia
Diptera,Tabanidae,Tabanidae
Diptera,Tachinidae,Chaetodemoticus
Diptera,Tachinidae,Prosopochaeta
Diptera,Tachinidae,Prosopochaeta
Diptera,Tachinidae,Ruiziella
Diptera,Tachinidae,Spathipalpus
Diptera,Tachinidae,Tachinidae
Diptera,Tachinidae,Vibrissomyia
Hymenoptera,Andrenidae,Liphanthus
Hymenoptera,Andrenidae,Liphanthus
Hymenoptera,Andrenidae,Liphanthus
Hymenoptera,Andrenidae,Panur
Hymenoptera,Apidae,Alloscirtetica
Hymenoptera,Apidae,Alloscirtetica
Hymenoptera,Apidae,Alloscirtetica
Hymenoptera,Apidae,Anthophora
Hymenoptera,Apidae,Anthophora
Hymenoptera,Apidae,Bombus
Hymenoptera,Apidae,Centris
Hymenoptera,Apidae,Centris
Hymenoptera,Apidae,Centris
Hymenoptera,Apidae,Isepeolus
Hymenoptera,Apidae,Mesonychium
Hymenoptera,Apidae,Svastrides
Hymenoptera,Apidae,Tapinotaspis
Hymenoptera,Apidae,Tapinotaspis
Hymenoptera,Colletidae,Cadeguala
Hymenoptera,Colletidae,Caupolicana
Hymenoptera,Colletidae,Chilicola
Hymenoptera,Colletidae,Chilicola
Hymenoptera,Colletidae,Chilimelissa
Hymenoptera,Colletidae,Colletes
Hymenoptera,Colletidae,Colletes
Hymenoptera,Colletidae,Colletes
Hymenoptera,Colletidae,Hemicolletes
Hymenoptera,Colletidae,Xanthocolletes
Hymenoptera,Colletidae,Xanthocolletes
Hymenoptera,Colletidae,Xanthocolletes
Hymenoptera,Halictidae,Caenohalictus
Hymenoptera,Halictidae,Caenohalictus
Hymenoptera,Halictidae,Caenohalictus
Hymenoptera,Halictidae,Dialectus
Hymenoptera,Halictidae,Ruizantheda
Hymenoptera,Halictidae,Corynurus
Hymenoptera,Megachilidae,Anthidium
Hymenoptera,Megachilidae,Anthidium
Hymenoptera,Megachilidae,Anthidium
Hymenoptera,Megachilidae,Anthidium
Hymenoptera,Megachilidae,Anthidium
Hymenoptera,Megachilidae,Coelioxys
Hymenoptera,Megachilidae,Lithurgomma
Hymenoptera,Megachilidae,Megachile
Hymenoptera,Megachilidae,Megachile
Hymenoptera,Megachilidae,Megachile
Hymenoptera,Tiphidae,Elaphroptera
Hymenoptera,Vespidae,Hypodynerus
Hymenoptera,Vespidae,Hypodynerus
Hymenoptera,Vespidae,Hypodynerus
Hymenoptera,Vespidae,Vespidae
Lepidoptera,Hesperiidae,Andinus
Lepidoptera,Lycaenidae,Pseudolucia
Lepidoptera,Nymphalidae,Etcheverrius
Lepidoptera,Nymphalidae,Faunula
Lepidoptera,Nymphalidae,Yramea
Lepidoptera,Nymphalidae,Auca
Lepidoptera,Pieridae,Hypsochila
Lepidoptera,Pieridae,Phulia
Lepidoptera,Pieridae,Tatochila
Lepidoptera,Pieridae,Tatochila
Diptera,Agromyzidae,Agromyzidae1
Diptera,Agromyzidae,Agromyzidae2
Diptera,Anthomyiidae,Anthomyiidae1
Diptera,Anthomyiidae,Anthomyiidae2
Diptera,Bibionidae,Bibionidae
Diptera,Bombyliidae,Bombyliidae
Diptera,Bombyliidae,Lycophlaeba
Diptera,Bombyliidae,Villa
