"","db","query","family","order","Pollinator"
"955","ncbi","1144",NA,NA,"Lepidanthrax"
"957","ncbi","1523",NA,NA,"Oxacis"
"958","ncbi","663",NA,NA,"Disclisioprocta"
"960","ncbi","1798",NA,NA,"Psedoplusia"
"962","ncbi","90",NA,NA,"Ammophorus"
"965","ncbi","558",NA,NA,"Cricket"
"966","ncbi","604",NA,NA,"Darwinysius"
"970","ncbi","1056",NA,NA,"Hypasclera"
"973","ncbi","1383",NA,NA,"Mythenteles"
"974","ncbi","1394",NA,NA,"Naucles"
"978","ncbi","1630",NA,NA,"Perepitragus"
"981","ncbi","227",NA,NA,"Avibrissina"
"982","ncbi","174",NA,NA,"Argirophenga"
"983","ncbi","1629",NA,NA,"Peremptor"
"984","ncbi","2200",NA,NA,"Veluta"
"985","ncbi","26",NA,NA,"Adoxia"
"986","ncbi","167",NA,NA,"Apsonia"
"987","ncbi","780",NA,NA,"Erythronychia"
"988","ncbi","999",NA,NA,"Heteria"
"989","ncbi","1446",NA,NA,"Occisor"
"990","ncbi","1697",NA,NA,"Pilinasica"
"991","ncbi","1765",NA,NA,"Procissio"
"992","ncbi","1770",NA,NA,"Proscissio"
"993","ncbi","2250",NA,NA,"Zealandotachina"
"995","ncbi","192",NA,NA,"Asilis"
"998","ncbi","805",NA,NA,"Eulalia"
"999","ncbi","928",NA,NA,"Gracilicera"
"1000","ncbi","1026",NA,NA,"Hoplocneme"
"1002","ncbi","1237",NA,NA,"Mallochomacquartia"
"1003","ncbi","1257",NA,NA,"Medinella"
"1004","ncbi","1414",NA,NA,"Neotachina"
"1006","ncbi","1782",NA,NA,"Protohystricia"
"1009","ncbi","166",NA,NA,"Appis"
"1010","ncbi","1035",NA,NA,"Hybopygia"
"1011","ncbi","1781",NA,NA,"Protohystirica"
"1012","ncbi","1945",NA,NA,"Scoparia"
"1013","ncbi","1500",NA,NA,"Orocrambus"
"1015","ncbi","1894",NA,NA,"Rictonis"
"1016","ncbi","181",NA,NA,"Arthracanthus"
"1017","ncbi","430",NA,NA,"Chelaner"
"1019","ncbi","794",NA,NA,"Eucymatoge"
"1021","ncbi","1018",NA,NA,"Homodotis"
"1023","ncbi","1593",NA,NA,"Pareromene"
"1024","ncbi","1659",NA,NA,"Philia"
"1028","ncbi","338",NA,NA,"Campylia"
"1029","ncbi","742",NA,NA,"Ephiphyrne"
"1030","ncbi","751",NA,NA,"Epiphryne"
"1031","ncbi","853",NA,NA,"Evibrissa"
"1033","ncbi","932",NA,NA,"Graphania"
"1036","ncbi","1363",NA,NA,"Musc"
"1038","ncbi","1493",NA,NA,"Oreocalus"
"1039","ncbi","1638",NA,NA,"Perrissina"
