"","family","X","PGenus","order"
"1","Acanthaceae",3291,"Acanthus","Lamiales"
"2","Acanthaceae",37869,"Mendoncia","Lamiales"
"3","Acanthaceae",22748,"Ruellia","Lamiales"
"4","Acanthaceae",37866,"Geissomeria","Lamiales"
"5","Acanthaceae",37914,"Staurogyne","Lamiales"
"6","Acanthaceae",11770,"Odontonema","Lamiales"
"7","Acanthaceae",11165,"Blechum","Lamiales"
"8","Acanthaceae",9381,"Tetramerium","Lamiales"
"9","Acanthaceae",22686,"Dianthera","Lamiales"
"10","Acanthaceae",38145,"Aphelandra","Lamiales"
"11","Acanthaceae",11208,"Thunbergia","Lamiales"
"12","Acanthaceae",9467,"Avicennia","Lamiales"
"13","Acanthaceae",9344,"Justicia","Lamiales"
"14","Achariaceae",20699,"Erythrospermum","Malpighiales"
"15","Actinidiaceae",12213,"Actinidia","Ericales"
"16","Adoxaceae",1656,"Sambucus","Dipsacales"
"17","Adoxaceae",7745,"Viburnum","Dipsacales"
"18","Aizoaceae",20233,"Carpobrotus","Caryophyllales"
"19","Aizoaceae",9373,"Sesuvium","Caryophyllales"
"20","Alismataceae",10367,"Saggitaria","Alismatales"
"21","Alismataceae",17021,"Sagittaria","Alismatales"
"22","Alismataceae",38336,"Hydrocleis","Alismatales"
"23","Alismataceae",17068,"Alisma","Alismatales"
"24","Alismataceae",38219,"Echinodorus","Alismatales"
"25","Alstroemeriaceae",106,"Alstroemeria","Liliales"
"26","Alstroemeriaceae",37902,"Bomarea","Liliales"
"27","Alstroemeriaceae",10831,"Luzuriaga","Liliales"
"28","Amaranthaceae",18575,"Achyranthes","Caryophyllales"
"29","Amaranthaceae",11188,"Philoxerus","Caryophyllales"
"30","Amaranthaceae",11325,"Beta","Caryophyllales"
"31","Amaranthaceae",38220,"Gomphrena","Caryophyllales"
"32","Amaranthaceae",22778,"Amaranthus","Caryophyllales"
"33","Amaranthaceae",11133,"Alternanthera","Caryophyllales"
"34","Amaryllidaceae",20,"Leucocoryne","Asparagales"
"35","Amaryllidaceae",809,"Allium","Asparagales"
"36","Amaryllidaceae",353,"Hippeastrum","Asparagales"
"37","Amaryllidaceae",33,"Tristagma","Asparagales"
"38","Amaryllidaceae",3262,"Sternbergia","Asparagales"
"39","Amaryllidaceae",38221,"Agapanthus","Asparagales"
"40","Amaryllidaceae",26,"Rhodophiala","Asparagales"
"41","Amaryllidaceae",17146,"Alium","Asparagales"
"42","Amaryllidaceae",258,"Nothoscordum","Asparagales"
"43","Anacardiaceae",21949,"Campnosperma","Sapindales"
"44","Anacardiaceae",38222,"Anacardium","Sapindales"
"45","Anacardiaceae",7730,"Rhus","Sapindales"
"46","Anacardiaceae",15393,"Schinus","Sapindales"
"47","Annonaceae",23631,"Asiminia","Magnoliales"
"48","Annonaceae",20847,"Xylopia","Magnoliales"
"49","Aphloiaceae",20625,"Aphloia","Crossosomatales"
"50","Apiaceae",58,"Asteriscium","Apiales"
"51","Apiaceae",408,"Laretia","Apiales"
"52","Apiaceae",3289,"Tordylium","Apiales"
"53","Apiaceae",13371,"Umbellifer","Apiales"
"54","Apiaceae",23274,"Sium","Apiales"
"55","Apiaceae",7819,"Spuriopimpinella","Apiales"
"56","Apiaceae",38227,"pseudocymopterus","Apiales"
"57","Apiaceae",23487,"Erigenia","Apiales"
"58","Apiaceae",23024,"Polytaenia","Apiales"
"59","Apiaceae",3422,"Eryngium","Apiales"
"60","Apiaceae",38223,"Laserpitium","Apiales"
"61","Apiaceae",405,"Azorella","Apiales"
"62","Apiaceae",17113,"Oenanthe","Apiales"
"63","Apiaceae",27,"Sanicula","Apiales"
"64","Apiaceae",3257,"Scandix","Apiales"
"65","Apiaceae",22849,"Pastinaca","Apiales"
"66","Apiaceae",1962,"Pimpinella","Apiales"
"67","Apiaceae",22726,"Thaspium","Apiales"
"68","Apiaceae",6940,"Chaerophyllum","Apiales"
"69","Apiaceae",7,"Bowlesia","Apiales"
"70","Apiaceae",6961,"Aegopodium","Apiales"
"71","Apiaceae",3287,"Thapsia","Apiales"
"72","Apiaceae",38228,"Pleurospermum","Apiales"
"73","Apiaceae",38230,"Bupleurum","Apiales"
"74","Apiaceae",7732,"Anthriscus","Apiales"
"75","Apiaceae",11321,"Crithmum","Apiales"
"76","Apiaceae",23982,"Osmorrhiza","Apiales"
"77","Apiaceae",12188,"Peucedanum","Apiales"
"78","Apiaceae",23166,"Oxypolis","Apiales"
"79","Apiaceae",7284,"Aciphylla","Apiales"
"80","Apiaceae",6626,"Aethusa","Apiales"
"81","Apiaceae",8518,"Cryptotaenia","Apiales"
"82","Apiaceae",10030,"Anisotome","Apiales"
"83","Apiaceae",3477,"Scaligeria","Apiales"
"84","Apiaceae",606,"Pozoa","Apiales"
"85","Apiaceae",38229,"Lomatium","Apiales"
"86","Apiaceae",17451,"Libanotis","Apiales"
"87","Apiaceae",38226,"lomatium","Apiales"
"88","Apiaceae",22955,"Anethum","Apiales"
"89","Apiaceae",6603,"Torilis","Apiales"
"90","Apiaceae",22768,"Taenidia","Apiales"
"91","Apiaceae",22944,"Zizia","Apiales"
"92","Apiaceae",3734,"Daucus","Apiales"
"93","Apiaceae",22976,"Cicuta","Apiales"
"94","Apiaceae",857,"Heracleum","Apiales"
"95","Apiaceae",38225,"Ligusticum","Apiales"
"96","Apiaceae",6595,"Angelica","Apiales"
"97","Apiaceae",38224,"Carum","Apiales"
"98","Apiaceae",21,"Mulinum","Apiales"
"99","Apiaceae",18483,"Osterium","Apiales"
"100","Apocynaceae",38232,"Parsonsia","Gentianales"
"101","Apocynaceae",15344,"Periploca","Gentianales"
"102","Apocynaceae",15438,"Cynanchum","Gentianales"
"103","Apocynaceae",10521,"Mandevilla","Gentianales"
"104","Apocynaceae",11191,"Urechites","Gentianales"
"105","Apocynaceae",2963,"Xysmalobium","Gentianales"
"106","Apocynaceae",21882,"Alstonia","Gentianales"
"107","Apocynaceae",935,"Asclepias","Gentianales"
"108","Apocynaceae",2966,"Pachycarpus","Gentianales"
"109","Apocynaceae",10481,"Galactophora","Gentianales"
"110","Apocynaceae",9383,"Vallesia","Gentianales"
"111","Apocynaceae",38231,"Vincetoxicum","Gentianales"
"112","Apocynaceae",2965,"Miraglossum","Gentianales"
"113","Apocynaceae",1054,"Apocynum","Gentianales"
"114","Apocynaceae",11259,"Ascleptas","Gentianales"
"115","Apocynaceae",12217,"Cerbera","Gentianales"
"116","Apocynaceae",23370,"Gonolobus","Gentianales"
"117","Apocynaceae",23304,"Ascerates","Gentianales"
"118","Apocynaceae",2961,"Aspidonepsis","Gentianales"
"119","Apocynaceae",11148,"Sarcostemma","Gentianales"
"120","Apocynaceae",21552,"Tabernaemontana","Gentianales"
"121","Apocynaceae",11205,"Rhabdadenia","Gentianales"
"122","Apocynaceae",38233,"Ceropegia","Gentianales"
"123","Apocynaceae",9390,"Catharanthus","Gentianales"
"124","Apocynaceae",2962,"Sisyranthus","Gentianales"
"125","Aquifoliaceae",2867,"Ilex","Aquifoliales"
"126","Aquifoliaceae",10687,"Nemopanthus","Aquifoliales"
"127","Araceae",10596,"Philodendron","Alismatales"
"128","Araceae",10440,"Montricharida","Alismatales"
"129","Araceae",6099,"Arisarum","Alismatales"
"130","Araceae",16157,"Arisaema","Alismatales"
"131","Araceae",12260,"Alocasia","Alismatales"
"132","Araliaceae",639,"Aralia","Apiales"
"133","Araliaceae",11621,"Dendropanax","Apiales"
"134","Araliaceae",20717,"Polyscias","Apiales"
"135","Araliaceae",2764,"Gastonia","Apiales"
"136","Araliaceae",15689,"Hydrocotyle","Apiales"
"137","Araliaceae",16807,"Fatsia","Apiales"
"138","Araliaceae",18531,"Aralta","Apiales"
