"","family","order"
"1","Rosaceae","Rosales"
"2","Fabaceae","Fabales"
"3","Berberidaceae","Ranunculales"
"4","Apiaceae","Apiales"
"5","Montiaceae","Caryophyllales"
"6","Caryophyllaceae","Caryophyllales"
"7","Asteraceae","Asterales"
"8","Geraniaceae","Geraniales"
"9","Euphorbiaceae","Malpighiales"
"10","Amaryllidaceae","Asparagales"
"11","Oxalidaceae","Oxalidales"
"12","Hydrophyllaceae","Boraginales"
"13","Schoepfiaceae","Santalales"
"14","Iridaceae","Asparagales"
"15","Lamiaceae","Lamiales"
"16","Caprifoliaceae","Dipsacales"
"17","Calceolariaceae","Lamiales"
"18","Onagraceae","Myrtales"
"19","Loasaceae","Cornales"
"20","Solanaceae","Solanales"
"21","Tropaeolaceae","Brassicales"
"22","Verbenaceae","Lamiales"
"23","Ranunculaceae","Ranunculales"
"24","Brassicaceae","Brassicales"
"25","Francoaceae","Geraniales"
"26","Alstroemeriaceae","Liliales"
"27","Boraginaceae","Boraginales"
"28","Polemoniaceae","Ericales"
"29","Passifloraceae","Malpighiales"
"30","Cactaceae","Caryophyllales"
"31","Rhamnaceae","Rosales"
"32","Violaceae","Malpighiales"
"33","Rubiaceae","Gentianales"
"34","Malvaceae","Malvales"
"35","Araliaceae","Apiales"
"36","Orchidaceae","Asparagales"
"37","Asparagaceae","Asparagales"
"38","Ericaceae","Ericales"
"39","Cornaceae","Cornales"
"40","Liliaceae","Liliales"
"41","Melanthiaceae","Liliales"
"42","Primulaceae","Ericales"
"43","Hydrangeaceae","Cornales"
"44","Campanulaceae","Asterales"
"45","Cleomaceae","Brassicales"
"46","Gentianaceae","Gentianales"
"47","Orobanchaceae","Lamiales"
"48","Plantaginaceae","Lamiales"
"49","Crassulaceae","Saxifragales"
"50","Papaveraceae","Ranunculales"
"51","Apocynaceae","Gentianales"
"52","Commelinaceae","Commelinales"
"53","Polygonaceae","Caryophyllales"
"54","Chloropidae","Diptera"
"55","Adoxaceae","Dipsacales"
"56","Scrophulariaceae",NA
"57","Lentibulariaceae","Lamiales"
"58","Saxifragaceae","Saxifragales"
"59","Diapensiaceae","Ericales"
"60","Celastraceae","Celastrales"
"61","Salicaceae","Malpighiales"
"62","Plumbaginaceae","Caryophyllales"
"63","Convolvulaceae","Solanales"
"64","Lythraceae","Myrtales"
"65","Goodeniaceae","Asterales"
"66","Surianaceae","Fabales"
"67","Lauraceae","Laurales"
"68","Cistaceae","Malvales"
"69","Aquifoliaceae","Aquifoliales"
"70","Oleaceae","Lamiales"
"71","Hypericaceae","Malpighiales"
"72","Cucurbitaceae","Cucurbitales"
"73","Hyacinthaceae","Asparagales"
"74","Thymelaeaceae","Malvales"
"75","Heliotropiaceae","Boraginales"
"76","Santalaceae",NA
"77","Resedaceae","Brassicales"
"78","Acanthaceae","Lamiales"
"79","Asphodelaceae","Asparagales"
"80","Capparaceae","Brassicales"
"81","Rutaceae","Sapindales"
"82","Linaceae","Malpighiales"
"83","Araceae","Alismatales"
"84","Myrtaceae","Myrtales"
"85","Arecaceae","Arecales"
"86","Juncaceae","Poales"
"87","Proteaceae","Proteales"
"88","Portulacaceae","Caryophyllales"
"89","Stylidiaceae","Asterales"
"90","Fagaceae","Fagales"
"91","Anacardiaceae","Sapindales"
"92","Colchicaceae","Liliales"
"93","Balsaminaceae","Ericales"
"94","Styracaceae","Ericales"
"95","Sapindaceae","Sapindales"
"96","Stachyuraceae","Crossosomatales"
"97","Symplocaceae","Ericales"
"98","Vitaceae","Vitales"
"99","Magnoliaceae","Magnoliales"
"100","Garryaceae","Garryales"
"101","Zygophyllaceae","Zygophyllales"
"102","Phrymaceae","Lamiales"
"103","Polygalaceae","Fabales"
"104","Burseraceae","Sapindales"
"105","Cannaceae","Zingiberales"
"106","Simaroubaceae","Sapindales"
"107","Nyctaginaceae","Caryophyllales"
"108","Cordiaceae","Boraginales"
"109","Melastomataceae","Myrtales"
"110","Aizoaceae","Caryophyllales"
"111","Poaceae","Poales"
"112","Caricaceae","Brassicales"
"113","Argophyllaceae","Asterales"
"114","Unresolved",NA
"115","Eriocaulaceae","Poales"
"116","Xyridaceae","Poales"
"117","Alismataceae","Alismatales"
"118","Ochnaceae","Malpighiales"
"119","Heliconiaceae","Zingiberales"
"120","Gesneriaceae","Lamiales"
"121","Marantaceae","Zingiberales"
"122","Bonnetiaceae","Malpighiales"
"123","Clusiaceae","Malpighiales"
"124","Bignoniaceae","Lamiales"
"125","Sarraceniaceae","Ericales"
"126","Humiriaceae","Malpighiales"
"127","Loranthaceae","Santalales"
"128","Rapateaceae","Poales"
"129","Pentaphylacaceae","Ericales"
"130","Bromeliaceae","Poales"
"131","Cyrillaceae","Ericales"
"132","Cunoniaceae","Oxalidales"
"133","Amaranthaceae","Caryophyllales"
"134","Ehretiaceae","Boraginales"
"135","Combretaceae","Myrtales"
"136","Malpighiaceae","Malpighiales"
"137","Petiveriaceae","Caryophyllales"
"138","Urticaceae","Rosales"
"139","Loganiaceae","Gentianales"
"140","Meliaceae","Sapindales"
"141","Theaceae","Ericales"
"142","Elaeocarpaceae","Oxalidales"
"143","Phyllanthaceae","Malpighiales"
"144","Ebenaceae","Ericales"
"145","Rhizophoraceae","Malpighiales"
"146","Sabiaceae","Proteales"
"147","Actinidiaceae","Ericales"
"148","Cannabaceae","Rosales"
"149","Pittosporaceae","Apiales"
"150","Staphyleaceae","Crossosomatales"
"151","Piperaceae","Piperales"
"152","Musaceae","Zingiberales"
"153","Zingiberaceae","Zingiberales"
"154","Cyperaceae","Poales"
"155","Lecythidaceae","Ericales"
"156","Lardizabalaceae","Ranunculales"
"157","Chenopodiaceae","Caryophyllales"
"158","Pandanaceae","Pandanales"
"159","Stemonaceae","Pandanales"
"160","Pinaceae","Pinales"
"161","Grossulariaceae","Saxifragales"
"162","Tofieldiaceae","Alismatales"
"163","Clethraceae","Ericales"
"164","Nartheciaceae","Dioscoreales"
"165","Dioscoreaceae","Dioscoreales"
"166","Elaeagnaceae","Rosales"
"167","Basellaceae","Caryophyllales"
"168","Iteaceae","Saxifragales"
"169","Ulmaceae","Rosales"
"170","Phytolaccaceae","Caryophyllales"
"171","Saururaceae","Piperales"
"172","Pontederiaceae","Commelinales"
"173","Linderniaceae","Lamiales"
"174","Hydrocharitaceae","Alismatales"
"175","Nymphaeaceae","Nymphaeales"
"176","Typhaceae","Poales"
"177","Eupteleaceae","Ranunculales"
"178","Paeoniaceae","Saxifragales"
"179","Aphloiaceae","Crossosomatales"
"180","Calophyllaceae","Malpighiales"
"181","Erythroxylaceae","Malpighiales"
"182","Flagellariaceae","Poales"
"183","Chrysobalanaceae","Malpighiales"
"184","Sapotaceae","Ericales"
"185","Rousseaceae","Asterales"
"186","Achariaceae","Malpighiales"
"187","Annonaceae","Magnoliales"
"188","Dilleniaceae","Dilleniales"
"189","Nepenthaceae","Caryophyllales"
"190","Comandraceae","Santalales"
"191","Hypoxidaceae","Asparagales"
"192","Eulophidae","Hymenoptera"
"193","Martyniaceae","Lamiales"
"194","Nelumbonaceae","Proteales"
"195","Hyriidae","Unionoida"
"196","Molluginaceae","Caryophyllales"
"197","Aristolochiaceae","Piperales"
"198","Columelliaceae","Bruniales"
"199","Costaceae","Zingiberales"
