"","ele","lng","lat","Network"
"139",303,55.43333,-4.666667,"M_PL_061_41"
"140",303,55.43333,-4.666667,"M_PL_061_42"
"141",303,55.43333,-4.666667,"M_PL_061_43"
"142",303,55.43333,-4.666667,"M_PL_061_44"
"143",303,55.43333,-4.666667,"M_PL_061_45"
"144",303,55.43333,-4.666667,"M_PL_061_46"
"145",303,55.43333,-4.666667,"M_PL_061_47"
"146",303,55.43333,-4.666667,"M_PL_061_48"
"147",189,-89.8968771,39.278958,"M_PL_062"
"148",147,57.43,-20.25,"mauritius valerie"
"149",68,-123.6311111,48.8083333,"Parachnowitsch Elle"
"150",173,174.4589,-36.9264,"Probert_Anawhata"
"151",49,174.4823,-36.9866,"Probert_Karekare"
"152",7,174.5068,-37.0402,"Probert_Whatipu"
"153",31,-75.804512,78.875223,"Robinson etal 2018"
"154",239,-39.766667,-12.7,"Santos etal 2010"
"155",11,-158.278615,21.574281,"Shay etal 2016"
"156",1713,100.385368,50.436774,"Song 2015"
"157",67,-91.012863,-0.6907,"Traveset 2013"
"158",666,13.8919,28.5643,"Trojelsgaard Fuerteventura 1"
"159",666,13.8919,28.5643,"Trojelsgaard Fuerteventura 2"
"160",443,17.2267,28.0398,"Trojelsgaard Gomera 1"
"161",443,17.2267,28.0398,"Trojelsgaard Gomera 2"
"162",457,15.4331,27.9041,"Trojelsgaard GranCanaria 1"
"163",457,15.4331,27.9041,"Trojelsgaard GranCanaria 2"
"164",449,17.8959,27.8047,"Trojelsgaard Hierro 1"
"165",449,17.8959,27.8047,"Trojelsgaard Hierro 2"
"166",518,16.4173,28.2222,"Trojelsgaard TenerifeSouth 1"
"167",518,16.4173,28.2222,"Trojelsgaard TenerifeSouth 2"
"168",389,16.9123,28.3531,"Trojelsgaard TenerifeTENO 1"
"169",389,16.9123,28.3531,"Trojelsgaard TenerifeTENO 2"
"170",460,14.4222,26.161,"Trojelsgaard WesternSahara 1"
"171",460,14.4222,26.161,"Trojelsgaard WesternSahara 2"
"172",69,174.51861,-36.886333,"VanNoort_AitP"
"173",231,174.47333,-36.858694,"VanNoort_Matuku"
"174",1004,-71.498965,-41.011859,"VS Llao Llao"
"175",1004,-71.498965,-41.011859,"VS Mascardi_nc"
"176",1004,-71.498965,-41.011859,"VS Quetrihue_nc"
"177",1004,-71.498965,-41.011859,"VS Safariland"
