"","db","PGenus","family"
"1","ncbi","Acaena","Rosaceae"
"2","ncbi","Adesmia","Fabaceae"
"3","ncbi","Adesmia","Fabaceae"
"4","ncbi","Adesmia","Fabaceae"
"5","ncbi","Adesmia","Fabaceae"
"6","ncbi","Berberis","Berberidaceae"
"7","ncbi","Bowlesia","Apiaceae"
"8","ncbi","Calandrinia","Montiaceae"
"9","ncbi","Calandrinia","Montiaceae"
"10","ncbi","Cerastium","Caryophyllaceae"
"11","ncbi","Chaetanthera","Asteraceae"
"12","ncbi","Chaetanthera","Asteraceae"
"13","ncbi","Chuquiraga","Asteraceae"
"14","ncbi","Erodium","Geraniaceae"
"15","ncbi","Euphorbia","Euphorbiaceae"
"16","ncbi","Haplopappus","Asteraceae"
"17","ncbi","Haplopappus","Asteraceae"
"18","ncbi","Hypochoeris","Asteraceae"
"19","ncbi","Leuceria","Asteraceae"
"20","ncbi","Leucocoryne","Amaryllidaceae"
"21","ncbi","Mulinum","Apiaceae"
"22","ncbi","Mustisia","Asteraceae"
"23","ncbi","Oxalis","Oxalidaceae"
"24","ncbi","Phacelia","Hydrophyllaceae"
"25","ncbi","Quinchamalium","Schoepfiaceae"
"26","ncbi","Rhodophiala","Amaryllidaceae"
"27","ncbi","Sanicula","Apiaceae"
"28","ncbi","Senecio","Asteraceae"
"29","ncbi","Senecio","Asteraceae"
"30","ncbi","Sisyrinchium","Iridaceae"
"31","ncbi","Stachys","Lamiaceae"
"32","ncbi","Tetraglochin","Rosaceae"
"33","ncbi","Tristagma","Amaryllidaceae"
"34","ncbi","Valeriana","Caprifoliaceae"
"35","ncbi","Astragalus","Fabaceae"
"36","ncbi","Berberis","Berberidaceae"
"37","ncbi","Calandrinia","Montiaceae"
"38","ncbi","Calceolaria","Calceolariaceae"
"39","ncbi","Calceolaria","Calceolariaceae"
"40","ncbi","Clarkia","Onagraceae"
"41","ncbi","Haplopappus","Asteraceae"
"42","ncbi","Loasa","Loasaceae"
"43","ncbi","Lupinus","Fabaceae"
"44","ncbi","Oxalis","Oxalidaceae"
"45","ncbi","Oxalis","Oxalidaceae"
"46","ncbi","Oxalis","Oxalidaceae"
"47","ncbi","Perezia","Asteraceae"
"48","ncbi","Phacelia","Hydrophyllaceae"
"49","ncbi","Salpiglossus","Solanaceae"
"50","ncbi","Senecio","Asteraceae"
"51","ncbi","Sisyrinchium","Iridaceae"
"52","ncbi","Solanum","Solanaceae"
"53","ncbi","Solenomelus","Iridaceae"
"54","ncbi","Tropaeolum","Tropaeolaceae"
"55","ncbi","Tropaeolum","Tropaeolaceae"
"56","ncbi","Verbena","Verbenaceae"
"57","ncbi","Adesmia","Fabaceae"
"58","ncbi","Asteriscium","Apiaceae"
"59","ncbi","Barneoudia","Ranunculaceae"
"60","ncbi","Berberis","Berberidaceae"
"61","ncbi","Bowlesia","Apiaceae"
"62","ncbi","Calandrinia","Montiaceae"
"63","ncbi","Calandrinia","Montiaceae"
"64","ncbi","Cardamine","Brassicaceae"
"65","ncbi","Cerastium","Caryophyllaceae"
"66","ncbi","Erodium","Geraniaceae"
"67","ncbi","Euphorbia","Euphorbiaceae"
"68","ncbi","Mulinum","Apiaceae"
"69","ncbi","Nardophyllum","Asteraceae"
"70","ncbi","Oxalis","Oxalidaceae"
"71","ncbi","Quinchamalium","Schoepfiaceae"
"72","ncbi","Sanicula","Apiaceae"
