"","db","PGenus","family"
"73","ncbi","Senecio","Asteraceae"
"74","ncbi","Senecio","Asteraceae"
"75","ncbi","Valeriana","Caprifoliaceae"
"76","ncbi","Verbena","Verbenaceae"
"77","ncbi","Viviania","Francoaceae"
"78","ncbi","Adesmia","Fabaceae"
"79","ncbi","Adesmia","Fabaceae"
"80","ncbi","Astragalus","Fabaceae"
"81","ncbi","Calandrinia","Montiaceae"
"82","ncbi","Haplopappus","Asteraceae"
"83","ncbi","Loasa","Loasaceae"
"84","ncbi","Mustisia","Asteraceae"
"85","ncbi","Phacelia","Hydrophyllaceae"
"86","ncbi","Schizanthus","Solanaceae"
"87","ncbi","Scypanthus","Loasaceae"
"88","ncbi","Senecio","Asteraceae"
"89","ncbi","Senecio","Asteraceae"
"90","ncbi","Senecio","Asteraceae"
"91","ncbi","Stachys","Lamiaceae"
"92","ncbi","Tropaeolum","Tropaeolaceae"
"93","ncbi","Adesmia","Fabaceae"
"94","ncbi","Adesmia","Fabaceae"
"95","ncbi","Adesmia","Fabaceae"
"96","ncbi","Anarthrophyllum","Fabaceae"
"97","ncbi","Astragalus","Fabaceae"
"98","ncbi","Hypochoeris","Asteraceae"
"99","ncbi","Lathyrus","Fabaceae"
"100","ncbi","Madia","Asteraceae"
"101","ncbi","Phacelia","Hydrophyllaceae"
"102","ncbi","Schizanthus","Solanaceae"
"103","ncbi","Senecio","Asteraceae"
"104","ncbi","Sisyrinchium","Iridaceae"
"105","ncbi","Stachys","Lamiaceae"
"106","ncbi","Alstroemeria","Alstroemeriaceae"
"107","ncbi","Astragalus","Fabaceae"
"108","ncbi","Chuquiraga","Asteraceae"
"109","ncbi","Cynoglossum","Boraginaceae"
"110","ncbi","Leuceria","Asteraceae"
"111","ncbi","Loasa","Loasaceae"
"112","ncbi","Mustisia","Asteraceae"
"113","ncbi","Phacelia","Hydrophyllaceae"
"114","ncbi","Scypanthus","Loasaceae"
"115","ncbi","Senecio","Asteraceae"
"116","ncbi","Senecio","Asteraceae"
"117","ncbi","Stachys","Lamiaceae"
"118","ncbi","Tropaeolum","Tropaeolaceae"
"119","ncbi","Astragalus","Fabaceae"
"120","ncbi","Berberis","Berberidaceae"
"121","ncbi","Calandrinia","Montiaceae"
"122","ncbi","Chaetanthera","Asteraceae"
"123","ncbi","Leucocoryne","Amaryllidaceae"
"124","ncbi","Phacelia","Hydrophyllaceae"
"125","ncbi","Rhodophiala","Amaryllidaceae"
"126","ncbi","Senecio","Asteraceae"
"127","ncbi","Sisyrinchium","Iridaceae"
"128","ncbi","Sisyrinchium","Iridaceae"
"129","ncbi","Sisyrinchium","Iridaceae"
"130","ncbi","Adesmia","Fabaceae"
"131","ncbi","Adesmia","Fabaceae"
"132","ncbi","Alstroemeria","Alstroemeriaceae"
"133","ncbi","Astragalus","Fabaceae"
"134","ncbi","Astragalus","Fabaceae"
"135","ncbi","Phacelia","Hydrophyllaceae"
"136","ncbi","Scypanthus","Loasaceae"
"137","ncbi","Senecio","Asteraceae"
"138","ncbi","Stachys","Lamiaceae"
"139","ncbi","Haplopappus","Asteraceae"
"140","ncbi","Mustisia","Asteraceae"
"141","ncbi","Mustisia","Asteraceae"
"142","ncbi","Nardophyllum","Asteraceae"
"143","ncbi","Perezia","Asteraceae"
"144","ncbi","Senecio","Asteraceae"
"145","ncbi","Senecio","Asteraceae"
"146","ncbi","Senecio","Asteraceae"
"147","ncbi","Senecio","Asteraceae"
"148","ncbi","Adesmia","Fabaceae"
"149","ncbi","Calandrinia","Montiaceae"
"150","ncbi","Loasa","Loasaceae"
"151","ncbi","Mustisia","Asteraceae"
"152","ncbi","Phacelia","Hydrophyllaceae"
"153","ncbi","Scypanthus","Loasaceae"
"154","ncbi","Senecio","Asteraceae"
"155","ncbi","Sisyrinchium","Iridaceae"
"156","ncbi","Anarthrophyllum","Fabaceae"
"157","ncbi","Haplopappus","Asteraceae"
"158","ncbi","Mustisia","Asteraceae"
"159","ncbi","Mustisia","Asteraceae"
"160","ncbi","Mustisia","Asteraceae"
"161","ncbi","Perezia","Asteraceae"
"162","ncbi","Senecio","Asteraceae"
"163","ncbi","Senecio","Asteraceae"
"164","ncbi","Adesmia","Fabaceae"
"165","ncbi","Calandrinia","Montiaceae"
"166","ncbi","Chaetanthera","Asteraceae"
"167","ncbi","Hypochoeris","Asteraceae"
"168","ncbi","Mulinum","Apiaceae"
"169","ncbi","Nassauvia","Asteraceae"
"170","ncbi","Senecio","Asteraceae"
"171","ncbi","Verbena","Verbenaceae"
"172","ncbi","Chuquiraga","Asteraceae"
"173","ncbi","Loasa","Loasaceae"
"174","ncbi","Mustisia","Asteraceae"
"175","ncbi","Phacelia","Hydrophyllaceae"
"176","ncbi","Senecio","Asteraceae"
"177","ncbi","Senecio","Asteraceae"
"178","ncbi","Stachys","Lamiaceae"
"179","ncbi","Adesmia","Fabaceae"
"180","ncbi","Astragalus","Fabaceae"
"181","ncbi","Calceolaria","Calceolariaceae"
"182","ncbi","Phacelia","Hydrophyllaceae"
"183","ncbi","Scypanthus","Loasaceae"
"184","ncbi","Sisyrinchium","Iridaceae"
"185","ncbi","Stachys","Lamiaceae"
"186","ncbi","Alstroemeria","Alstroemeriaceae"
"187","ncbi","Berberis","Berberidaceae"
"188","ncbi","Haplopappus","Asteraceae"
"189","ncbi","Mulinum","Apiaceae"
"190","ncbi","Senecio","Asteraceae"
"191","ncbi","Senecio","Asteraceae"
"192","ncbi","Senecio","Asteraceae"
"193","ncbi","Astragalus","Fabaceae"
"194","ncbi","Berberis","Berberidaceae"
"195","ncbi","Bowlesia","Apiaceae"
"196","ncbi","Calandrinia","Montiaceae"
"197","ncbi","Leucocoryne","Amaryllidaceae"
"198","ncbi","Senecio","Asteraceae"
"199","ncbi","Sisyrinchium","Iridaceae"
"200","ncbi","Alstroemeria","Alstroemeriaceae"
"201","ncbi","Chuquiraga","Asteraceae"
"202","ncbi","Scypanthus","Loasaceae"
"203","ncbi","Senecio","Asteraceae"
"204","ncbi","Senecio","Asteraceae"
"205","ncbi","Senecio","Asteraceae"
"206","ncbi","Cerastium","Caryophyllaceae"
"207","ncbi","Oxalis","Oxalidaceae"
"208","ncbi","Oxalis","Oxalidaceae"
"209","ncbi","Oxalis","Oxalidaceae"
"210","ncbi","Sisyrinchium","Iridaceae"
"211","ncbi","Sisyrinchium","Iridaceae"
"212","ncbi","Adesmia","Fabaceae"
"213","ncbi","Astragalus","Fabaceae"
"214","ncbi","Astragalus","Fabaceae"
"215","ncbi","Phacelia","Hydrophyllaceae"
"216","ncbi","Stachys","Lamiaceae"
"217","ncbi","Asteriscium","Apiaceae"
"218","ncbi","Calandrinia","Montiaceae"
"219","ncbi","Chaetanthera","Asteraceae"
"220","ncbi","Mulinum","Apiaceae"
"221","ncbi","Quinchamalium","Schoepfiaceae"
"222","ncbi","Mulinum","Apiaceae"
"223","ncbi","Nassauvia","Asteraceae"
"224","ncbi","Phacelia","Hydrophyllaceae"
"225","ncbi","Schizanthus","Solanaceae"
"226","ncbi","Senecio","Asteraceae"
"227","ncbi","Adesmia","Fabaceae"
"228","ncbi","Adesmia","Fabaceae"
"229","ncbi","Adesmia","Fabaceae"
"230","ncbi","Phacelia","Hydrophyllaceae"
"231","ncbi","Adesmia","Fabaceae"
"232","ncbi","Adesmia","Fabaceae"
"233","ncbi","Phacelia","Hydrophyllaceae"
"234","ncbi","Stachys","Lamiaceae"
"235","ncbi","Calceolaria","Calceolariaceae"
"236","ncbi","Calceolaria","Calceolariaceae"
"237","ncbi","Chuquiraga","Asteraceae"
"238","ncbi","Stachys","Lamiaceae"
"239","ncbi","Berberis","Berberidaceae"
"240","ncbi","Euphorbia","Euphorbiaceae"
"241","ncbi","Senecio","Asteraceae"
"242","ncbi","Sisyrinchium","Iridaceae"
"243","ncbi","Haplopappus","Asteraceae"
"244","ncbi","Leucocoryne","Amaryllidaceae"
"245","ncbi","Mustisia","Asteraceae"
"246","ncbi","Oenothera","Onagraceae"
"247","ncbi","Adesmia","Fabaceae"
"248","ncbi","Adesmia","Fabaceae"
"249","ncbi","Adesmia","Fabaceae"
"250","ncbi","Adesmia","Fabaceae"
"251","ncbi","Adesmia","Fabaceae"
"252","ncbi","Phacelia","Hydrophyllaceae"
"253","ncbi","Stachys","Lamiaceae"
"254","ncbi","Chaetanthera","Asteraceae"
"255","ncbi","Chuquiraga","Asteraceae"
"256","ncbi","Senecio","Asteraceae"
"257","ncbi","Berberis","Berberidaceae"
"258","ncbi","Nothoscordum","Amaryllidaceae"
"259","ncbi","Senecio","Asteraceae"
"260","ncbi","Chaetanthera","Asteraceae"
"261","ncbi","Quinchamalium","Schoepfiaceae"
"262","ncbi","Verbena","Verbenaceae"
"263","ncbi","Lepidium","Brassicaceae"
"264","ncbi","Perezia","Asteraceae"
"265","ncbi","Senecio","Asteraceae"
"266","ncbi","Perezia","Asteraceae"
"267","ncbi","Phacelia","Hydrophyllaceae"
"268","ncbi","Verbena","Verbenaceae"
"269","ncbi","Madia","Asteraceae"
"270","ncbi","Nassauvia","Asteraceae"
"271","ncbi","Senecio","Asteraceae"
"272","ncbi","Adesmia","Fabaceae"
"273","ncbi","Chaetanthera","Asteraceae"
"274","ncbi","Chuquiraga","Asteraceae"
"275","ncbi","Anarthrophyllum","Fabaceae"
"276","ncbi","Collomia","Polemoniaceae"
"277","ncbi","Haplopappus","Asteraceae"
"278","ncbi","Alstroemeria","Alstroemeriaceae"
"279","ncbi","Stachys","Lamiaceae"
"280","ncbi","Phacelia","Hydrophyllaceae"
"281","ncbi","Senecio","Asteraceae"
"282","ncbi","Phacelia","Hydrophyllaceae"
"283","ncbi","Stachys","Lamiaceae"
"284","ncbi","Calceolaria","Calceolariaceae"
"285","ncbi","Malesherbia","Passifloraceae"
"286","ncbi","Verbena","Verbenaceae"
"287","ncbi","Viviania","Francoaceae"
"288","ncbi","Chaetanthera","Asteraceae"
"289","ncbi","Stachys","Lamiaceae"
"290","ncbi","Calandrinia","Montiaceae"
"291","ncbi","Cerastium","Caryophyllaceae"
"292","ncbi","Anarthrophyllum","Fabaceae"
"293","ncbi","Calandrinia","Montiaceae"
"294","ncbi","Phacelia","Hydrophyllaceae"
"295","ncbi","Senecio","Asteraceae"
"296","ncbi","Adesmia","Fabaceae"
"297","ncbi","Calandrinia","Montiaceae"
"298","ncbi","Adesmia","Fabaceae"
"299","ncbi","Phacelia","Hydrophyllaceae"
"300","ncbi","Adesmia","Fabaceae"
"301","ncbi","Astragalus","Fabaceae"
"302","ncbi","Adesmia","Fabaceae"
"303","ncbi","Astragalus","Fabaceae"
"304","ncbi","Hypochoeris","Asteraceae"
"305","ncbi","Phacelia","Hydrophyllaceae"
"306","ncbi","Chaetanthera","Asteraceae"
"307","ncbi","Senecio","Asteraceae"
"308","ncbi","Hypochoeris","Asteraceae"
"309","ncbi","Senecio","Asteraceae"
"310","ncbi","Calandrinia","Montiaceae"
"311","ncbi","Sanicula","Apiaceae"
"312","ncbi","Chaetanthera","Asteraceae"
"313","ncbi","Mulinum","Apiaceae"
"314","ncbi","Adesmia","Fabaceae"
"315","ncbi","Adesmia","Fabaceae"
"316","ncbi","Senecio","Asteraceae"
"317","ncbi","Phacelia","Hydrophyllaceae"
"318","ncbi","Sisyrinchium","Iridaceae"
"319","ncbi","Sisyrinchium","Iridaceae"
"320","ncbi","Adesmia","Fabaceae"
"321","ncbi","Senecio","Asteraceae"
"322","ncbi","Adesmia","Fabaceae"
"323","ncbi","Adesmia","Fabaceae"
"324","ncbi","Scypanthus","Loasaceae"
"325","ncbi","Phacelia","Hydrophyllaceae"
"326","ncbi","Astragalus","Fabaceae"
"327","ncbi","Astragalus","Fabaceae"
"328","ncbi","Madia","Asteraceae"
"329","ncbi","Nassauvia","Asteraceae"
"330","ncbi","Madia","Asteraceae"
"331","ncbi","Sisyrinchium","Iridaceae"
"332","ncbi","Senecio","Asteraceae"
"333","ncbi","Madia","Asteraceae"
"334","ncbi","Senecio","Asteraceae"
"335","ncbi","Mustisia","Asteraceae"
"336","ncbi","Trichocereus","Cactaceae"
"337","ncbi","Trichocereus","Cactaceae"
"338","ncbi","Calandrinia","Montiaceae"
"339","ncbi","Sanicula","Apiaceae"
"340","ncbi","Calandrinia","Montiaceae"
"341","ncbi","Phacelia","Hydrophyllaceae"
"342","ncbi","Phacelia","Hydrophyllaceae"
"343","ncbi","Sisyrinchium","Iridaceae"
"344","ncbi","Sisyrinchium","Iridaceae"
"345","ncbi","Senecio","Asteraceae"
"346","ncbi","Calandrinia","Montiaceae"
"347","ncbi","Calandrinia","Montiaceae"
"348","ncbi","Valeriana","Caprifoliaceae"
"349","ncbi","Cerastium","Caryophyllaceae"
"350","ncbi","Cerastium","Caryophyllaceae"
"351","ncbi","Oxalis","Oxalidaceae"
"352","ncbi","Euphorbia","Euphorbiaceae"
"353","ncbi","Hippeastrum","Amaryllidaceae"
"354","ncbi","Hypochoeris","Asteraceae"
"355","ncbi","Euphorbia","Euphorbiaceae"
"356","ncbi","Nassauvia","Asteraceae"
"357","ncbi","Chaetanthera","Asteraceae"
"358","ncbi","Verbena","Verbenaceae"
"359","ncbi","Chaetanthera","Asteraceae"
"360","ncbi","Mulinum","Apiaceae"
"361","ncbi","Adesmia","Fabaceae"
"362","ncbi","Astragalus","Fabaceae"
"363","ncbi","Senecio","Asteraceae"
"364","ncbi","Senecio","Asteraceae"
"365","ncbi","Anarthrophyllum","Fabaceae"
"366","ncbi","Anarthrophyllum","Fabaceae"
"367","ncbi","Astragalus","Fabaceae"
"368","ncbi","Chuquiraga","Asteraceae"
"369","ncbi","Mutisia","Asteraceae"
"370","ncbi","Senecio","Asteraceae"
"371","ncbi","Senecio","Asteraceae"
"372","ncbi","Senecio","Asteraceae"
"373","ncbi","Chaetanthera","Asteraceae"
"374","ncbi","Chuquiraga","Asteraceae"
"375","ncbi","Senecio","Asteraceae"
"376","ncbi","Senecio","Asteraceae"
"377","ncbi","Cerastium","Caryophyllaceae"
"378","ncbi","Chuquiraga","Asteraceae"
"379","ncbi","Loasa","Loasaceae"
"380","ncbi","Mutisia","Asteraceae"
"381","ncbi","Oxalis","Oxalidaceae"
"382","ncbi","Senecio","Asteraceae"
"383","ncbi","Senecio","Asteraceae"
"384","ncbi","Senecio","Asteraceae"
"385","ncbi","Senecio","Asteraceae"
"386","ncbi","Senecio","Asteraceae"
"387","ncbi","Senecio","Asteraceae"
"388","ncbi","Calandrinia","Montiaceae"
"389","ncbi","Chaetanthera","Asteraceae"
"390","ncbi","Cerastium","Caryophyllaceae"
"391","ncbi","Chaetanthera","Asteraceae"
"392","ncbi","Nassauvia","Asteraceae"
"393","ncbi","Senecio","Asteraceae"
"394","ncbi","Calceolaria","Calceolariaceae"
"395","ncbi","Calceolaria","Calceolariaceae"
"396","ncbi","Anarthrophyllum","Fabaceae"
"397","ncbi","Cerastium","Caryophyllaceae"
"398","ncbi","Oxalis","Oxalidaceae"
"399","ncbi","Senecio","Asteraceae"
"400","ncbi","Berberis","Berberidaceae"
"401","ncbi","Nassauvia","Asteraceae"
"402","ncbi","Senecio","Asteraceae"
"403","ncbi","Nassauvia","Asteraceae"
"404","ncbi","Oxalis","Oxalidaceae"
"405","ncbi","Azorella","Apiaceae"
"406","ncbi","Calandrinia","Montiaceae"
"407","ncbi","Discaria","Rhamnaceae"
"408","ncbi","Laretia","Apiaceae"
"409","ncbi","Oxalis","Oxalidaceae"
"410","ncbi","Anarthrophyllum","Fabaceae"
"411","ncbi","Senecio","Asteraceae"
"412","ncbi","Senecio","Asteraceae"
"413","ncbi","Chaetanthera","Asteraceae"
"414","ncbi","Oxalis","Oxalidaceae"
"415","ncbi","Chaetanthera","Asteraceae"
"416","ncbi","Chuquiraga","Asteraceae"
"417","ncbi","Oxalis","Oxalidaceae"
"418","ncbi","Senecio","Asteraceae"
"419","ncbi","Senecio","Asteraceae"
"420","ncbi","Astragalus","Fabaceae"
"421","ncbi","Calandrinia","Montiaceae"
"422","ncbi","Oxalis","Oxalidaceae"
"423","ncbi","Laretia","Apiaceae"
"424","ncbi","Oxalis","Oxalidaceae"
"425","ncbi","Sanicula","Apiaceae"
"426","ncbi","Cerastium","Caryophyllaceae"
"427","ncbi","Chaetanthera","Asteraceae"
"428","ncbi","Astragalus","Fabaceae"
"429","ncbi","Azorella","Apiaceae"
"430","ncbi","Azorella","Apiaceae"
"431","ncbi","Berberis","Berberidaceae"
"432","ncbi","Calandrinia","Montiaceae"
"433","ncbi","Calandrinia","Montiaceae"
"434","ncbi","Chaetanthera","Asteraceae"
"435","ncbi","Chuquiraga","Asteraceae"
"436","ncbi","Discaria","Rhamnaceae"
"437","ncbi","Laretia","Apiaceae"
"438","ncbi","Nassauvia","Asteraceae"
"439","ncbi","Oxalis","Oxalidaceae"
"440","ncbi","Senecio","Asteraceae"
"441","ncbi","Senecio","Asteraceae"
"442","ncbi","Tristagma","Amaryllidaceae"
"443","ncbi","Werneria","Asteraceae"
"444","ncbi","Azorella","Apiaceae"
"445","ncbi","Azorella","Apiaceae"
"446","ncbi","Calandrinia","Montiaceae"
"447","ncbi","Calandrinia","Montiaceae"
"448","ncbi","Cardamine","Brassicaceae"
"449","ncbi","Chuquiraga","Asteraceae"
"450","ncbi","Euphorbia","Euphorbiaceae"
"451","ncbi","Laretia","Apiaceae"
"452","ncbi","Oxalis","Oxalidaceae"
"453","ncbi","Ranunculus","Ranunculaceae"
"454","ncbi","Sanicula","Apiaceae"
"455","ncbi","Senecio","Asteraceae"
"456","ncbi","Senecio","Asteraceae"
"457","ncbi","Stenodraba","Brassicaceae"
"458","ncbi","Werneria","Asteraceae"
"459","ncbi","Acaena","Rosaceae"
"460","ncbi","Calandrinia","Montiaceae"
"461","ncbi","Calandrinia","Montiaceae"
"462","ncbi","Chaetanthera","Asteraceae"
"463","ncbi","Euphorbia","Euphorbiaceae"
"464","ncbi","Laretia","Apiaceae"
"465","ncbi","Sanicula","Apiaceae"
"466","ncbi","Senecio","Asteraceae"
"467","ncbi","Tropaeolum","Tropaeolaceae"
"468","ncbi","Azorella","Apiaceae"
"469","ncbi","Azorella","Apiaceae"
"470","ncbi","Discaria","Rhamnaceae"
"471","ncbi","Euphorbia","Euphorbiaceae"
"472","ncbi","Laretia","Apiaceae"
"473","ncbi","Nassauvia","Asteraceae"
"474","ncbi","Senecio","Asteraceae"
"475","ncbi","Senecio","Asteraceae"
"476","ncbi","Astragalus","Fabaceae"
"477","ncbi","Berberis","Berberidaceae"
"478","ncbi","Calandrinia","Montiaceae"
"479","ncbi","Cerastium","Caryophyllaceae"
"480","ncbi","Chaetanthera","Asteraceae"
"481","ncbi","Ranunculus","Ranunculaceae"
"482","ncbi","Senecio","Asteraceae"
"483","ncbi","Anarthrophyllum","Fabaceae"
"484","ncbi","Astragalus","Fabaceae"
"485","ncbi","Cerastium","Caryophyllaceae"
"486","ncbi","Nassauvia","Asteraceae"
"487","ncbi","Nothoscordum","Amaryllidaceae"
"488","ncbi","Senecio","Asteraceae"
"489","ncbi","Cerastium","Caryophyllaceae"
"490","ncbi","Cerastium","Caryophyllaceae"
"491","ncbi","Oxalis","Oxalidaceae"
"492","ncbi","Senecio","Asteraceae"
"493","ncbi","Tropaeolum","Tropaeolaceae"
"494","ncbi","Viola","Violaceae"
"495","ncbi","Anarthrophyllum","Fabaceae"
"496","ncbi","Calandrinia","Montiaceae"
"497","ncbi","Oxalis","Oxalidaceae"
"498","ncbi","Oxalis","Oxalidaceae"
"499","ncbi","Cerastium","Caryophyllaceae"
"500","ncbi","Nassauvia","Asteraceae"
"501","ncbi","Nassauvia","Asteraceae"
"502","ncbi","Senecio","Asteraceae"
"503","ncbi","Berberis","Berberidaceae"
"504","ncbi","Cerastium","Caryophyllaceae"
"505","ncbi","Euphorbia","Euphorbiaceae"
"506","ncbi","Senecio","Asteraceae"
"507","ncbi","Erigeron","Asteraceae"
"508","ncbi","Senecio","Asteraceae"
"509","ncbi","Senecio","Asteraceae"
"510","ncbi","Senecio","Asteraceae"
"511","ncbi","Astragalus","Fabaceae"
"512","ncbi","Senecio","Asteraceae"
"513","ncbi","Senecio","Asteraceae"
"514","ncbi","Loasa","Loasaceae"
"515","ncbi","Oxalis","Oxalidaceae"
"516","ncbi","Tropaeolum","Tropaeolaceae"
"517","ncbi","Azorella","Apiaceae"
"518","ncbi","Calandrinia","Montiaceae"
"519","ncbi","Discaria","Rhamnaceae"
"520","ncbi","Chaetanthera","Asteraceae"
"521","ncbi","Discaria","Rhamnaceae"
"522","ncbi","Oxalis","Oxalidaceae"
"523","ncbi","Nassauvia","Asteraceae"
"524","ncbi","Oxalis","Oxalidaceae"
"525","ncbi","Oxalis","Oxalidaceae"
"526","ncbi","Cerastium","Caryophyllaceae"
"527","ncbi","Cerastium","Caryophyllaceae"
"528","ncbi","Chaetanthera","Asteraceae"
"529","ncbi","Anarthrophyllum","Fabaceae"
"530","ncbi","Astragalus","Fabaceae"
"531","ncbi","Loasa","Loasaceae"
"532","ncbi","Tropaeolum","Tropaeolaceae"
"533","ncbi","Anarthrophyllum","Fabaceae"
"534","ncbi","Astragalus","Fabaceae"
"535","ncbi","Anarthrophyllum","Fabaceae"
"536","ncbi","Calandrinia","Montiaceae"
"537","ncbi","Nassauvia","Asteraceae"
"538","ncbi","Senecio","Asteraceae"
"539","ncbi","Calandrinia","Montiaceae"
"540","ncbi","Sanicula","Apiaceae"
"541","ncbi","Discaria","Rhamnaceae"
"542","ncbi","Calceolaria","Calceolariaceae"
"543","ncbi","Senecio","Asteraceae"
"544","ncbi","Astragalus","Fabaceae"
"545","ncbi","Chaetanthera","Asteraceae"
"546","ncbi","Senecio","Asteraceae"
"547","ncbi","Anarthrophyllum","Fabaceae"
"548","ncbi","Loasa","Loasaceae"
"549","ncbi","Loasa","Loasaceae"
"550","ncbi","Chaetanthera","Asteraceae"
"551","ncbi","Senecio","Asteraceae"
"552","ncbi","Euphorbia","Euphorbiaceae"
"553","ncbi","Tropaeolum","Tropaeolaceae"
"554","ncbi","Calandrinia","Montiaceae"
"555","ncbi","Stenodraba","Brassicaceae"
"556","ncbi","Calandrinia","Montiaceae"
"557","ncbi","Chaetanthera","Asteraceae"
"558","ncbi","Acaena","Rosaceae"
"559","ncbi","Azorella","Apiaceae"
"560","ncbi","Calandrinia","Montiaceae"
"561","ncbi","Draba","Brassicaceae"
"562","ncbi","Erigeron","Asteraceae"
"563","ncbi","Nassauvia","Asteraceae"
"564","ncbi","Nassauvia","Asteraceae"
"565","ncbi","Phacelia","Hydrophyllaceae"
"566","ncbi","Tropaeolum","Tropaeolaceae"
"567","ncbi","Phacelia","Hydrophyllaceae"
"568","ncbi","Tropaeolum","Tropaeolaceae"
"569","ncbi","Caiophora","Loasaceae"
"570","ncbi","Nassauvia","Asteraceae"
"571","ncbi","Phacelia","Hydrophyllaceae"
"572","ncbi","Adesmia","Fabaceae"
"573","ncbi","Nassauvia","Asteraceae"
"574","ncbi","Azorella","Apiaceae"
"575","ncbi","Laretia","Apiaceae"
"576","ncbi","Oreopolus","Rubiaceae"
"577","ncbi","Oxalis","Oxalidaceae"
"578","ncbi","Oxalis","Oxalidaceae"
"579","ncbi","Oxalis","Oxalidaceae"
"580","ncbi","Chaetanthera","Asteraceae"
"581","ncbi","Draba","Brassicaceae"
"582","ncbi","Junellia","Verbenaceae"
"583","ncbi","Nassauvia","Asteraceae"
"584","ncbi","Nototriche","Malvaceae"
"585","ncbi","Oreopolus","Rubiaceae"
"586","ncbi","Oxalis","Oxalidaceae"
"587","ncbi","Junellia","Verbenaceae"
"588","ncbi","Nototriche","Malvaceae"
"589","ncbi","Oreopolus","Rubiaceae"
"590","ncbi","Oxalis","Oxalidaceae"
"591","ncbi","Tropaeolum","Tropaeolaceae"
"592","ncbi","Viola","Violaceae"
"593","ncbi","Viola","Violaceae"
"594","ncbi","Viola","Violaceae"
"595","ncbi","Azorella","Apiaceae"
"596","ncbi","Calandrinia","Montiaceae"
"597","ncbi","Calandrinia","Montiaceae"
"598","ncbi","Calandrinia","Montiaceae"
"599","ncbi","Cardamine","Brassicaceae"
"600","ncbi","Chaetanthera","Asteraceae"
"601","ncbi","Chaetanthera","Asteraceae"
"602","ncbi","Draba","Brassicaceae"
"603","ncbi","Junellia","Verbenaceae"
"604","ncbi","Laretia","Apiaceae"
"605","ncbi","Oxalis","Oxalidaceae"
