,db,query,order,family,Genus,note
1433,ncbi,9,Diptera,Empididae,Aclonempis,
1282,ncbi,36,Hymenoptera,Apidae,Agemilla,
1434,ncbi,61,Diptera,Muscidae,Alloestylus,Thricops
1174,ncbi,67,Lepidoptera,Lycaenidae,Allosmaitia,
1147,ncbi,99,Lepidoptera,Nymphalidae,Anartia,
1380,ncbi,107,Hymenoptera,Andrenidae,Andreana,Andrena
1251,ncbi,114,Coleoptera,Tenebrionidae,Anisostira,
1202,ncbi,117,Diptera,Brachystomatidae,Anomalempis,
1286,ncbi,123,Diptera,Brachystomatidae,Anornalempis,Anomalempis
1287,ncbi,132,Hymenoptera,Eumenidae,Antherhynchium,
1415,ncbi,153,Lepidoptera,Nymphalidae,Aphanthopus,
1252,ncbi,156,Coleoptera,Chrysomelidae,Aphothona,Aphthona
1155,ncbi,162,Hymenoptera,NA,Apocrita,
1049,ncbi,183,Lepidoptera,Geometridae,Asaphodes,
1061,ncbi,203,Hymenoptera,Megachilidae,Athidium,
1253,ncbi,208,NA,NA,Atlobaccha,
1054,ncbi,219,Hymenoptera,Halictidae,Augochlorensis,Augochloropsis
1055,ncbi,222,Hymenoptera,Halictidae,Auhochloropsis,Augochloropsis
1503,ncbi,232,Lepidoptera,Zygaenidae,Balataea,
1208,ncbi,248,Hemiptera,Miridae,Bertsa,
1086,ncbi,310,Lepidoptera,Lycaenidae,Calicopis,
1118,ncbi,312,Coleoptera,Cerambycidae,Callideriphus,
1210,ncbi,346,Hymenoptera,Scoliidae,Carinosolia,
1181,ncbi,350,NA,NA,Carpelius,
1427,ncbi,357,Coleoptera,Kateretidae,Cateretes,
1295,ncbi,358,Lepidoptera,Pieridae,Catopsitia,Catopsilia
1085,ncbi,392,Hymenoptera,Sphecidae,Cerciris,Cerceris
1297,ncbi,397,NA,NA,Cerogia,
1259,ncbi,399,Asterales,Asteraceae,Cersium,plant
1228,ncbi,420,Coleoptera,Cetoniidae,Charitovalgus,
1298,ncbi,422,NA,NA,Chatanys,
1260,ncbi,423,Hymenoptera,Megachilidae,Chaticodoma,Chalicodoma 
1126,ncbi,434,Coleoptera,Cerambycidae,Chenoderus,
1216,ncbi,435,Diptera,Stratiomyidae,Chiagasinus,
1127,ncbi,443,Coleoptera,Chrysomelidae,Chlamysus,
