,db,query,family,order
106,ncbi,Echinodorus,Alismataceae,Alismatales
118,ncbi,Gomphrena,Amaranthaceae,Caryophyllales
90,ncbi,Agapanthus,Amaryllidaceae,Asparagales
122,ncbi,Anacardium,Anacardiaceae,Sapindales
13,ncbi,Laserpitium,Apiaceae,Apiales
16,ncbi,Carum,Apiaceae,Apiales
23,ncbi,Ligusticum,Apiaceae,Apiales
32,ncbi,lomatium,Apiaceae,Apiales
51,ncbi,pseudocymopterus,Apiaceae,Apiales
64,ncbi,Pleurospermum,Apiaceae,Apiales
89,ncbi,Lomatium,Apiaceae,Apiales
130,ncbi,Bupleurum,Apiaceae,Apiales
7,ncbi,Vincetoxicum,Apocynaceae,Gentianales
97,ncbi,Parsonsia,Apocynaceae,Gentianales
148,ncbi,Ceropegia,Apocynaceae,Gentianales
110,ncbi,Syagrus,Arecaceae,Arecales
12,ncbi,Anthericum,Asparagaceae,Asparagales
92,ncbi,Cordyline,Asparagaceae,Asparagales
91,ncbi,Phormium,Asphodelaceae,Asparagales
6,ncbi,Buphthalmum,Asteraceae,Asterales
14,ncbi,Adenostyles,Asteraceae,Asterales
17,ncbi,Tussilago,Asteraceae,Asterales
22,ncbi,Homogyne,Asteraceae,Asterales
24,ncbi,Carlina,Asteraceae,Asterales
26,ncbi,Leontopodium,Asteraceae,Asterales
27,ncbi,heliomeris,Asteraceae,Asterales
28,ncbi,heterotheca,Asteraceae,Asterales
34,ncbi,taraxacum,Asteraceae,Asterales
37,ncbi,senecio,Asteraceae,Asterales
42,ncbi,erigeron,Asteraceae,Asterales
43,ncbi,achillea,Asteraceae,Asterales
45,ncbi,solidago,Asteraceae,Asterales
47,ncbi,helianthella,Asteraceae,Asterales
65,ncbi,Dubyaea,Asteraceae,Asterales
71,ncbi,Ixeridium,Asteraceae,Asterales
83,ncbi,Jurinea,Asteraceae,Asterales
85,ncbi,Leucanthemopsis,Asteraceae,Asterales
96,ncbi,Ozothamnus,Asteraceae,Asterales
100,ncbi,Symphyotrichum,Asteraceae,Asterales
124,ncbi,Melanthera,Asteraceae,Asterales
129,ncbi,Artemisia,Asteraceae,Asterales
135,ncbi,Blainvillea,Asteraceae,Asterales
142,ncbi,Launaea,Asteraceae,Asterales
147,ncbi,Schizogyne,Asteraceae,Asterales
150,ncbi,Nauplius,Asteraceae,Asterales
49,ncbi,mahonia,Berberidaceae,Ranunculales
75,ncbi,Incarvillea,Bignoniaceae,Lamiales
114,ncbi,Tabebuia,Bignoniaceae,Lamiales
67,ncbi,Microula,Boraginaceae,Boraginales
73,ncbi,Onosma,Boraginaceae,Boraginales
44,ncbi,draba,Brassicaceae,Brassicales
62,ncbi,boechera,Brassicaceae,Brassicales
80,ncbi,Thlaspi,Brassicaceae,Brassicales
152,ncbi,Parolinia,Brassicaceae,Brassicales
134,ncbi,Jasminocereus,Cactaceae,Caryophyllales
15,ncbi,Phyteuma,Campanulaceae,Asterales
38,ncbi,campanula,Campanulaceae,Asterales
70,ncbi,Cyananthus,Campanulaceae,Asterales
82,ncbi,Jasione,Campanulaceae,Asterales
78,ncbi,Morina,Caprifoliaceae,Dipsacales
156,ncbi,Leycesteria,Caprifoliaceae,Dipsacales
25,ncbi,Gypsophila,Caryophyllaceae,Caryophyllales
136,ncbi,Maytenus,Celastraceae,Celastrales
115,ncbi,Jacquemontia,Convolvulaceae,Solanales
40,ncbi,sedum,Crassulaceae,Saxifragales
72,ncbi,Herpetospermum,Cucurbitaceae,Cucurbitales
154,ncbi,Gahnia,Cyperaceae,Poales
139,ncbi,Tiquilia,Ehretiaceae,Boraginales
119,ncbi,Jatropha,Euphorbiaceae,Malpighiales
11,ncbi,Hippocrepis,Fabaceae,Fabales
41,ncbi,vicia,Fabaceae,Fabales
54,ncbi,lathyrus,Fabaceae,Fabales
74,ncbi,Tibetia,Fabaceae,Fabales
99,ncbi,Dalea,Fabaceae,Fabales
101,ncbi,Pediomelum,Fabaceae,Fabales
104,ncbi,Chaetocalyx,Fabaceae,Fabales
109,ncbi,Senna,Fabaceae,Fabales
116,ncbi,Peltogyne,Fabaceae,Fabales
121,ncbi,Poeppigia,Fabaceae,Fabales
126,ncbi,Sesbania,Fabaceae,Fabales
140,ncbi,Galactia,Fabaceae,Fabales
141,ncbi,Tamarindus,Fabaceae,Fabales
149,ncbi,Frankenia,Frankeniaceae,Caryophyllales
46,ncbi,gentiana,Gentianaceae,Gentianales
69,ncbi,Halenia,Gentianaceae,Gentianales
88,ncbi,Argusia,Heliotropiaceae,Boraginales
48,ncbi,hydrophyllum,Hydrophyllaceae,Boraginales
50,ncbi,phacelia,Hydrophyllaceae,Boraginales
5,ncbi,Betonica,Lamiaceae,Lamiales
68,ncbi,Origanum,Lamiaceae,Lamiales
77,ncbi,Elsholtzia,Lamiaceae,Lamiales
81,ncbi,Dracocephalum,Lamiaceae,Lamiales
30,ncbi,erythronium,Liliaceae,Liliales
57,ncbi,linum,Linaceae,Malpighiales
108,ncbi,Sidastrum,Malvaceae,Malvales
112,ncbi,Herissantia,Malvaceae,Malvales
123,ncbi,Nymphoides,Menyanthaceae,Asterales
29,ncbi,claytonia,Montiaceae,Caryophyllales
95,ncbi,Metrosideros,Myrtaceae,Myrtales
1,ncbi,Lathirus,Fabaceae,Fabales
2,ncbi,Euphorbea,Euphorbiaceae,Malpighiales
3,ncbi,Dorichnium,Fabaceae,Fabales
4,ncbi,Helichrisum,Asteraceae,Asterales
8,ncbi,Acinos,Lamiaceae,Lamiales
19,ncbi,Asteraceae,Asteraceae,Asterales
33,ncbi,mertensia,Boraginaceae,Boraginales
35,ncbi,arenaria,Caryophyllaceae,Caryophyllales
52,ncbi,viola,Violaceae,Malpighiales
63,ncbi,agoceris,Asteraceae,Asterales
79,ncbi,Hemistepta,Asteraceae,Asterales
84,ncbi,hiesp,Asteraceae,Asterales
86,ncbi,hiebla,Asteraceae,Asterales
87,ncbi,hiease,Asteraceae,Asterales
93,ncbi,Conzya,Asteraceae,Asterales
94,ncbi,Dipogon,Fabaceae,Fabales
102,ncbi,Heterothe,Asteraceae,Asterales
105,ncbi,Erythroxylon,Erythroxylaceae,Malpighiales
107,ncbi,Hydrocleis,Alismataceae,Alismatales
113,ncbi,Rhaphiodon,Lamiaceae,Lamiales
117,ncbi,Chlorophora,Moraceae,Rosales
120,ncbi,Cereus,Cactaceae,Caryophyllales
127,ncbi,Helitropium,Boraginaceae,Boraginales
131,ncbi,NA,NA,NA
133,ncbi,Desmanthus,Fabaceae,Fabales
138,ncbi,Boerhaavia,Nyctaginaceae,Caryophyllales
145,ncbi,Lavendula,Lamiaceae,Lamiales
146,ncbi,Asphaltklee,Fabaceae,Fabales
151,ncbi,Neochamaelea,Rutaceae,Sapindales
153,ncbi,Zilla,Brassicaceae,Brassicales
103,ncbi,Boerhavia,Nyctaginaceae,Caryophyllales
10,ncbi,Dactylorhiza,Orchidaceae,Asparagales
9,ncbi,Rhinanthus,Orobanchaceae,Lamiales
21,ncbi,Melampyrum,Orobanchaceae,Lamiales
56,ncbi,castilleja,Orobanchaceae,Lamiales
143,ncbi,Kickxia,Plantaginaceae,Lamiales
61,ncbi,ipomopsis,Polemoniaceae,Ericales
53,ncbi,eriogonum,Polygonaceae,Caryophyllales
18,ncbi,Soldanella,Primulaceae,Ericales
20,ncbi,Androsace,Primulaceae,Ericales
31,ncbi,androsace,Primulaceae,Ericales
36,ncbi,delphinium,Ranunculaceae,Ranunculales
111,ncbi,Ziziphus,Rhamnaceae,Rosales
137,ncbi,Scutia,Rhamnaceae,Rosales
39,ncbi,potentilla,Rosaceae,Rosales
55,ncbi,rosa,Rosaceae,Rosales
58,ncbi,amelanchier,Rosaceae,Rosales
59,ncbi,fragaria,Rosaceae,Rosales
66,ncbi,Spenceria,Rosaceae,Rosales
60,ncbi,galium,Rubiaceae,Gentianales
132,ncbi,Chiococca,Rubiaceae,Gentianales
144,ncbi,Rubia,Rubiaceae,Gentianales
128,ncbi,Santalum,Santalaceae,Santalales
125,ncbi,Myoporum,Scrophulariaceae,Lamiales
98,ncbi,Lycium,Solanaceae,Solanales
76,ncbi,Stellera,Thymelaeaceae,Malvales
155,ncbi,Melicytus,Violaceae,Malpighiales
