,Anthophora alluaudi,Attalus crispus,Camponotus feae,Cecydomyiidae sp.,Ceratogoponidae sp.,Chironomidae sp. 1,Chloropidae sp. 3,Chloropidae sp. 4,Chrysomya albiceps,Colias croceus,Colletes dimidiatus,Cryptocephalus nitidicollis,Dasytes subaenescens,Empis sp. 1,Estheria simonyi,Euderus sp.,Eumerus latitarsis,Lasioglossum loetum,Lasioglossum viride,Lucilia sericata,Myathropa florea,Myopites nigrescens,Neodryophilus cryptophagoides,Paratrechina longicornis,Perilampus sp. 1,Phalacrus coruscus,Phthiria simonyi,Pteromalus sp. 3,Rondania insularis,Sarcophagidae sp. 3,Sciaridae sp.,Spathulina sicula,Syritta pipiens,Thaumatomyia notata,Thysanoptera sp. 1,Thysanoptera sp. 2,Villa nigriceps
Asphaltklee bituminosa,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ceballosia fruticosa,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Euphorbia balsamifera,0,0,44,1,0,0,2,0,0,0,0,1,1,0,1,0,1,1,2,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,24,0,0
Euphorbia lamarckii,0,1,42,0,2,1,0,0,1,0,11,0,1,1,3,0,3,6,9,4,5,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0
Periploca laevigata,0,0,43,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phagnalon saxatile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0
Rubia fruticosa,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Satureja kuegleri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schizogyne sericea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
