,Andrena,Anthophora,Apis melifera,Bombus terrestris,Ceratina curcubitina,Coleoptera,Dasytidae,Halictus gemmeus,Halictus pyrenaicus,Hylaeus,Lasioglossum,Mordella bipunctata,Mordellistena pumila,Nomada,Oedemera lurida,Ptinidae Bruchidae,Scolia,Sphaerophoeria,Sphecodes
Convolvulus althaeoides,0,0,0,0,0,1,1,0,0,0,1,0,7,0,0,0,0,0,0
Daucus carota carota,1,0,1,0,0,0,0,5,0,3,2,3,8,0,2,1,0,0,0
Equium sabulicola,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eryngium campestre,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Sedum sediforme,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Sonchus tenerrinus,6,0,2,1,0,0,0,0,0,0,4,0,0,1,0,0,1,1,1
Urospermum picrioides,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
