,Bombus sp,Bombus maxillosus,Bombus terrestris,Andrena flavipes,Andrena nitida,Andrena ovatula,Andrena pilipes,Andrena suerinensis,Apis mellifera,Halictus confusus,Halictus quadricinctus,Halictus rubicundus,Halictus scabiosae,Halictus tetrazonius,Hoplitis mitis,Hylaeus praenotatus,Ceratina cucurbitina,Lasioglossum albipes,Lasioglossum costulatum,Lasioglossum dusmeti,Lasioglossum leucopus,Lasioglossum subfasciatum,Lasioglossum xanthopus,Sepsis neocynipsea,Sphecodes scabricollis,Cerceris Arenaria,Cerceris rhybyensis,Ophyon sp,Philantus sp,Podalonia sp,Sphex sp,Tenthredo mesomela,Chrysotoxum festivum,Chrysotoxum intermedium,Didea intermedia,Eristalis similis,Eristalis tenax,Eupeodes corollae,Merodon crypticus,Scaeva albomaculata,Sphaeroforia scripta,Spaherophoria sp,Syrphus ribesii,Villa hottentotta,Volucella pellucens,Conophorus virescens,Hemipenthes hamifera,Hemipenthes morio,Systoechus gradatus,Dysmachus sp,Muscidae,Neomyia cornicina,Paragus sp,Tachinidae sp1 ,Tachinidae sp2,Tachinidae sp3,Tachinidae sp4,Tephritidae ,Anthomyiidae sp1 ,Anthomyiidae sp2,Chloropidae ,Megaselia sp,Myopa testacea,Pherbellia cinerella,Phthiria sp,Saltella sphondylii,Scathophaga stercoraria,Aglais urticae,Argynis aglaja,Argyniss sp,Colias alfacariensis,Colias croccea,Erebia meolans,Erebia triaria,Jglialc,Heliothis viriplaca,Hipparchia semele,Inachis Io,Issoria lathonia,Lampides boeticus,Lycaena alciphron,Lycaena phlaeas,Macroglossum stellatarum,Maniola jurtina,Melitaea didyma,Panurgus banksianus,Panurgus calcaratus,Pandoriana pandora,Parnassius apolo,Pieris brassicae,Pieris napi,Pieris rapae,Pontia daplidice,Pyralidae sp1 ,Pyralidae sp2,Synanthedon sp,Vanessa atalanta,Vanessa cardui,Acmaeoderella coarctata coarctata,Chrysomelidae sp1,Coccinella septepunctata,Curculionidae sp1,Enicopus sp,Heliopathes perrouidi,Lytta vesicatoria,Mylabris variabilis,Nitidulidae sp1,Phalacridae sp1 ,Phalacridae sp2,Phyllodecta vulgatissima,Camptopus lateralis,Formica fusca,Ichneumonidae sp,Microlepidoptera sp 1,Microlepidoptera sp 2,Microlepidoptera sp 3,Microlepidoptera sp 4,Microlepidoptera sp 5,Ophyon sp1,Spilostethus saxatilis
Adenocarpus hispanicus,0,0,9,1,0,34,4,0,12,16,0,0,0,0,1,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,0,4,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,57,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Armeria caespitosa,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
Biscutella intermedia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cytisus oromediterraneus,0,0,27,1,6,11,0,2,2,13,0,0,0,1,0,0,0,0,0,0,21,0,0,5,0,0,0,0,0,15,0,1,0,0,0,3,13,3,0,24,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,1,1,0,2,5,0,1,0,2,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,5,0,0,0,14,3,0,0,0,2,0,0,1,0,0,0,1,0,1,0
Euphrasia willkommii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gentiana lutea,0,1,26,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hiease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hiebla,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hiesp,0,0,1,0,0,0,0,3,1,3,0,0,0,0,1,0,0,0,0,0,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,12,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasione crispa,0,3,21,3,0,7,0,0,1,14,0,0,1,0,14,0,1,1,0,0,143,0,1,0,3,0,0,1,0,2,11,0,0,0,0,7,36,2,0,20,6,2,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,4,5,0,0,0,1,0,163,0,1,1,6,0,0,1,1,1,0,0,2,0,0,0,4,1,0,12,0,0,6,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
