intera,.value,.lower,.upper,.width,.point,.interval
Coleoptera.A - Bee.A,-0.892369324,-1.057405451,-0.731874755,0.95,mode,hdi
Coleoptera.A - Bee.B,-0.784328379,-1.29014519,-0.38123302,0.95,mode,hdi
Coleoptera.A - Bee.C,-0.574612366,-0.868049104,-0.219208359,0.95,mode,hdi
Coleoptera.A - Bee.D,-0.520964788,-0.957199291,-0.182382725,0.95,mode,hdi
Coleoptera.A - Bee.E,-0.436509384,-0.941572115,-0.030256678,0.95,mode,hdi
Coleoptera.B - Bee.A,-0.880781077,-1.364141806,-0.431446194,0.95,mode,hdi
Coleoptera.B - Bee.B,-0.843775602,-1.087251988,-0.580614438,0.95,mode,hdi
Coleoptera.B - Bee.C,-0.564374712,-0.936252715,-0.115777705,0.95,mode,hdi
Coleoptera.B - Bee.D,-0.597582049,-1.028004452,-0.103986011,0.95,mode,hdi
Coleoptera.B - Bee.E,-0.484497247,-0.926846611,0.010345448,0.95,mode,hdi
Coleoptera.C - Bee.A,-0.715138347,-1.002861518,-0.384748404,0.95,mode,hdi
Coleoptera.C - Bee.B,-0.636080069,-1.028900869,-0.236450376,0.95,mode,hdi
Coleoptera.C - Bee.C,-0.362477528,-0.453732755,-0.230701943,0.95,mode,hdi
Coleoptera.C - Bee.D,-0.336777286,-0.617531518,-0.086816873,0.95,mode,hdi
Coleoptera.C - Bee.E,-0.237609646,-0.643341303,0.103156565,0.95,mode,hdi
Coleoptera.D - Bee.A,-0.754073511,-1.255433647,-0.354629703,0.95,mode,hdi
Coleoptera.D - Bee.B,-0.717044272,-1.213720087,-0.211110564,0.95,mode,hdi
Coleoptera.D - Bee.C,-0.440132506,-0.788684424,-0.072434338,0.95,mode,hdi
Coleoptera.D - Bee.D,-0.478668685,-0.752063096,-0.133931146,0.95,mode,hdi
Coleoptera.D - Bee.E,-0.350305941,-0.869631066,0.11042317,0.95,mode,hdi
Coleoptera.E - Bee.A,-0.698197225,-1.462496889,0.041160147,0.95,mode,hdi
Coleoptera.E - Bee.B,-0.716345376,-1.380488481,0.101722469,0.95,mode,hdi
Coleoptera.E - Bee.C,-0.405935958,-1.084569274,0.350010877,0.95,mode,hdi
Coleoptera.E - Bee.D,-0.440185917,-1.137618391,0.341304117,0.95,mode,hdi
Coleoptera.E - Bee.E,-0.235498892,-1.009166666,0.344952864,0.95,mode,hdi
Diptera.A - Bee.A,-0.774674417,-0.900600165,-0.644015677,0.95,mode,hdi
Diptera.A - Bee.B,-0.666713551,-1.13218509,-0.229467474,0.95,mode,hdi
Diptera.A - Bee.C,-0.434419369,-0.747263799,-0.125920735,0.95,mode,hdi
Diptera.A - Bee.D,-0.456241955,-0.830751575,-0.08401731,0.95,mode,hdi
Diptera.A - Bee.E,-0.343899151,-0.811840293,0.091319598,0.95,mode,hdi
