Comparison,Mean,L.C.I.,U.C.I
B - A,0.066,-0.508,0.653
C - A,0.060,-0.344,0.480
D - A,-0.084,-0.563,0.420
E - A,-0.109,-0.673,0.435
C - B,-0.006,-0.646,0.548
D - B,-0.150,-0.797,0.490
E - B,-0.175,-0.769,0.464
D - C,-0.144,-0.532,0.210
E - C,-0.169,-0.736,0.357
E - D,-0.025,-0.625,0.574
