"","intera",".value",".lower",".upper",".width",".point",".interval","group1","group2"
"1","Bee.B - Bee.A",-1.0126704748818,-1.89740637226547,-0.106648836376801,0.95,"mode","hdi","Bee.B","Bee.A"
"2","Bee.C - Bee.A",-1.32616647881128,-1.97825221585574,-0.700553877427323,0.95,"mode","hdi","Bee.C","Bee.A"
"3","Bee.D - Bee.A",-0.975468775442262,-1.7468111428313,-0.312867537583247,0.95,"mode","hdi","Bee.D","Bee.A"
"4","Bee.E - Bee.A",-0.907693298594875,-1.68589749255283,0.0559479668643408,0.95,"mode","hdi","Bee.E","Bee.A"
"5","Coleoptera.A - Bee.A",-1.49833331588956,-1.76492949964239,-1.15952879144972,0.95,"mode","hdi","Coleoptera.A","Bee.A"
"6","Coleoptera.B - Bee.A",-1.8922571772594,-2.90821201384784,-0.973867586879035,0.95,"mode","hdi","Coleoptera.B","Bee.A"
"7","Coleoptera.C - Bee.A",-1.89795714576293,-2.52295307577657,-1.26107300519818,0.95,"mode","hdi","Coleoptera.C","Bee.A"
"8","Coleoptera.D - Bee.A",-1.96756661389642,-2.74459903923792,-1.15712429118769,0.95,"mode","hdi","Coleoptera.D","Bee.A"
"9","Coleoptera.E - Bee.A",-1.38403710890923,-2.70289220936586,0.452410016333753,0.95,"mode","hdi","Coleoptera.E","Bee.A"
"10","Diptera.A - Bee.A",-1.30848970479314,-1.54647915555821,-1.09189765059704,0.95,"mode","hdi","Diptera.A","Bee.A"
"11","Diptera.B - Bee.A",-1.91601088293688,-2.73591954277725,-0.91971725126702,0.95,"mode","hdi","Diptera.B","Bee.A"
"12","Diptera.C - Bee.A",-1.99536439287869,-2.59607321982355,-1.32384558813279,0.95,"mode","hdi","Diptera.C","Bee.A"
"13","Diptera.D - Bee.A",-1.72622264583227,-2.57275685104532,-1.15892696531187,0.95,"mode","hdi","Diptera.D","Bee.A"
"14","Diptera.E - Bee.A",-1.34778478966714,-2.10951754619416,-0.453169649499189,0.95,"mode","hdi","Diptera.E","Bee.A"
"15","Hymenoptera.A - Bee.A",-1.24117999911998,-1.51118466030218,-0.954619522132817,0.95,"mode","hdi","Hymenoptera.A","Bee.A"
"16","Hymenoptera.B - Bee.A",-1.14527880424896,-2.00854846584969,-0.153218067645489,0.95,"mode","hdi","Hymenoptera.B","Bee.A"
"17","Hymenoptera.C - Bee.A",-2.10128497177668,-2.69537198726262,-1.40431468229862,0.95,"mode","hdi","Hymenoptera.C","Bee.A"
"18","Hymenoptera.D - Bee.A",-2.31484598942997,-3.21751301415449,-1.54963821059054,0.95,"mode","hdi","Hymenoptera.D","Bee.A"
"19","Hymenoptera.E - Bee.A",-1.86894199950696,-2.71879048878456,-0.851819217349048,0.95,"mode","hdi","Hymenoptera.E","Bee.A"
"20","Lepidoptera.A - Bee.A",-1.7492861672275,-2.05404181569329,-1.46253835948744,0.95,"mode","hdi","Lepidoptera.A","Bee.A"
"21","Lepidoptera.B - Bee.A",-1.29743462633361,-2.18356899415335,-0.287365933755134,0.95,"mode","hdi","Lepidoptera.B","Bee.A"
"22","Lepidoptera.C - Bee.A",-2.15563952996602,-2.80261431396937,-1.51587614270301,0.95,"mode","hdi","Lepidoptera.C","Bee.A"
"23","Lepidoptera.D - Bee.A",-2.35630504034569,-2.99215474439209,-1.51980483519721,0.95,"mode","hdi","Lepidoptera.D","Bee.A"
"24","Lepidoptera.E - Bee.A",-1.36702083109913,-2.17369072893386,-0.360338592852055,0.95,"mode","hdi","Lepidoptera.E","Bee.A"
"25","Syrphidae.A - Bee.A",-1.41132152897705,-1.68513245372566,-1.10706212621795,0.95,"mode","hdi","Syrphidae.A","Bee.A"
"26","Syrphidae.B - Bee.A",-1.13357822606106,-2.07302169395564,-0.157797386651854,0.95,"mode","hdi","Syrphidae.B","Bee.A"
"27","Syrphidae.C - Bee.A",-1.38367072741564,-2.02505191343209,-0.734849029830974,0.95,"mode","hdi","Syrphidae.C","Bee.A"
"28","Syrphidae.D - Bee.A",-1.40761412768746,-2.20364404377438,-0.784491923830771,0.95,"mode","hdi","Syrphidae.D","Bee.A"
"29","Syrphidae.E - Bee.A",-0.390826101902249,-1.29774333967003,0.591806027398607,0.95,"mode","hdi","Syrphidae.E","Bee.A"
"30","Bee.C - Bee.B",-0.249685481466982,-1.08186186294487,0.513860858165907,0.95,"mode","hdi","Bee.C","Bee.B"
"31","Bee.D - Bee.B",0.0524852118020023,-0.881194035263592,0.805352188839579,0.95,"mode","hdi","Bee.D","Bee.B"
"32","Bee.E - Bee.B",0.0621808958229262,-0.659250927011398,0.870564342347732,0.95,"mode","hdi","Bee.E","Bee.B"
"33","Coleoptera.A - Bee.B",-0.423337653129455,-1.37749405532968,0.480179712645882,0.95,"mode","hdi","Coleoptera.A","Bee.B"
"34","Coleoptera.B - Bee.B",-0.947453623336604,-1.35692465538901,-0.505739064070825,0.95,"mode","hdi","Coleoptera.B","Bee.B"
"35","Coleoptera.C - Bee.B",-0.865788847406823,-1.68876950982659,-0.0726606441221413,0.95,"mode","hdi","Coleoptera.C","Bee.B"
"36","Coleoptera.D - Bee.B",-0.925642780511413,-1.95372200725129,-0.0817568951092102,0.95,"mode","hdi","Coleoptera.D","Bee.B"
"37","Coleoptera.E - Bee.B",-0.452962452754809,-1.63612945478171,1.40661589929466,0.95,"mode","hdi","Coleoptera.E","Bee.B"
"38","Diptera.A - Bee.B",-0.374661925162649,-1.28878402597893,0.519176156999447,0.95,"mode","hdi","Diptera.A","Bee.B"
"39","Diptera.B - Bee.B",-0.799646254865966,-1.14542906675131,-0.527455953410731,0.95,"mode","hdi","Diptera.B","Bee.B"
"40","Diptera.C - Bee.B",-0.997500397881293,-1.76034322002079,-0.160312844718945,0.95,"mode","hdi","Diptera.C","Bee.B"
"41","Diptera.D - Bee.B",-0.824157827503372,-1.68693700933641,0.0285375927009435,0.95,"mode","hdi","Diptera.D","Bee.B"
"42","Diptera.E - Bee.B",-0.379477368612533,-1.04668581716168,0.473055218199186,0.95,"mode","hdi","Diptera.E","Bee.B"
"43","Hymenoptera.A - Bee.B",-0.300027748792562,-1.24868307210826,0.591663816555199,0.95,"mode","hdi","Hymenoptera.A","Bee.B"
"44","Hymenoptera.B - Bee.B",-0.0598911688626925,-0.423675530843134,0.259898196965183,0.95,"mode","hdi","Hymenoptera.B","Bee.B"
"45","Hymenoptera.C - Bee.B",-1.04298052902435,-1.85984927815969,-0.230342637600041,0.95,"mode","hdi","Hymenoptera.C","Bee.B"
