Plant_species,Insect_species,value,L1
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Botanophila fugax,1,Benadi 2014_5
Leontodon hispidus,Thricops nigritellus,1,Benadi 2014_5
Leontodon hispidus,Scaeva selenitica,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Aster bellidiastrum,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Leontodon hispidus,Scaeva selenitica,1,Benadi 2014_5
Leontodon hispidus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Pegoplata aestiva,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Aster bellidiastrum,Thricops nigritellus,1,Benadi 2014_5
Chaerophyllum hirsutum,Thricops nigritellus,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Chaerophyllum hirsutum,Thricops nigritellus,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops aculeipes,1,Benadi 2014_5
Potentilla aurea,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Pegoplata aestiva,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Sphaerophoria interrupta,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Potentilla aurea,Thricops nigritellus,1,Benadi 2014_5
Leontodon hispidus,Sphaerophoria interrupta,1,Benadi 2014_5
Anthyllis vulneraria,Bombus mucidus,1,Benadi 2014_5
Ranunculus montanus,Drymeia brumalis,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops cunctans,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
Ranunculus montanus,Thricops nigritellus,1,Benadi 2014_5
