Date,Site,Tree.spp,Time,Ochetellus.glaber,Nylanderia.sp,Tetramorium.grassii,Technomyrmex.jocosus,Iridomyrmex.sulcheri,Monomorium.smithii,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Lassioglossum,Bombus,Cerembycidae,Mordella.sp,Trogoderma._beetle,Curculionoidea ,Staphylinidae,Coleoptera,Odonata,Aranae,Diptera,Lycaena.salustius,Zizina.labradus,Piers.rapae,Lepidoptera,Polistes.chinensis,Vespula.vulgaris,Orthoptera,Anicotrocerus.gazella,Hymenopetra,Icheumonidae,Blattodea
11/11/16,Karekare,Dipogon lignosus,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21/11/16,Karekare,Dipogon lignosus,13:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/16,Karekare,Dipogon lignosus,9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14/11/16,Karekare,Dipogon lignosus,12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14/11/16,Karekare,Dipogon lignosus,12:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/16,Karekare,Leptospermum scoparium,14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3/11/16,Karekare,Leptospermum scoparium,11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/11/16,Karekare,Leptospermum scoparium,9:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/11/16,Karekare,Leptospermum scoparium,13:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/11/15,Karekare,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/12/15,Karekare,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/15,Karekare,Leptospermum scoparium,13:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/01/17,Karekare,Lilium formasanum,14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
