X,variable,value,L1
Passiflora suberosa,Apis.mellifera,1,mauritius_valerie
Leucaena leucocephala,Apis.mellifera,1,mauritius_valerie
Morinda citrifolia,Apis.mellifera,1,mauritius_valerie
Thespesia populnea,Apis.mellifera,1,mauritius_valerie
Argusia argentea,Apis.mellifera,1,mauritius_valerie
Suriana maritima,Apis.mellifera,1,mauritius_valerie
Hibiscus tiliaceus,Apis.mellifera,1,mauritius_valerie
Pemphis acidula,Apis.mellifera,1,mauritius_valerie
Ipomoea macrantha,Apis.mellifera,1,mauritius_valerie
Scaevola sericea,Apis.mellifera,1,mauritius_valerie
Dracaena concinna,Apis.mellifera,1,mauritius_valerie
Gastonia mauritiana,Apis.mellifera,1,mauritius_valerie
Turnera angustifolia,Borbo.borbonica,1,mauritius_valerie
Stachytapheta jamaicencis,Borbo.borbonica,1,mauritius_valerie
Thespesia populnea,Borbo.borbonica,1,mauritius_valerie
Stachytapheta jamaicencis,Leptotes.pirithous,1,mauritius_valerie
Morinda citrifolia,Leptotes.pirithous,1,mauritius_valerie
Suriana maritima,Leptotes.pirithous,1,mauritius_valerie
Pemphis acidula,Leptotes.pirithous,1,mauritius_valerie
Gastonia mauritiana,Leptotes.pirithous,1,mauritius_valerie
Gastonia mauritiana,Lucilia.sp.,1,mauritius_valerie
Turnera angustifolia,Megachile.sp.,1,mauritius_valerie
Suriana maritima,Megachile.sp.,1,mauritius_valerie
Scaevola sericea,Megachile.sp.,1,mauritius_valerie
Argusia argentea,Musca.domestica,1,mauritius_valerie
Gastonia mauritiana,Musca.domestica,1,mauritius_valerie
Gastonia mauritiana,Ornidia.obesa,1,mauritius_valerie
Stachytapheta jamaicencis,Phalantha.phalantha,1,mauritius_valerie
Pemphis acidula,Phalantha.phalantha,1,mauritius_valerie
Passiflora suberosa,Phelsuma.ornata,1,mauritius_valerie
Leucaena leucocephala,Phelsuma.ornata,1,mauritius_valerie
Morinda citrifolia,Phelsuma.ornata,1,mauritius_valerie
Thespesia populnea,Phelsuma.ornata,1,mauritius_valerie
Argusia argentea,Phelsuma.ornata,1,mauritius_valerie
Hibiscus tiliaceus,Phelsuma.ornata,1,mauritius_valerie
Pemphis acidula,Phelsuma.ornata,1,mauritius_valerie
Scaevola sericea,Phelsuma.ornata,1,mauritius_valerie
Dracaena concinna,Phelsuma.ornata,1,mauritius_valerie
Gastonia mauritiana,Phelsuma.ornata,1,mauritius_valerie
Gastonia mauritiana,Protaetia.aurichalcea,1,mauritius_valerie
Turnera angustifolia,Stratiomydae.sp.,1,mauritius_valerie
Stachytapheta jamaicencis,Stratiomydae.sp.,1,mauritius_valerie
Leucaena leucocephala,Stratiomydae.sp.,1,mauritius_valerie
Thespesia populnea,Stratiomydae.sp.,1,mauritius_valerie
Pemphis acidula,Stratiomydae.sp.,1,mauritius_valerie
Gastonia mauritiana,Stratiomydae.sp.,1,mauritius_valerie
Stachytapheta jamaicencis,Syrphid.sp.,1,mauritius_valerie
Argusia argentea,Syrphid.sp.,1,mauritius_valerie
Dracaena concinna,Syrphid.sp.,1,mauritius_valerie
Pemphis acidula,Xylocopa.fenestrata,1,mauritius_valerie
Scaevola sericea,Xylocopa.fenestrata,1,mauritius_valerie
Turnera angustifolia,Xylocopa.fenestrata,1,mauritius_valerie
