Plant_species,Insect_species,value,L1
Euphorbia cyparissias,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Euphorbia cyparissias,Melinda gentilis,1,Benadi 2014_1
Cardamine pratensis,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Rhamphomyia umbripes,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Euphorbia cyparissias,Rhamphomyia spec. nov. 1,1,Benadi 2014_1
Euphorbia cyparissias,Melinda viridicyaena,1,Benadi 2014_1
Erica carnea,Bombus pascuorum,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Cardamine pratensis,Dasysyrphus lenensis,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Parasyrphus punctulatus,1,Benadi 2014_1
Cardamine pratensis,Parasyrphus punctulatus,1,Benadi 2014_1
Cardamine pratensis,Dasysyrphus lenensis,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Bombus jonellus,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Cheilosia melanura,1,Benadi 2014_1
Cardamine pratensis,Parasyrphus punctulatus,1,Benadi 2014_1
Dryas octopetala,Cheilosia chrysocoma,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Cardamine pratensis,Dasysyrphus lenensis,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Cardamine pratensis,Cheilosia albipila,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Cheilosia melanura,1,Benadi 2014_1
Cardamine pratensis,Pegoplata aestiva,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Melanostoma mellinum,1,Benadi 2014_1
Cardamine pratensis,Platycheirus albimanus,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Euphorbia cyparissias,Cheilosia nigripes,1,Benadi 2014_1
Cardamine pratensis,Parasyrphus macularis,1,Benadi 2014_1
Cardamine pratensis,Parasyrphus punctulatus,1,Benadi 2014_1
Cardamine pratensis,Cheilosia lenis,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Cheilosia chrysocoma,1,Benadi 2014_1
Cardamine pratensis,Cheilosia lenis,1,Benadi 2014_1
Cardamine pratensis,Cheilosia pagana,1,Benadi 2014_1
Cardamine pratensis,Halictus rubicundus,1,Benadi 2014_1
Cardamine pratensis,Melangyna lasiophthalma,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Cheilosia chrysocoma,1,Benadi 2014_1
Cardamine pratensis,Cheilosia pagana,1,Benadi 2014_1
Polygala chamaebuxus,Bombus wurflenii,1,Benadi 2014_1
Valeriana tripteris,Cheilosia personata,1,Benadi 2014_1
Biscutella laevigata,Dasysyrphus lenensis,1,Benadi 2014_1
Valeriana tripteris,Cheilosia morio,1,Benadi 2014_1
Valeriana tripteris,Pollenia rudis,1,Benadi 2014_1
Erica carnea,Cheilosia impressa,1,Benadi 2014_1
Biscutella laevigata,Pollenia rudis,1,Benadi 2014_1
Polygala chamaebuxus,Bombus pascuorum,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Biscutella laevigata,Scathophaga stercoraria,1,Benadi 2014_1
Dryas octopetala,Tachina nigrohirta,1,Benadi 2014_1
Dryas octopetala,Cheilosia urbana,1,Benadi 2014_1
Polygala chamaebuxus,Bombus pascuorum,1,Benadi 2014_1
Biscutella laevigata,Andrena lapponica,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Cardamine pratensis,Cheilosia melanura,1,Benadi 2014_1
Cardamine pratensis,Pieris napi,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Andrena nitida,1,Benadi 2014_1
Cardamine pratensis,Melanostoma mellinum,1,Benadi 2014_1
Cardamine pratensis,Cheilosia melanura,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Cardamine pratensis,Melangyna lasiophthalma,1,Benadi 2014_1
Valeriana tripteris,Cheilosia urbana,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Polygala chamaebuxus,Bombus soroeensis,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Polygala chamaebuxus,Bombus lucorum-Komplex,1,Benadi 2014_1
Polygala chamaebuxus,Bombus pascuorum,1,Benadi 2014_1
Cardamine pratensis,Anthocharis cardamines,1,Benadi 2014_1
Cardamine pratensis,Cheilosia pagana,1,Benadi 2014_1
Euphorbia cyparissias,Sphaerophoria interrupta,1,Benadi 2014_1
Euphorbia cyparissias,Sphaerophoria interrupta,1,Benadi 2014_1
Euphorbia cyparissias,Phorbia curvicauda,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Cardamine pratensis,Bombus lucorum-Komplex,1,Benadi 2014_1
Cardamine pratensis,Phaonia meigeni,1,Benadi 2014_1
Cardamine pratensis,Sphaerophoria interrupta,1,Benadi 2014_1
Euphorbia cyparissias,Botanophila fugax,1,Benadi 2014_1
Euphorbia cyparissias,Scathophaga stercoraria,1,Benadi 2014_1
Euphorbia cyparissias,Helina latitarsis,1,Benadi 2014_1
Cardamine pratensis,Cheilosia carbonaria,1,Benadi 2014_1
Euphorbia cyparissias,Sphaerophoria interrupta,1,Benadi 2014_1
Euphorbia cyparissias,Botanophila fugax,1,Benadi 2014_1
Cardamine pratensis,Cheilosia nigripes,1,Benadi 2014_1
