Date,Site,Tree.spp,Time,Ochetellus.glaber,Nylanderia.sp,Iridomyrmex.sulcheri,Monomorium.antarcticum,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Bombus,Cerembycidae,Aranae,Lycaena.salustius,Clitarchus,Prosthemadera.novaeseelandiae
15/11/15,Whatipu,Cordyline australisTree,11:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15/11/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20/11/15,Whatipu,Leptospermum scoparium,9:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20/11/15,Whatipu,Leptospermum scoparium,15:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22/12/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27/11/15,Whatipu,Leptospermum scoparium,17:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,17:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4/12/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15/01/16,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Phormium tenax,16:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,11:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20/11/15,Whatipu,Phormium tenax,15:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,11:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,12:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22/12/15,Whatipu,Phormium tenax,12:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,10:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27/11/15,Whatipu,Phormium tenax,17:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,14:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,16:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Phormium tenax,17:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15/11/15,Whatipu,Leptospermum scoparium,11:00:00,0,0,0,0,0,1,0,0,0,1,0,0,0,0
15/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0
27/11/15,Whatipu,Leptospermum scoparium,10:00:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0
27/11/15,Whatipu,Leptospermum scoparium,17:00:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,13:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0
4/12/15,Whatipu,Leptospermum scoparium,16:00:00,0,0,0,0,1,1,0,0,0,0,0,0,0,0
