"Plant","Adelidae","Amegilla femorata?","Andrena","Anthidium sticticum","Apis melifera","Bibionidae","Bombus terrestris","Bombyliidae","Callophrys rubi","Coleoptera","Colletes","Conophorus virescens","Criptocephalus","Dasytidae","Halyctus","Hylaeus","Megachilidae","Milichidae","Mordellistena pumila","Myrabilis quadripunctata","Nomada","Oedemera flavipes","Oedemera lurida","Oxythyrea funesta","Plagiolepsis pigmaea","Psilothrix","Ptinidae Bruchidae","Sphaerophoeria","Sphecodes","Syrphidae"
"Aetheorrina bulbosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Carpobrotus spp. acinaciformis",0,0,1,0,1,0,7,0,0,2,0,0,0,0,3,0,1,0,2,0,0,0,4,8,0,7,0,0,0,0
"Cistus albidus",0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1
"Cistus monspeliensis",0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,1,9,4,0,1,0,0,2,0
"Cistus salvifolius",0,1,8,0,1,0,0,1,0,5,0,1,0,1,1,0,0,0,3,0,0,1,0,7,1,4,0,0,0,1
"Dorichnium pentaphylum",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactites tomentosa",0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helianthemum guttatum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Helichrisum stoechas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0
"Lathirus clymenum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Rosmarinus officinalis",0,2,0,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
"Sonchus tenerrinus",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0
"Urospermum picrioides",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
