"","unique(plant_family$family)"
"41","Melanthiaceae"
"42","Primulaceae"
"43","Hydrangeaceae"
"44","Campanulaceae"
"45","Cleomaceae"
"46","Gentianaceae"
"47","Orobanchaceae"
"48","Plantaginaceae"
"49","Crassulaceae"
"50","Papaveraceae"
"51","Apocynaceae"
"52","Commelinaceae"
"53","Polygonaceae"
"54","Chloropidae"
"55","Adoxaceae"
"56","Scrophulariaceae"
"57","Lentibulariaceae"
"58","Saxifragaceae"
"59","Diapensiaceae"
"60","Celastraceae"
"61","Salicaceae"
"62","Plumbaginaceae"
"63","Convolvulaceae"
"64","Lythraceae"
"65","Goodeniaceae"
"66","Surianaceae"
"67","Lauraceae"
"68","Cistaceae"
"69","Aquifoliaceae"
"70","Oleaceae"
"71","Hypericaceae"
"72","Cucurbitaceae"
"73","Hyacinthaceae"
"74","Thymelaeaceae"
"75","Heliotropiaceae"
"76","Santalaceae"
"77","Resedaceae"
"78","Acanthaceae"
"79","Asphodelaceae"
"80","Capparaceae"
