"","db","query","family","order"
"1","ncbi","Homogyne","Asteraceae","Asterales"
"2","ncbi","Tussilago","Asteraceae","Asterales"
"3","ncbi","Betonica","Lamiaceae","Lamiales"
"4","ncbi","Rhinanthus","Orobanchaceae","Lamiales"
"5","ncbi","Buphthalmum","Asteraceae","Asterales"
"6","ncbi","Ligusticum","Apiaceae","Apiales"
"7","ncbi","Vincetoxicum","Apocynaceae","Gentianales"
"8","ncbi","Acinos",NA,NA
"9","ncbi","Soldanella","Primulaceae","Ericales"
"10","ncbi","Carlina","Asteraceae","Asterales"
"11","ncbi","Phyteuma","Campanulaceae","Asterales"
"12","ncbi","Dactylorhiza","Orchidaceae","Asparagales"
"13","ncbi","Hippocrepis","Fabaceae","Fabales"
"14","ncbi","Androsace","Primulaceae","Ericales"
"15","ncbi","Anthericum","Asparagaceae","Asparagales"
"16","ncbi","Gypsophila","Caryophyllaceae","Caryophyllales"
"17","ncbi","Laserpitium","Apiaceae","Apiales"
"18","ncbi","Adenostyles","Asteraceae","Asterales"
"19","ncbi","Asteraceae",NA,NA
"20","ncbi","Melampyrum","Orobanchaceae","Lamiales"
"21","ncbi","Carum","Apiaceae","Apiales"
"22","ncbi","Leontopodium","Asteraceae","Asterales"
"23","ncbi","Argusia","Heliotropiaceae","Boraginales"
"24","ncbi","Chiococca","Rubiaceae","Gentianales"
"25","ncbi","Desmanthus",NA,NA
"26","ncbi","Tiquilia","Ehretiaceae","Boraginales"
"27","ncbi","Blainvillea","Asteraceae","Asterales"
"28","ncbi","Tamarindus","Fabaceae","Fabales"
"29","ncbi","Senna","Fabaceae","Fabales"
"30","ncbi","Galactia","Fabaceae","Fabales"
"31","ncbi","Maytenus","Celastraceae","Celastrales"
"32","ncbi","Scutia","Rhamnaceae","Rosales"
"33","ncbi","Jasminocereus","Cactaceae","Caryophyllales"
"34","ncbi","Boerhaavia",NA,NA
"35","ncbi","Launaea","Asteraceae","Asterales"
"36","ncbi","Lycium","Solanaceae","Solanales"
"37","ncbi","Kickxia","Plantaginaceae","Lamiales"
"38","ncbi","Asphaltklee",NA,NA
"39","ncbi","Rubia","Rubiaceae","Gentianales"
"40","ncbi","Lavendula",NA,NA
"41","ncbi","Schizogyne","Asteraceae","Asterales"
"42","ncbi","Frankenia","Frankeniaceae","Caryophyllales"
"43","ncbi","Ceropegia","Apocynaceae","Gentianales"
"44","ncbi","Parolinia","Brassicaceae","Brassicales"
"45","ncbi","Nauplius","Asteraceae","Asterales"
"46","ncbi","Neochamaelea",NA,NA
"47","ncbi","Zilla",NA,NA
