,Curculionidae_sp2,Apis_mellifera,Epanthidium_sp1,Epanthidium_sp2,Epanthidium_sp3,Centris_aenea,Centris,Centris_flavifrons,Centris_fuscata,Centris_spilopoda,Bombus_morio,Bombus_pauloensis,Auglocloropsis_sp1,Auglocloropsis_sp2,Cyclocephala_sp,Vespidae_sp1,Syrphidae_sp2,Mariposa,Anthophora_sp1,Augloclorella_sp1,Augloclora_sp1,Brachygstra_sp1,Epicharis_flava,Epicharis_sp,Megachile_sp1,Megachile_sp2,Melipona_sp1,Xylocopa_sp1,Xylocopa_sp2,Palpada_sp,Trigona_spinipes,Diptera_sp1,Diptera_sp3,Diptera_sp6,Diptera_sp7,Diptera_sp8,Diptera_sp9,Polistes_sp,Polybia_sericea,Polybia_paulista,Aratinga_aurea,Ceratina_morrensis,Ctenioschelus_sp1,Ctenioschelus_sp2,Syrphidae_sp1,Pachodynerus_sp1,Pachodynerus_sp2,Riodinidae_sp,Eupetomena_macroura,Chlorostilbon_lucidus,Hylocharis_chrysura,Phaetornis_eurynome,Delta_sp1,Cephalotes_sp,Chioides_catillus_catillus,Chlorostrymon_simaethis,Campsomeris_sp,Tetrapedia_sp1,Lycaenidae_sp_2,Psaenythia_sp1,Ornidia_obesa,Zethus_sp2,Ancistroceroides_sp1,Exomalopsis_sp1,Leptotes_cassius,Myzinum_sp,Urbanus_simplicius,Coleoptera_sp1,Mischocyttarus_sp,Agraulis_vanillae
Acalypha_communis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeschynomene_histrix,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelonia_hirta,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aniseia_cernua,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Annona_nutans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arecaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baillonia_amabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byrsonima_cydoniifolia,0,37,0,0,0,33,155,35,24,0,0,0,0,0,0,0,0,0,33,9,0,8,73,2,0,14,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabomba_furcata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caperonia_palustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
