Networks,Lat,Long
1_bart_2008_bat1ca,42.315336,3.296797
1_bart_2008_far1ca,42.315336,3.296797
1_bart_2008_fra1op,42.315336,3.296797
1_bart_2008_med1ca,42.315336,3.296797
1_bart_2008_miq1op,42.315336,3.296797
1_bart_2008_sel1op,42.315336,3.296797
10_oles_2002_azor,39.466667,-31.227222
10_oles_2002_mau,-20.348404,57.552152
11_olle_2003,-29.616667,30.133333
12_hoc_1981,81.816667,-71.3
13_memm_1999,51.574994,-2.589902
14_inou_1988,-33.688199,151.133423
15_meda_2002_1,-34.166667,-69.7
15_meda_2002_2,-34.166667,-69.7
16_rami_1989,5.583333,-61.716667
17_kimb_2016,21.552962,-158.195729
18_smal_1976,45.4,-75.5
19_phil2006,-0.949194,-90.977222
2_bena_2014_1,47.64917,13.105
2_bena_2014_2,47.598,12.89722
2_bena_2014_3,47.58194,12.93417
2_bena_2014_4,47.69056,13.03056
2_bena_2014_5,47.67528,13.14139
2_bena_2014_6,47.69694,12.94778
20_lund_2005,71,-52
21_dupo_2009_hl,56.14166667,9.39
21_dupo_2009_ib,56.0725,9.27555556
21_dupo_2009_so,56.10416667,9.10777778
22_bek_2006,56.066667,10.216667
23_yama_2003,33.4,131.5
24_kato_1996,35.65,136.083333
25_kato_1993,35.583333,138.383333
26_kais_2010_con,-20.452076,57.443254
26_kais_2010_res,-20.452076,57.443254
27_kais_2017_ber,-20.452076,57.443254
27_kais_2017_cas,-20.452076,57.443254
27_kais_2017_cop,-20.452076,57.443254
27_kais_2017_res,-20.452076,57.443254
27_kais_2017_ros,-20.452076,57.443254
27_kais_2017_sey,-20.452076,57.443254
27_kais_2017_tea,-20.452076,57.443254
27_kais_2017_tro,-20.452076,57.443254
28_para_2005,48.8083333,-123.6311111
29_prob_ana,-36.9264,174.4589
29_prob_kar,-36.9866,174.4823
29_prob_wha,-37.0402,174.5068
3_pera_2020_1,-32.533333,-68.95
3_pera_2020_2,-32.533333,-68.95
3_pera_2020_3,-32.533333,-68.95
3_pera_2020_4,-32.533333,-68.95
30_robi_2018,78.875223,-75.804512
31_robs_2014,49.7094,-99.0972
32_sant_2010,-12.7,-39.766667
33_song_2015,50.436774,100.385368
34_souz_2018_cerr,-18.280556,-52.048056
34_souz_2018_cha,-21.701111,-57.885
34_souz_2018_pan,-20.544167,-54.398333
34_souz_2018_ver,-19.581178,-57.039667
35_troj_fue_1,28.5643,13.8919
35_troj_fue_2,28.5643,13.8919
35_troj_gom_1,28.0398,17.2267
35_troj_gom_2,28.0398,17.2267
35_troj_gran_1,27.9041,15.4331
35_troj_gran_2,27.9041,15.4331
35_troj_hie_1,27.8047,17.8959
35_troj_hie_2,27.8047,17.8959
35_troj_ten_nor_1,28.3531,16.9123
35_troj_ten_nor_2,28.3531,16.9123
35_troj_ten_sou_1,28.2222,16.4173
35_troj_ten_sou_2,28.2222,16.4173
35_troj_wes_sah_2,26.161,14.4222
35_troj_west_sah_1,26.161,14.4222
36_vazq_lla_2002,-41.011859,-71.498965
36_vazq_mas,-41.011859,-71.498965
36_vazq_que,-41.011859,-71.498965
36_vazq_saf,-41.011859,-71.498965
37_magr_2020_azn,37.234966,-6.16895
37_magr_2020_bon,37.331447,-6.667992
37_magr_2020_con_de_luz,37.291937,-6.752456
37_magr_2020_cot_st_ter,37.247223,-6.428801
37_magr_2020_el_pin,37.291091,-6.222871
37_magr_2020_el_poz,37.249254,-6.660927
37_magr_2020_esp,37.282079,-6.555233
37_magr_2020_la_cun,37.233157,-6.555236
37_magr_2020_la_roc,37.123856,-6.506789
37_magr_2020_las_mul,37.214279,-6.371844
37_magr_2020_nie,37.405047,-6.680852
37_magr_2020_pin_cue,37.194957,-6.761136
37_magr_2020_pin_hin,37.289861,-6.43311
37_magr_2020_urb,37.288346,-6.675026
37_magr_2020_vill_est,37.23919,-6.280883
37_magr_2020_vill_sur,37.21781,-6.304244
4_fang_2016,27.90139,99.63806
5_lara_2016,40.8333,-3.95
6_arro_1985_1,-33.283334,-70.266668
6_arro_1985_2,-33.283334,-70.266668
6_arro_1985_3,-33.283334,-70.266668
7_dicks_2002_hick,52.762395,1.575532
7_dicks_2002_shel,52.413173,1.097873
8_dupo_2003,28.216667,-16.633333
9_elbe_1999,68.35,18.5
