,Amegilla sp.,Anaspis cf. saharensis,Anthaxia sp. 1,Anthophora sp. 1,Aplocnemus sp. 2,Aprostocetus sp. 1,Attagenus sp. 1,Axinotarsus sp. 1,Bombylius sp. 1,Chetogena acuminata,Coleoptera sp. 5,Colletes sp1,Colletes sp2,Eurytoma sp. 3,Hylaeus sp.,Lasioglossum phoenicurum,Lucilia sericata,Macrocoma cf. henoni,Musca domestica,Musca osiris,Musca sorbens,Nomioides deceptor,Nomioides sp.,Paragus tibialis,Physiphora alceae,Plagiolepis schmitzii,Podalonia sp.,Proconura sp. 1,Sarcophaga sp. 1,Sarcophagidae sp.,Sarcophagidae sp. 2,Sarcophagidae sp. 7,Sciaridae sp.,Sciaridae sp. 4,Sphecidae sp.,Tachinidae sp. 1,Tapinoma nigerrimum,Tephritidae sp. 1,Tethinidae sp. 2,Themnothorax productus,Thysanoptera sp.,Troglops sp.,Urelliosoma guimari,Urellliosoma sp.
Argyranthemum sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Asparagus pastorianus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Euphorbia balsamifera,0,1,0,0,0,0,0,2,1,1,1,0,1,2,1,1,8,0,2,2,6,0,0,0,1,11,2,0,0,0,2,7,35,13,0,1,22,0,0,4,12,0,3,0
Fagonia albiflora,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kickxia heterophylla,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Launaea arborescens,0,0,7,0,0,2,1,0,0,0,0,0,0,0,5,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,1,3
Lycium intricatum,3,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
Nauplius sp.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zilla spinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
