"","unique(plant_family$family)"
"81","Rutaceae"
"82","Linaceae"
"83","Araceae"
"84","Myrtaceae"
"85","Arecaceae"
"86","Juncaceae"
"87","Proteaceae"
"88","Portulacaceae"
"89","Stylidiaceae"
"90","Fagaceae"
"91","Anacardiaceae"
"92","Colchicaceae"
"93","Balsaminaceae"
"94","Styracaceae"
"95","Sapindaceae"
"96","Stachyuraceae"
"97","Symplocaceae"
"98","Vitaceae"
"99","Magnoliaceae"
"100","Garryaceae"
"101","Zygophyllaceae"
"102","Phrymaceae"
"103","Polygalaceae"
"104","Burseraceae"
"105","Cannaceae"
"106","Simaroubaceae"
"107","Nyctaginaceae"
"108","Cordiaceae"
"109","Melastomataceae"
"110","Aizoaceae"
"111","Poaceae"
"112","Caricaceae"
"113","Argophyllaceae"
"114","Unresolved"
"115","Eriocaulaceae"
"116","Xyridaceae"
"117","Alismataceae"
"118","Ochnaceae"
"119","Heliconiaceae"
"120","Gesneriaceae"
