"","unique(plant_family$family)"
"121","Marantaceae"
"122","Bonnetiaceae"
"123","Clusiaceae"
"124","Bignoniaceae"
"125","Sarraceniaceae"
"126","Humiriaceae"
"127","Loranthaceae"
"128","Rapateaceae"
"129","Pentaphylacaceae"
"130","Bromeliaceae"
"131","Cyrillaceae"
"132","Cunoniaceae"
"133","Amaranthaceae"
"134","Ehretiaceae"
"135","Combretaceae"
"136","Malpighiaceae"
"137","Petiveriaceae"
"138","Urticaceae"
"139","Loganiaceae"
"140","Meliaceae"
"141","Theaceae"
"142","Elaeocarpaceae"
"143","Phyllanthaceae"
"144","Ebenaceae"
"145","Rhizophoraceae"
"146","Sabiaceae"
"147","Actinidiaceae"
"148","Cannabaceae"
"149","Pittosporaceae"
"150","Staphyleaceae"
"151","Piperaceae"
"152","Musaceae"
"153","Zingiberaceae"
"154","Cyperaceae"
"155","Lecythidaceae"
"156","Lardizabalaceae"
"157","Chenopodiaceae"
"158","Pandanaceae"
"159","Stemonaceae"
"160","Pinaceae"
