"","db","query","family","order","Pollinator"
"1040","ncbi","1706",NA,NA,"Plagiomyia"
"1041","ncbi","1771",NA,NA,"Proscission"
"1044","ncbi","1854",NA,NA,"Pyronola"
"1045","ncbi","1918",NA,NA,"Sawpogon"
"1046","ncbi","1952",NA,NA,"Selenopalpus"
"1047","ncbi","1966",NA,NA,"Sestra"
"1048","ncbi","616",NA,NA,"Dasyuris"
"1049","ncbi","184",NA,NA,"Asaphodes"
"1051","ncbi","904",NA,NA,"Gelophaula"
"1052","ncbi","1637",NA,NA,"Peristoreus"
"1053","ncbi","2228",NA,NA,"Xenorhynchia"
"1054","ncbi","220",NA,NA,"Augochlorensis"
"1055","ncbi","223",NA,NA,"Auhochloropsis"
"1061","ncbi","204",NA,NA,"Athidium"
"1067","ncbi","1528",NA,NA,"Oxyssarcodexia"
"1071","ncbi","802",NA,NA,"Euhibus"
"1074","ncbi","865",NA,NA,"Extemnius"
"1076","ncbi","1476",NA,NA,"Omicrom"
"1077","ncbi","1532",NA,NA,"Pachodunerus"
"1080","ncbi","1642",NA,NA,"Phaenica"
"1082","ncbi","1911",NA,NA,"Sarcophagula"
"1084","ncbi","1738",NA,NA,"Politmus"
"1085","ncbi","394",NA,NA,"Cerciris"
"1086","ncbi","311",NA,NA,"Calicopis"
"1089","ncbi","1797",NA,NA,"Psedagochloropsis"
"1092","ncbi","585",NA,NA,"Cylindromia"
"1093","ncbi","1352",NA,NA,"Montezumia"
"1094","ncbi","1628",NA,NA,"Pereirapsis"
"1095","ncbi","1859",NA,NA,"Pyrrhogige"
"1097","ncbi","2026",NA,NA,"Sticia"
"1098","ncbi","2073",NA,NA,"Tachites"
"1102","ncbi","778",NA,NA,"Erylaeus"
"1103","ncbi","1303",NA,NA,"Mesograpta"
"1104","ncbi","1852",NA,NA,"Pyrobombus"
"1105","ncbi","1961",NA,NA,"Sercomyia"
"1106","ncbi","1227",NA,NA,"Macrodactlyus"
"1107","ncbi","1968",NA,NA,"Shaerophoria"
"1112","ncbi","1064",NA,NA,"Hyponotum"
"1113","ncbi","2030",NA,NA,"Stilbosona"
"1118","ncbi","313",NA,NA,"Callideriphus"
"1120","ncbi","608",NA,NA,"Dasydema"
"1121","ncbi","687",NA,NA,"Dysmorphocellus"
"1122","ncbi","1254",NA,NA,"Mecopselaphus"
"1124","ncbi","1714",NA,NA,"Platynocera"
"1126","ncbi","437",NA,NA,"Chenoderus"
"1127","ncbi","446",NA,NA,"Chlamysus"
"1128","ncbi","486",NA,NA,"Clamirius"
"1131","ncbi","835",NA,NA,"Eurymetopun"
"1132","ncbi","1050",NA,NA,"Hylodanacea"
"1134","ncbi","1231",NA,NA,"Macrometopia"
"1136","ncbi","1360",NA,NA,"Morphodexia"
"1138","ncbi","1786",NA,NA,"Protosialis"
"1139","ncbi","1935",NA,NA,"Schizochelus"
"1141","ncbi","646",NA,NA,"Dielis"
"1147","ncbi","100",NA,NA,"Anartia"
"1154","ncbi","1362",NA,NA,"Moth"
"1155","ncbi","163",NA,NA,"Apocrita"
"1156","ncbi","681",NA,NA,"Dryas"
"1164","ncbi","1578",NA,NA,"Paraphrissopoda"
"1167","ncbi","654",NA,NA,"Dione"
"1169","ncbi","1568",NA,NA,"Paragymnetis"
"1173","ncbi","1099",NA,NA,"Janonia"
"1174","ncbi","68",NA,NA,"Allosmaitia"
"1181","ncbi","352",NA,NA,"Carpelius"
"1182","ncbi","1417",NA,NA,"Nesiope"
"1184","ncbi","1978",NA,NA,"Siphunculina"
"1196","ncbi","933",NA,NA,"Graphium"
"1198","ncbi","2199",NA,NA,"Vekunta"
"1201","ncbi","1575",NA,NA,"Paraoxyna"
"1202","ncbi","118",NA,NA,"Anomalempis"
"1206","ncbi","1300",NA,NA,"Mesepora"
"1208","ncbi","249",NA,NA,"Bertsa"
"1210","ncbi","348",NA,NA,"Carinosolia"
"1216","ncbi","438",NA,NA,"Chiagasinus"
"1219","ncbi","591",NA,NA,"Cyphicerus"
"1220","ncbi","839",NA,NA,"Euscartopsis"
"1221","ncbi","962",NA,NA,"Haptoncurina"
"1222","ncbi","963",NA,NA,"Haptoncus"
"1224","ncbi","1483",NA,NA,"Onychostylus"
"1228","ncbi","423",NA,NA,"Charitovalgus"
"1231","ncbi","1226",NA,NA,"Macrocorynus"
"1244","ncbi","1258",NA,NA,"Mediza"
"1245","ncbi","1390",NA,NA,"Nanohyes"
"1248","ncbi","1447",NA,NA,"Ochetelus"
"1250","ncbi","2014",NA,NA,"Stenodryas"
"1251","ncbi","115",NA,NA,"Anisostira"
"1252","ncbi","157",NA,NA,"Aphothona"
"1253","ncbi","209",NA,NA,"Atlobaccha"
"1259","ncbi","401",NA,NA,"Cersium"
"1260","ncbi","426",NA,NA,"Chaticodoma"
"1263","ncbi","864",NA,NA,"Exptochiomera"
"1264","ncbi","883",NA,NA,"Formosopyrrhona"
"1269","ncbi","1180",NA,NA,"Liorhyssum"
"1270","ncbi","1239",NA,NA,"Malthinellus"
"1271","ncbi","1425",NA,NA,"Nodina"
"1272","ncbi","1465",NA,NA,"Okinawepipona"
"1273","ncbi","1619",NA,NA,"Penthelater"
"1274","ncbi","1751",NA,NA,"Popilitia"
"1275","ncbi","1805",NA,NA,"Pseudiphra"
"1276","ncbi","2131",NA,NA,"Tinginotum"
"1277","ncbi","2136",NA,NA,"Tolidopalpus"
"1282","ncbi","36",NA,NA,"Agemilla"
"1286","ncbi","124",NA,NA,"Anornalempis"
"1287","ncbi","133",NA,NA,"Antherhynchium"
"1295","ncbi","360",NA,NA,"Catopsitia"
"1297","ncbi","399",NA,NA,"Cerogia"
"1298","ncbi","425",NA,NA,"Chatanys"
"1302","ncbi","464",NA,NA,"Chrisaeglia"
"1305","ncbi","624",NA,NA,"Demotina"
"1307","ncbi","686",NA,NA,"Dysderus"
"1308","ncbi","706",NA,NA,"Elaphromyia"
"1313","ncbi","735",NA,NA,"Eocanthecoma"
"1314","ncbi","738",NA,NA,"Epania"
"1318","ncbi","811",NA,NA,"Eumicromus"
"1319","ncbi","822",NA,NA,"Eupoasca"
"1324","ncbi","957",NA,NA,"Halticiellus"
"1326","ncbi","1041",NA,NA,"Hydropsychoides"
"1327","ncbi","1058",NA,NA,"Hyperalonia"
"1328","ncbi","1090",NA,NA,"Ischirosyrphus"
"1329","ncbi","1106",NA,NA,"Kandyosilis"
"1331","ncbi","1134",NA,NA,"Lebidia"
"1336","ncbi","1292",NA,NA,"Menochitus"
"1341","ncbi","1424",NA,NA,"Nodena"
"1342","ncbi","1464",NA,NA,"Oiphinus"
"1346","ncbi","1576",NA,NA,"Parapantitius"
"1350","ncbi","1661",NA,NA,"Philophyla"
"1351","ncbi","1665",NA,NA,"Pholo"
"1352","ncbi","1795",NA,NA,"Psamoecus"
"1353","ncbi","1814",NA,NA,"Pseudoloterus"
"1355","ncbi","1837",NA,NA,"Ptectoderoides"
"1359","ncbi","1930",NA,NA,"Scedella"
"1363","ncbi","1984",NA,NA,"Smoragdina"
"1364","ncbi","2012",NA,NA,"Stenocallinerus"
"1367","ncbi","2028",NA,NA,"Stictomyia"
"1368","ncbi","2035",NA,NA,"Stragamia"
"1369","ncbi","2077",NA,NA,"Tachytessp"
"1371","ncbi","2102",NA,NA,"Tetramonium"
"1373","ncbi","2137",NA,NA,"Tolidostena"
"1376","ncbi","2236",NA,NA,"Xyiocopa"
"1378","ncbi","2056",NA,NA,"Sympsitis"
"1380","ncbi","108",NA,NA,"Andreana"
"1382","ncbi","1892",NA,NA,"Rhynconycha"
"1400","ncbi","776",NA,NA,"Ernestia"
"1409","ncbi","1512",NA,NA,"Orthonerva"
"1411","ncbi","1755",NA,NA,"Potosia"
"1414","ncbi","1275",NA,NA,"Melanotoma"
"1415","ncbi","154",NA,NA,"Aphanthopus"
"1420","ncbi","752",NA,NA,"Epirrhoetristata"
"1427","ncbi","359",NA,NA,"Cateretes"
"1428","ncbi","1014",NA,NA,"Holoclera"
"1433","ncbi","9",NA,NA,"Aclonempis"
"1434","ncbi","62",NA,NA,"Alloestylus"
"1436","ncbi","552",NA,NA,"Craspedochoeata"
"1438","ncbi","2021",NA,NA,"Stenotus"
"1440","ncbi","457",NA,NA,"Chloropis"
"1443","ncbi","897",NA,NA,"Gastroidea"
"1444","ncbi","931",NA,NA,"Grammoptra"
"1449","ncbi","1001",NA,NA,"Heteronychia"
"1454","ncbi","1052",NA,NA,"Hylotoma"
"1455","ncbi","1093",NA,NA,"Ischyrosyrphys"
"1456","ncbi","1115",NA,NA,"Laria"
"1459","ncbi","1359",NA,NA,"Morellis"
"1461","ncbi","1505",NA,NA,"Orthelia"
"1465","ncbi","1712",NA,NA,"Platycherius"
"1466","ncbi","1733",NA,NA,"Poletes"
"1471","ncbi","2038",NA,NA,"Stratiomya"
"1472","ncbi","2213",NA,NA,"Wahlgrenia"
"1474","ncbi","1735",NA,NA,"Policana"
"1476","ncbi","1002",NA,NA,"Heterosarus"
"1477","ncbi","821",NA,NA,"Eupithesia"
"1481","ncbi","1461",NA,NA,"Oedemagena"
"1486","ncbi","2266",NA,NA,"Zypangia"
"1493","ncbi","1336",NA,NA,"Mikadocantharis"
"1503","ncbi","233",NA,NA,"Balataea"
"1508","ncbi","645",NA,NA,"Dideaides"
"1513","ncbi","891",NA,NA,"Gambrinus"
"1518","ncbi","1177",NA,NA,"Linnaenya"
