"","intera",".value",".lower",".upper",".width",".point",".interval","group1","group2","id"
"1","Bee.B - Bee.A",-0.202546426511424,-0.760400376698341,0.334652486772911,0.95,"mode","hdi","Bee.B","Bee.A","n.s."
"2","Bee.C - Bee.A",-0.158137414967306,-0.549232524345345,0.163788460499609,0.95,"mode","hdi","Bee.C","Bee.A","n.s."
"3","Bee.D - Bee.A",0.176804971293459,-0.269864134997245,0.630314932739598,0.95,"mode","hdi","Bee.D","Bee.A","n.s."
"4","Bee.E - Bee.A",-0.548898543236495,-1.04567678681413,-0.0327416690132988,0.95,"mode","hdi","Bee.E","Bee.A","sig***"
"5","Coleoptera.A - Bee.A",-0.39782708780233,-0.494442974194618,-0.30435810337572,0.95,"mode","hdi","Coleoptera.A","Bee.A","sig***"
"6","Coleoptera.B - Bee.A",-0.219776557939127,-0.801626242570815,0.301028262669071,0.95,"mode","hdi","Coleoptera.B","Bee.A","n.s."
"7","Coleoptera.C - Bee.A",-0.20503867198768,-0.573867052073883,0.130477653196706,0.95,"mode","hdi","Coleoptera.C","Bee.A","n.s."
"8","Coleoptera.D - Bee.A",0.0483581916637158,-0.438423967893319,0.486591777547268,0.95,"mode","hdi","Coleoptera.D","Bee.A","n.s."
"9","Coleoptera.E - Bee.A",-0.602640526348907,-1.20411599341069,0.0469081463012525,0.95,"mode","hdi","Coleoptera.E","Bee.A","n.s."
"10","Diptera.A - Bee.A",-0.247566903310505,-0.312514122670706,-0.167101028957904,0.95,"mode","hdi","Diptera.A","Bee.A","sig***"
"11","Diptera.B - Bee.A",-0.242554491475616,-0.811577174986882,0.278598822566293,0.95,"mode","hdi","Diptera.B","Bee.A","n.s."
"12","Diptera.C - Bee.A",-0.231289017010242,-0.61541979195733,0.094771327726737,0.95,"mode","hdi","Diptera.C","Bee.A","n.s."
"13","Diptera.D - Bee.A",0.0950285687532049,-0.346522850621848,0.55361600337144,0.95,"mode","hdi","Diptera.D","Bee.A","n.s."
"14","Diptera.E - Bee.A",-0.301260076757854,-0.736727982034491,0.248752010353583,0.95,"mode","hdi","Diptera.E","Bee.A","n.s."
"15","Hymenoptera.A - Bee.A",-0.273721714958114,-0.35523186012398,-0.180914237487895,0.95,"mode","hdi","Hymenoptera.A","Bee.A","sig***"
"16","Hymenoptera.B - Bee.A",-0.162108217182648,-0.740268676376356,0.350155297793275,0.95,"mode","hdi","Hymenoptera.B","Bee.A","n.s."
"17","Hymenoptera.C - Bee.A",-0.273807985320306,-0.652699178533271,0.0662183848235932,0.95,"mode","hdi","Hymenoptera.C","Bee.A","n.s."
"18","Hymenoptera.D - Bee.A",-0.107055585638885,-0.565207250168442,0.371374455871345,0.95,"mode","hdi","Hymenoptera.D","Bee.A","n.s."
"19","Hymenoptera.E - Bee.A",-0.462517767390849,-0.985686039073609,0.0350187038080065,0.95,"mode","hdi","Hymenoptera.E","Bee.A","n.s."
"20","Lepidoptera.A - Bee.A",-0.38425030933729,-0.473226498491174,-0.291638446936593,0.95,"mode","hdi","Lepidoptera.A","Bee.A","sig***"
"21","Lepidoptera.B - Bee.A",-0.139293368777627,-0.728552429221556,0.385689334033184,0.95,"mode","hdi","Lepidoptera.B","Bee.A","n.s."
"22","Lepidoptera.C - Bee.A",-0.253811774437478,-0.611849472673587,0.10287196588868,0.95,"mode","hdi","Lepidoptera.C","Bee.A","n.s."
"23","Lepidoptera.D - Bee.A",-0.0616881715932435,-0.510469976920748,0.405471099841123,0.95,"mode","hdi","Lepidoptera.D","Bee.A","n.s."
"24","Lepidoptera.E - Bee.A",-0.366870337946947,-0.869370691003468,0.135226468612602,0.95,"mode","hdi","Lepidoptera.E","Bee.A","n.s."
"25","Syrphidae.A - Bee.A",-0.339013273652533,-0.427651512041671,-0.250241423629816,0.95,"mode","hdi","Syrphidae.A","Bee.A","sig***"
"26","Syrphidae.B - Bee.A",-0.118519631517931,-0.598057587952175,0.518315172519763,0.95,"mode","hdi","Syrphidae.B","Bee.A","n.s."
"27","Syrphidae.C - Bee.A",-0.088691390259379,-0.460760124085583,0.251557247296669,0.95,"mode","hdi","Syrphidae.C","Bee.A","n.s."
"28","Syrphidae.D - Bee.A",0.212745481491035,-0.272119506024938,0.629764473679204,0.95,"mode","hdi","Syrphidae.D","Bee.A","n.s."
"29","Syrphidae.E - Bee.A",0.105122733841806,-0.389589407775829,0.675809194437338,0.95,"mode","hdi","Syrphidae.E","Bee.A","n.s."
"30","Bee.C - Bee.B",0.0300749089175105,-0.43345622582483,0.529648427111699,0.95,"mode","hdi","Bee.C","Bee.B","n.s."
"31","Bee.D - Bee.B",0.375356500445526,-0.172110423759524,0.937428563975173,0.95,"mode","hdi","Bee.D","Bee.B","n.s."
"32","Bee.E - Bee.B",-0.264088143548157,-0.860355832249983,0.268537543935121,0.95,"mode","hdi","Bee.E","Bee.B","n.s."
"33","Coleoptera.A - Bee.B",-0.177337036725261,-0.72708126226171,0.377543936696442,0.95,"mode","hdi","Coleoptera.A","Bee.B","n.s."
"34","Coleoptera.B - Bee.B",-0.0169682549212192,-0.155498384111089,0.102069162475026,0.95,"mode","hdi","Coleoptera.B","Bee.B","n.s."
