"","db","query","family"
"11888","ncbi","Pectis",NA
"12183","ncbi","Kandetia",NA
"12225","ncbi","Maackia",NA
"12299","ncbi","VVedelia",NA
"12616","ncbi","Metothria",NA
"13640","ncbi","Scorzonea",NA
"15343","ncbi","Noechamaelea",NA
"15650","ncbi","Benthamidia",NA
"15924","ncbi","Lindera",NA
"16262","ncbi","Besella",NA
"16386","ncbi","Liriope",NA
"17020","ncbi","Mosta",NA
"17071","ncbi","Limophila",NA
"17146","ncbi","Alium",NA
"18483","ncbi","Osterium",NA
"20292","ncbi","Equium",NA
"20623","ncbi","Agauria",NA
"20777","ncbi","Phyllanthus",NA
"22623","ncbi","Ilysanthes",NA
"22686","ncbi","Dianthera",NA
"22722","ncbi","Ludvigia",NA
"22762","ncbi","Specularia",NA
"22885","ncbi","Actinomeris",NA
"23028","ncbi","Psedera",NA
"23292","ncbi","Anemonella",NA
"23631","ncbi","Asiminia",NA
"37871","ncbi","Fridericia",NA
"38009","ncbi","Centropogon",NA
"38134","ncbi","Payparola",NA
"38174","ncbi","Symphonia",NA
