"","intera",".value",".lower",".upper",".width",".point",".interval","group1","group2","id"
"99","Hymenoptera.D - Bee.D",-0.00755022366991841,-0.0187795514828138,0.00320719517145122,0.95,"mode","hdi","Hymenoptera.D","Bee.D","n.s."
"100","Hymenoptera.E - Bee.D",-0.00922246288073331,-0.0289235621090664,0.0107173686559074,0.95,"mode","hdi","Hymenoptera.E","Bee.D","n.s."
"101","Lepidoptera.A - Bee.D",-0.0145330028877199,-0.032778943781412,0.00314724965674952,0.95,"mode","hdi","Lepidoptera.A","Bee.D","n.s."
"102","Lepidoptera.B - Bee.D",0.00101239897165618,-0.0177840988991891,0.0241018206203784,0.95,"mode","hdi","Lepidoptera.B","Bee.D","n.s."
"103","Lepidoptera.C - Bee.D",-0.00765848896165817,-0.0206330283640685,0.00544584792641022,0.95,"mode","hdi","Lepidoptera.C","Bee.D","n.s."
"104","Lepidoptera.D - Bee.D",-0.00804854288228669,-0.01490433625796,-0.000216766507457236,0.95,"mode","hdi","Lepidoptera.D","Bee.D","sig***"
"105","Lepidoptera.E - Bee.D",-0.00816635716146399,-0.0250974550255764,0.0124283248674362,0.95,"mode","hdi","Lepidoptera.E","Bee.D","n.s."
"106","Syrphidae.A - Bee.D",-0.0172099936158209,-0.0356738286607461,0.000627784364901088,0.95,"mode","hdi","Syrphidae.A","Bee.D","n.s."
"107","Syrphidae.B - Bee.D",0.00274124296874526,-0.0172071511645025,0.026117417026545,0.95,"mode","hdi","Syrphidae.B","Bee.D","n.s."
"108","Syrphidae.C - Bee.D",-0.000913748392891146,-0.0144762046364958,0.0114444886033055,0.95,"mode","hdi","Syrphidae.C","Bee.D","n.s."
"109","Syrphidae.D - Bee.D",-0.00243003576852602,-0.00924299458576057,0.00305434235200168,0.95,"mode","hdi","Syrphidae.D","Bee.D","n.s."
"110","Syrphidae.E - Bee.D",0.024729042943453,0.00230668038680362,0.0444722031099205,0.95,"mode","hdi","Syrphidae.E","Bee.D","sig***"
"111","Coleoptera.A - Bee.E",-0.00868123481618719,-0.0311475154318504,0.00810857322931367,0.95,"mode","hdi","Coleoptera.A","Bee.E","n.s."
"112","Coleoptera.B - Bee.E",-5.55166848188876e-05,-0.021047469800832,0.0218463367683094,0.95,"mode","hdi","Coleoptera.B","Bee.E","n.s."
"113","Coleoptera.C - Bee.E",-0.00838370772630159,-0.0246331238543574,0.00747182402952267,0.95,"mode","hdi","Coleoptera.C","Bee.E","n.s."
"114","Coleoptera.D - Bee.E",-0.0122869131965974,-0.0306258823710487,0.0103401285861777,0.95,"mode","hdi","Coleoptera.D","Bee.E","n.s."
"115","Coleoptera.E - Bee.E",-0.0111233149776112,-0.0434961874995542,0.0216323117519318,0.95,"mode","hdi","Coleoptera.E","Bee.E","n.s."
"116","Diptera.A - Bee.E",-0.014231723405396,-0.0354286322430193,0.00266203055451988,0.95,"mode","hdi","Diptera.A","Bee.E","n.s."
"117","Diptera.B - Bee.E",-0.00460739490915515,-0.0261638682285992,0.0155331585764668,0.95,"mode","hdi","Diptera.B","Bee.E","n.s."
"118","Diptera.C - Bee.E",-0.0102711171686525,-0.0270948434555255,0.00500156200086739,0.95,"mode","hdi","Diptera.C","Bee.E","n.s."
"119","Diptera.D - Bee.E",-0.00742148947277411,-0.0292250166722873,0.00874426851584294,0.95,"mode","hdi","Diptera.D","Bee.E","n.s."
"120","Diptera.E - Bee.E",-0.00749782729020449,-0.0174738198452237,0.00321480174965208,0.95,"mode","hdi","Diptera.E","Bee.E","n.s."
"121","Hymenoptera.A - Bee.E",-0.00254206638520041,-0.0220357488884124,0.0162806819795279,0.95,"mode","hdi","Hymenoptera.A","Bee.E","n.s."
"122","Hymenoptera.B - Bee.E",0.0178327433603603,-0.0039316616302341,0.0379160028038228,0.95,"mode","hdi","Hymenoptera.B","Bee.E","n.s."
"123","Hymenoptera.C - Bee.E",-0.0109579013873337,-0.0251050962440671,0.00671038147464729,0.95,"mode","hdi","Hymenoptera.C","Bee.E","n.s."
"124","Hymenoptera.D - Bee.E",-0.0125036053625151,-0.0330212611561737,0.0090237125174427,0.95,"mode","hdi","Hymenoptera.D","Bee.E","n.s."
"125","Hymenoptera.E - Bee.E",-0.0126015450093142,-0.0258472261111327,0.000850591017815663,0.95,"mode","hdi","Hymenoptera.E","Bee.E","n.s."
"126","Lepidoptera.A - Bee.E",-0.0178244310117398,-0.0391422154419118,-2.43888032024075e-06,0.95,"mode","hdi","Lepidoptera.A","Bee.E","sig***"
"127","Lepidoptera.B - Bee.E",-0.00282655847872994,-0.023440049786853,0.0202052717211219,0.95,"mode","hdi","Lepidoptera.B","Bee.E","n.s."
"128","Lepidoptera.C - Bee.E",-0.0136756582523481,-0.0279531571372789,0.00429829488833211,0.95,"mode","hdi","Lepidoptera.C","Bee.E","n.s."
"129","Lepidoptera.D - Bee.E",-0.0118714797254132,-0.0320343154653255,0.00614077454089575,0.95,"mode","hdi","Lepidoptera.D","Bee.E","n.s."
"130","Lepidoptera.E - Bee.E",-0.00978086373730857,-0.0215362474550205,0.00133669612322478,0.95,"mode","hdi","Lepidoptera.E","Bee.E","n.s."
"131","Syrphidae.A - Bee.E",-0.02248948537683,-0.0405648364949875,-0.00223199847460753,0.95,"mode","hdi","Syrphidae.A","Bee.E","sig***"
"132","Syrphidae.B - Bee.E",0.00197721720087059,-0.0210426341356309,0.0244323704031815,0.95,"mode","hdi","Syrphidae.B","Bee.E","n.s."
"133","Syrphidae.C - Bee.E",-0.0060963850779422,-0.0223640780300682,0.0099128580432534,0.95,"mode","hdi","Syrphidae.C","Bee.E","n.s."
"134","Syrphidae.D - Bee.E",-0.00545480475763967,-0.0262665322755975,0.0111208389522985,0.95,"mode","hdi","Syrphidae.D","Bee.E","n.s."
"135","Syrphidae.E - Bee.E",0.0210929914485631,0.0028147553543223,0.0342861608280001,0.95,"mode","hdi","Syrphidae.E","Bee.E","sig***"
"136","Coleoptera.B - Coleoptera.A",0.0113030639442382,-0.0119666297828931,0.0312950773376855,0.95,"mode","hdi","Coleoptera.B","Coleoptera.A","n.s."
"137","Coleoptera.C - Coleoptera.A",0.00303011532751353,-0.0129840601267634,0.0162858467054833,0.95,"mode","hdi","Coleoptera.C","Coleoptera.A","n.s."
"138","Coleoptera.D - Coleoptera.A",-0.00056060637917895,-0.0209961398263559,0.0194863644212312,0.95,"mode","hdi","Coleoptera.D","Coleoptera.A","n.s."
"139","Coleoptera.E - Coleoptera.A",-0.003600949162797,-0.0361976630214346,0.0349576082920636,0.95,"mode","hdi","Coleoptera.E","Coleoptera.A","n.s."
"140","Diptera.A - Coleoptera.A",-0.00530694204705274,-0.0114002162870454,0.00148940937082766,0.95,"mode","hdi","Diptera.A","Coleoptera.A","n.s."
"141","Diptera.B - Coleoptera.A",0.00343841588026631,-0.0143350006636307,0.0274585052268638,0.95,"mode","hdi","Diptera.B","Coleoptera.A","n.s."
"142","Diptera.C - Coleoptera.A",-6.65719511793797e-05,-0.0145474744577877,0.0150336845714918,0.95,"mode","hdi","Diptera.C","Coleoptera.A","n.s."
"143","Diptera.D - Coleoptera.A",0.0010045795363993,-0.0164589818182212,0.0205677638210537,0.95,"mode","hdi","Diptera.D","Coleoptera.A","n.s."
"144","Diptera.E - Coleoptera.A",0.00205104872517609,-0.0140429080475212,0.0226893723678385,0.95,"mode","hdi","Diptera.E","Coleoptera.A","n.s."
"145","Hymenoptera.A - Coleoptera.A",0.00835393133455029,0.000199857284207239,0.0150623797851273,0.95,"mode","hdi","Hymenoptera.A","Coleoptera.A","sig***"
"146","Hymenoptera.B - Coleoptera.A",0.0282105271813998,0.00605885258374597,0.0484495519693173,0.95,"mode","hdi","Hymenoptera.B","Coleoptera.A","sig***"
"147","Hymenoptera.C - Coleoptera.A",0.00163951293238641,-0.01440205392883,0.0148963485425802,0.95,"mode","hdi","Hymenoptera.C","Coleoptera.A","n.s."
"148","Hymenoptera.D - Coleoptera.A",-1.65531892533932e-05,-0.0218115226160219,0.0194873643077466,0.95,"mode","hdi","Hymenoptera.D","Coleoptera.A","n.s."
"149","Hymenoptera.E - Coleoptera.A",-0.00401654978551178,-0.0225501566604753,0.0181356152278286,0.95,"mode","hdi","Hymenoptera.E","Coleoptera.A","n.s."
"150","Lepidoptera.A - Coleoptera.A",-0.00807934811912623,-0.0156817206184729,-0.000557601918004164,0.95,"mode","hdi","Lepidoptera.A","Coleoptera.A","sig***"
"151","Lepidoptera.B - Coleoptera.A",0.0103616473143309,-0.0126213401460294,0.0307989668108733,0.95,"mode","hdi","Lepidoptera.B","Coleoptera.A","n.s."
"152","Lepidoptera.C - Coleoptera.A",-0.000503340812400818,-0.0161357525122256,0.013790958101523,0.95,"mode","hdi","Lepidoptera.C","Coleoptera.A","n.s."
"153","Lepidoptera.D - Coleoptera.A",-0.00328182778922226,-0.0203794460524733,0.0177388388896857,0.95,"mode","hdi","Lepidoptera.D","Coleoptera.A","n.s."
"154","Lepidoptera.E - Coleoptera.A",-0.00212360997963398,-0.0204778125571948,0.0188048583994888,0.95,"mode","hdi","Lepidoptera.E","Coleoptera.A","n.s."
"155","Syrphidae.A - Coleoptera.A",-0.0111384549002611,-0.0195261764928656,-0.00470805531080533,0.95,"mode","hdi","Syrphidae.A","Coleoptera.A","sig***"
"156","Syrphidae.B - Coleoptera.A",0.0102185352838918,-0.0109234780762029,0.0339858325060639,0.95,"mode","hdi","Syrphidae.B","Coleoptera.A","n.s."
"157","Syrphidae.C - Coleoptera.A",0.00548290474213052,-0.010195871132521,0.018910694588889,0.95,"mode","hdi","Syrphidae.C","Coleoptera.A","n.s."
"158","Syrphidae.D - Coleoptera.A",0.00432985421966081,-0.0154105234745478,0.0213510363006658,0.95,"mode","hdi","Syrphidae.D","Coleoptera.A","n.s."
"159","Syrphidae.E - Coleoptera.A",0.0296434831727691,0.00724281137521798,0.0512646006110815,0.95,"mode","hdi","Syrphidae.E","Coleoptera.A","sig***"
"160","Coleoptera.C - Coleoptera.B",-0.0100543774051789,-0.0264932756473597,0.0093990746290342,0.95,"mode","hdi","Coleoptera.C","Coleoptera.B","n.s."
"161","Coleoptera.D - Coleoptera.B",-0.0097677136160111,-0.0324758934020465,0.011244245632717,0.95,"mode","hdi","Coleoptera.D","Coleoptera.B","n.s."
"162","Coleoptera.E - Coleoptera.B",-0.0118547624724917,-0.0467433527247374,0.0260134392204331,0.95,"mode","hdi","Coleoptera.E","Coleoptera.B","n.s."
"163","Diptera.A - Coleoptera.B",-0.0152857996323243,-0.0352714161728105,0.0070108891311136,0.95,"mode","hdi","Diptera.A","Coleoptera.B","n.s."
"164","Diptera.B - Coleoptera.B",-0.00433494744105338,-0.0132266948101302,0.00319727993217765,0.95,"mode","hdi","Diptera.B","Coleoptera.B","n.s."
"165","Diptera.C - Coleoptera.B",-0.0108294904680066,-0.0283259459371441,0.00765324685836825,0.95,"mode","hdi","Diptera.C","Coleoptera.B","n.s."
"166","Diptera.D - Coleoptera.B",-0.0121344695281801,-0.0313054569497264,0.010296154602663,0.95,"mode","hdi","Diptera.D","Coleoptera.B","n.s."
"167","Diptera.E - Coleoptera.B",-0.00832196169052833,-0.0276145964352198,0.0129475485860309,0.95,"mode","hdi","Diptera.E","Coleoptera.B","n.s."
"168","Hymenoptera.A - Coleoptera.B",-0.00515427605427433,-0.02366777188175,0.0187271476930678,0.95,"mode","hdi","Hymenoptera.A","Coleoptera.B","n.s."
"169","Hymenoptera.B - Coleoptera.B",0.018008316891089,0.00778873537788642,0.0257623734916947,0.95,"mode","hdi","Hymenoptera.B","Coleoptera.B","sig***"
"170","Hymenoptera.C - Coleoptera.B",-0.00937437858910904,-0.0275702964874376,0.00835472484350588,0.95,"mode","hdi","Hymenoptera.C","Coleoptera.B","n.s."
"171","Hymenoptera.D - Coleoptera.B",-0.0125761506880604,-0.0347459078436996,0.0110054853524513,0.95,"mode","hdi","Hymenoptera.D","Coleoptera.B","n.s."
"172","Hymenoptera.E - Coleoptera.B",-0.0115279220153357,-0.0333970290829133,0.0118394330334599,0.95,"mode","hdi","Hymenoptera.E","Coleoptera.B","n.s."
"173","Lepidoptera.A - Coleoptera.B",-0.0171916498778817,-0.0396486663243706,0.0029916331029315,0.95,"mode","hdi","Lepidoptera.A","Coleoptera.B","n.s."
"174","Lepidoptera.B - Coleoptera.B",-0.00133276558144294,-0.0117866792116454,0.00911610252219477,0.95,"mode","hdi","Lepidoptera.B","Coleoptera.B","n.s."
