"","db","query","family"
"12155","ncbi","Mallotus",NA
"12193","ncbi","Wendtandia",NA
"12227","ncbi","Musaenda",NA
"12335","ncbi","Machitus",NA
"12830","ncbi","Ormocaipum",NA
"14087","ncbi","Galeopsis",NA
"15344","ncbi","Periploca",NA
"15659","ncbi","Saussurea",NA
"15973","ncbi","Cephalantera",NA
"16264","ncbi","Kerria",NA
"17015","ncbi","Chelidonium",NA
"17021","ncbi","Sagittaria",NA
"17079","ncbi","Ptantago",NA
"17708","ncbi","Menziesia",NA
"18531","ncbi","Aralta",NA
"20329","ncbi","Vicea",NA
"20627","ncbi","Bakerella",NA
"20844","ncbi","Tristhema",NA
"22635","ncbi","Amorpha",NA
"22704","ncbi","Brauneria",NA
"22735","ncbi","Radicula",NA
"22785","ncbi","Collinsia",NA
"22921","ncbi","Evonymus",NA
"23063","ncbi","Actea",NA
"23304","ncbi","Ascerates",NA
"23982","ncbi","Osmorrhiza",NA
"37909","ncbi","Pitcaimia",NA
"38010","ncbi","Desfontainea",NA
"38135","ncbi","Pslicourea",NA
"38175","ncbi","Tabernamontana",NA
