Insect,Order_family,Plant,PFamily,value,Network
Episyrphus balteatus DeGeer,Diptera Syrphidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Sphaerophoria scripta L.,Diptera Syrphidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Syrphus ribesii L.,Diptera Syrphidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Andrena sp3,Hymenoptera Andrenidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Ceratina cyanea Kirby,Hymenoptera Apidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Lasioglossum morio Fabricius,Hymenoptera Halictidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Lasioglossum smeathmanellum Kirby,Hymenoptera Halictidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Lasioglossum villosulum Kirby,Hymenoptera Halictidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Hoplitis spinulosa Kirby,Hymenoptera Megachilidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Polyommatus icarus Rottemburg,Lepidoptera Lycaenidae,Pilosella officinarum F.W. Schultz & Sch. Bip,Asteraceae,1,carvalheiro_2008
Phyllobius roboretanus Gredler _,Coleoptera Curculionidae,Potentilla sterilis (L.) Garcke,Rosaceae,1,carvalheiro_2008
Meligethes obscurus Erichson,Coleoptera Nitidulidae,Potentilla sterilis (L.) Garcke,Rosaceae,1,carvalheiro_2008
Myrmica ruginoides L.,Hymenoptera Formicidae,Potentilla sterilis (L.) Garcke,Rosaceae,1,carvalheiro_2008
Trachysiphonella sp2,Diptera Chloropidae,Rosa canina L.,Rosaceae,1,carvalheiro_2008
Meligethes aeneus Fabricius,Coleoptera Nitidulidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Anaspis frontalis L.,Coleoptera Scraptiidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Platypalpus nigritarsis Fall‚n cf. ,Diptera Hybotidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Meliscaeva auricollis Meigen,Diptera Syrphidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Bombus hortorum L.,Hymenoptera Apidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Bombus pratorum L.,Hymenoptera Apidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Lasioglossum morio Fabricius,Hymenoptera Halictidae,Rosa arvensis Huds.,Rosaceae,1,carvalheiro_2008
Meligethes flavimanus Stephens,Coleoptera Nitidulidae,Rosa canina L.,Rosaceae,1,carvalheiro_2008
Anaspis pulicaria Costa,Coleoptera Scraptiidae,Rosa canina L.,Rosaceae,1,carvalheiro_2008
Metasyrphus cf. latilunulatus Collin,Diptera Syrphidae,Rosa canina L.,Rosaceae,1,carvalheiro_2008
Bombus pratorum L.,Hymenoptera Apidae,Rosa canina L.,Rosaceae,1,carvalheiro_2008
Byturus tomentosus Fabricius,Coleoptera Byturidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Strangalia maculata Poda,Coleoptera Cerambycidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Anthonomus rubi Herbst,Coleoptera Curculionidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Mordellistena neuwaldeggiana Panzer,Coleoptera Mordellidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Meligethes aeneus Fabricius,Coleoptera Nitidulidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Meligethes solidus Kugelann,Coleoptera Nitidulidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Anaspis pulicaria Costa,Coleoptera Scraptiidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Eusphalerum luteum Marsham,Coleoptera Staphylinidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Peplomyza litura Meigen,Diptera Lauxaniidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Episyrphus balteatus DeGeer,Diptera Syrphidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Eristalis intricarius L.,Diptera Syrphidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Meliscaeva auricollis Meigen,Diptera Syrphidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Platycheirus albimanus Fabricius,Diptera Syrphidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Syrphus ribesii L.,Diptera Syrphidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Dexiosoma caninum Fabricius,Diptera Fabricius,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Heteroptera sp6,Heteroptera,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Heteroptera sp10,Heteroptera,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Apis mellifera L.,Hymenoptera Apidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Bombus lapidarius L.,Hymenoptera Apidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Bombus terrestris L.,Hymenoptera Apidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Myrmica sp3,Hymenoptera Formicidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Halictus tumulorum L.,Hymenoptera Halictidae,Rubus fruticosus L.,Rosaceae,1,carvalheiro_2008
Meligethes solidus Kugelann,Coleoptera Nitidulidae,Ranunculus sp1,Ranunculaceae,1,carvalheiro_2008
Heterostylodes nominabilis Collin,Diptera Anthomyiidae,Ranunculus sp1,Ranunculaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Ranunculus sp1,Ranunculaceae,1,carvalheiro_2008
Lasioglossum smeathmanellum Kirby,Hymenoptera Halictidae,Ranunculus sp1,Ranunculaceae,1,carvalheiro_2008
Thysanoptera sp3,Thysanoptera,Ranunculus sp1,Ranunculaceae,1,carvalheiro_2008
Thysanoptera sp4,Thysanoptera,Ranunculus sp1,Ranunculaceae,1,carvalheiro_2008
Syrphus ribesii L.,Diptera Syrphidae,Ranunculus sp2,Ranunculaceae,1,carvalheiro_2008
Sarcophaga nigriventris Meigen,Diptera Sarcophagidae,Senecio jacobaea L.,Asteraceae,1,carvalheiro_2008
Eupeodes luniger Meigen,Diptera Syrphidae,Senecio jacobaea L.,Asteraceae,1,carvalheiro_2008
Platycheirus albimanus Fabricius,Diptera Syrphidae,Senecio jacobaea L.,Asteraceae,1,carvalheiro_2008
Phyllobius roboretanus Gredler _,Coleoptera Curculionidae,Sorbus aria (L.) Crantz,Rosaceae,1,carvalheiro_2008
Meligethes obscurus Erichson,Coleoptera Nitidulidae,Sorbus aria (L.) Crantz,Rosaceae,1,carvalheiro_2008
Formica fusca L. _,Hymenoptera Formicidae,Sorbus aria (L.) Crantz,Rosaceae,1,carvalheiro_2008
Lasius alienus Foerster  _,Hymenoptera Formicidae,Sorbus aria (L.) Crantz,Rosaceae,1,carvalheiro_2008
Meligethes aeneus Fabricius,Coleoptera Nitidulidae,Sonchus arvensis L.,Asteraceae,1,carvalheiro_2008
Pegoplata aestiva Meigen,Diptera Anthomyiidae,Sonchus arvensis L.,Asteraceae,1,carvalheiro_2008
Epistrophe grossularia Meigen,Diptera Syrphidae,Sonchus arvensis L.,Asteraceae,1,carvalheiro_2008
Syrphus ribesii L.,Diptera Syrphidae,Sonchus arvensis L.,Asteraceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Sonchus arvensis L.,Asteraceae,1,carvalheiro_2008
Lasioglossum villosulum Kirby,Hymenoptera Halictidae,Sonchus arvensis L.,Asteraceae,1,carvalheiro_2008
Meligethes solidus Kugelann,Coleoptera Nitidulidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Delia sp.,Diptera Anthomyiidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Lucilia illustris Meigen,Diptera Calliphoridae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Epistrophe grossularia Meigen,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Episyrphus balteatus DeGeer,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Eristalis arbustorum L.,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Eristalis pertinax Scopoli,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Eristalis tenax L.,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Eupeodes luniger Meigen,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Helophilus pendulus L.,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Syrphus ribesii L.,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Syrphus torvus Osten Sacken,Diptera Syrphidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Heteroptera sp3,Heteroptera,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Bombus lapidarius L.,Hymenoptera Apidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Lasius alienus Foerster  _,Hymenoptera Formicidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Myrmica sp4,Hymenoptera Formicidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Lasioglossum morio Fabricius,Hymenoptera Halictidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Hoplitis claviventris Thomson,Hymenoptera Megachilidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Hymenoptera sp10,Hymenoptera,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Polyommatus icarus Rottemburg,Lepidoptera Lycaenidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Lepidoptera sp1,Lepidoptera,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Aglais urticae L.,Lepidoptera Nymphalidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Pieris napi L.,Lepidoptera Pieridae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Melanargia galathea L.,Lepidoptera Nymphalidae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Pyronia tithonus L.,Lepidoptera Satyridae,Scabiosa columbaria L.,Dipsacaceae,1,carvalheiro_2008
Anthonomus rubi Herbst,Coleoptera Curculionidae,Solanum dulcamara L.,Solanaceae,1,carvalheiro_2008
Episyrphus balteatus DeGeer,Diptera Syrphidae,Solanum dulcamara L.,Solanaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Solanum dulcamara L.,Solanaceae,1,carvalheiro_2008
Lucilia illustris Meigen,Diptera Calliphoridae,Senecio jacobaea L.,Asteraceae,1,carvalheiro_2008
Phyllobius roboretanus Gredler _,Coleoptera Curculionidae,Sanguisorba minor Scop.,Rosaceae,1,carvalheiro_2008
Oedemera lurida Marsham,Coleoptera Oedemeridae,Sanguisorba minor Scop.,Rosaceae,1,carvalheiro_2008
Platycheirus clypeatus Meigen,Diptera Syrphidae,Sanguisorba minor Scop.,Rosaceae,1,carvalheiro_2008
Centhorhynchus sp.,Coleoptera Curculionidae,Sisymbrium officinale (L.) Scop. *,Brassicaceae,1,carvalheiro_2008
Anthomyiidae sp1,Diptera Anthomyiidae,Sisymbrium officinale (L.) Scop. *,Brassicaceae,1,carvalheiro_2008
Rhinophora lepida Meigen,Diptera Rhinophoridae,Sisymbrium officinale (L.) Scop. *,Brassicaceae,1,carvalheiro_2008
Sphaerophoria scripta L.,Diptera Syrphidae,Sisymbrium officinale (L.) Scop. *,Brassicaceae,1,carvalheiro_2008
Halictus tumulorum L.,Hymenoptera Halictidae,Sisymbrium officinale (L.) Scop. *,Brassicaceae,1,carvalheiro_2008
Isomira murina L.,Coleoptera Tenebrionidae,Smyrnium olusatrum L.* ¥,Apiaceae,1,carvalheiro_2008
Agrypnus murinus L.,Coleoptera Elateridae,Smyrnium olusatrum L.* ¥,Apiaceae,1,carvalheiro_2008
Meligethes solidus Kugelann,Coleoptera Nitidulidae,Smyrnium olusatrum L.* ¥,Apiaceae,1,carvalheiro_2008
Delia sp.,Diptera Anthomyiidae,Smyrnium olusatrum L.* ¥,Apiaceae,1,carvalheiro_2008
Sarcophaga spp.,Diptera Sarcophagidae,Smyrnium olusatrum L.* ¥,Apiaceae,1,carvalheiro_2008
Formica fusca L. _,Hymenoptera Formicidae,Smyrnium olusatrum L.* ¥,Apiaceae,1,carvalheiro_2008
Hymenoptera sp2,Hymenoptera,Smyrnium olusatrum L.* ¥,Apiaceae,1,carvalheiro_2008
Anthomyia liturata Robineau-Desvoidy,Diptera Anthomyiidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Pollenia rudis Fabricius,Diptera Calliphoridae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Neomyia cornicina Fabricius,Diptera Muscidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Sarcophaga nigriventris Meigen,Diptera Sarcophagidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Sarcophaga subvicina Rohdendorf,Diptera Sarcophagidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Episyrphus balteatus DeGeer,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Eristalis interruptus Poda,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Eristalis tenax L.,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Helophilus pendulus L.,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Metasyrphus latifasciatus Macquart,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Paragus haemorrhous Meigen,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Platycheirus albimanus Fabricius,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Sphaerophoria scripta L.,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Sphaerophoria scripta L.,Diptera Syrphidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Tachina fera L.,Diptera Tachinidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Bombus vestalis Geoffroy,Hymenoptera Apidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Lasioglossum calceatum Scopoli,Hymenoptera Halictidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Lasioglossum fulvicorne Kirby,Hymenoptera Halictidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Lasioglossum morio Fabricius,Hymenoptera Halictidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Lasioglossum quadrinotatum Schenck,Hymenoptera Halictidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Lasioglossum smeathmanellum Kirby,Hymenoptera Halictidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Polyommatus icarus Rottemburg,Lepidoptera Lycaenidae,Solidago virgaurea L.,Asteraceae,1,carvalheiro_2008
Oedemera lurida Marsham,Coleoptera Oedemeridae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Pegoplata aestiva Meigen,Diptera Anthomyiidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Lucilia illustris Meigen,Diptera Calliphoridae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Lasiambia palposa Fall‚n,Diptera Chloropidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Conops quadrifasciatus De Geer,Diptera Conopidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Brachicoma devia Fallen,Diptera Sarcophagidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Sciaridae Gen1 sp.,Diptera Sciaridae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Eristalis arbustorum L.,Diptera Syrphidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Melanostoma mellinum L.,Diptera Syrphidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Platycheirus albimanus Fabricius,Diptera Syrphidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Sphaerophoria scripta L.,Diptera Syrphidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Syrphus ribesii L.,Diptera Syrphidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Syrphus vitripennis Meigen,Diptera Syrphidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Eriothrix rufomaculata DeGeer,Diptera Tachinidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Heteroptera sp9,Heteroptera,Senecio sp.,Asteraceae,1,carvalheiro_2008
Bombus lapidarius L.,Hymenoptera Apidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Bombus terrestris L.,Hymenoptera Apidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Hylaeus communis Nylander,Hymenoptera Colletidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Halictus tumulorum L.,Hymenoptera Halictidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Lasioglossum calceatum Scopoli,Hymenoptera Halictidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Lasioglossum morio Fabricius,Hymenoptera Halictidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Hoplitis spinulosa Kirby,Hymenoptera Megachilidae,Senecio sp.,Asteraceae,1,carvalheiro_2008
Hymenoptera sp11,Hymenoptera,Senecio sp.,Asteraceae,1,carvalheiro_2008
Thysanoptera sp1  _,Thysanoptera,Senecio sp.,Asteraceae,1,carvalheiro_2008
Thysanoptera sp2,Thysanoptera,Senecio sp.,Asteraceae,1,carvalheiro_2008
Formica fusca L. _,Hymenoptera Formicidae,Tamus communis L.,Dioscoreaceae,1,carvalheiro_2008
Phyllobius roboretanus Gredler _,Coleoptera Curculionidae,Trinia glauca (L.) Dummort ¥,Apiaceae,1,carvalheiro_2008
Myrmecoris gracilis R.F.Sahlberg  _,Heteroptera Miridae,Trinia glauca (L.) Dummort ¥,Apiaceae,1,carvalheiro_2008
Formica fusca L. _,Hymenoptera Formicidae,Trinia glauca (L.) Dummort ¥,Apiaceae,1,carvalheiro_2008
Lasius alienus Foerster  _,Hymenoptera Formicidae,Trinia glauca (L.) Dummort ¥,Apiaceae,1,carvalheiro_2008
Temnothorax albipennis Curtis  _,Hymenoptera Formicidae,Trinia glauca (L.) Dummort ¥,Apiaceae,1,carvalheiro_2008
Thysanoptera sp1  _,Thysanoptera,Trinia glauca (L.) Dummort ¥,Apiaceae,1,carvalheiro_2008
Sarcophaga carnaria L.,Diptera Sarcophagidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Sarcophaga nigriventris Meigen,Diptera Sarcophagidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Cheilosia soror Zetterstedt,Diptera Syrphidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Epistrophe grossularia Meigen,Diptera Syrphidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Paragus haemorrhous Meigen,Diptera Syrphidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Sphaerophoria scripta L.,Diptera Syrphidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Syrphus ribesii L.,Diptera Syrphidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Formica fusca L. _,Hymenoptera Formicidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Halictus tumulorum L.,Hymenoptera Halictidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Lasioglossum leucopus Kirby,Hymenoptera Halictidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Lasioglossum morio Fabricius,Hymenoptera Halictidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Ectemnius continuus Fabricius,Hymenoptera Crabronidae,Torilis japonica (Houtt.) DC,Apiaceae,1,carvalheiro_2008
Lasiambia palposa Fall‚n,Diptera Chloropidae,Thymus polytrichus A. Kerner ex Borb‡s,Lamiaceae,1,carvalheiro_2008
Chloropidae sp1,Diptera Chloropidae,Thymus polytrichus A. Kerner ex Borb‡s,Lamiaceae,1,carvalheiro_2008
Paragus haemorrhous Meigen,Diptera Syrphidae,Thymus polytrichus A. Kerner ex Borb‡s,Lamiaceae,1,carvalheiro_2008
Lasius alienus Foerster  _,Hymenoptera Formicidae,Thymus polytrichus A. Kerner ex Borb‡s,Lamiaceae,1,carvalheiro_2008
Phyllobius viridiaeris Laicharting,Coleoptera Curculionidae,Trifolium pratense L.,Fabaceae,1,carvalheiro_2008
Myrmecoris gracilis R.F.Sahlberg  _,Heteroptera Miridae,Trifolium pratense L.,Fabaceae,1,carvalheiro_2008
Meligethes obscurus Erichson,Coleoptera Nitidulidae,Teucrium scorodonia L.,Lamiaceae,1,carvalheiro_2008
Epistrophe grossularia Meigen,Diptera Syrphidae,Teucrium scorodonia L.,Lamiaceae,1,carvalheiro_2008
Bombus hortorum L.,Hymenoptera Apidae,Teucrium scorodonia L.,Lamiaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Teucrium scorodonia L.,Lamiaceae,1,carvalheiro_2008
Ochlodes venata Bremer & Grey,Lepidoptera Hesperiidae,Teucrium scorodonia L.,Lamiaceae,1,carvalheiro_2008
Aphantopus hyperantus L.,Lepidoptera Nymphalidae,Teucrium scorodonia L.,Lamiaceae,1,carvalheiro_2008
Apion ulicis Forster,Coleoptera Curculionidae,Ulex europaeus L.,Fabaceae,1,carvalheiro_2008
Anaspis pulicaria Costa,Coleoptera Scraptiidae,Ulex europaeus L.,Fabaceae,1,carvalheiro_2008
Muscidae sp1,Diptera Muscidae,Ulex europaeus L.,Fabaceae,1,carvalheiro_2008
Heteroptera sp1,Heteroptera,Ulex europaeus L.,Fabaceae,1,carvalheiro_2008
Bombus pascuorum Scopoli,Hymenoptera Apidae,Ulex europaeus L.,Fabaceae,1,carvalheiro_2008
Lasius alienus Foerster  _,Hymenoptera Formicidae,Ulex europaeus L.,Fabaceae,1,carvalheiro_2008
Lepidoptera sp3,Lepidoptera,Ulex europaeus L.,Fabaceae,1,carvalheiro_2008
Isomira murina L.,Coleoptera Tenebrionidae,Viburnum lantana L.,Caprifoliaceae,1,carvalheiro_2008
Formica fusca L. _,Hymenoptera Formicidae,Viburnum lantana L.,Caprifoliaceae,1,carvalheiro_2008
Lasius alienus Foerster  _,Hymenoptera Formicidae,Viburnum lantana L.,Caprifoliaceae,1,carvalheiro_2008
Meligethes solidus Kugelann,Coleoptera Nitidulidae,Verbascum thapsus L.,Scrophulariaceae,1,carvalheiro_2008
Halictus tumulorum L.,Hymenoptera Halictidae,Verbascum thapsus L.,Scrophulariaceae,1,carvalheiro_2008
Anaspis pulicaria Costa,Coleoptera Scraptiidae,Viburnum lantana L.,Caprifoliaceae,1,carvalheiro_2008
