IGenus,PGenus,Plant,Pollinator,Int,Network,PFamily,POrder,PolFamily,PolOrder
Meligethes,Hippocrepis,Hippocrepis comosa L.,Meligethes solidus Kugelann,1,carvalheiro 2008,Fabaceae,Fabales,Nitidulidae,Coleoptera
Oedemera,Hippocrepis,Hippocrepis comosa L.,Oedemera lurida Marsham,1,carvalheiro 2008,Fabaceae,Fabales,Oedemeridae,Coleoptera
Bombus,Hippocrepis,Hippocrepis comosa L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Fabaceae,Fabales,Apidae,Hymenoptera
Lasioglossum,Medicago,Medicago lupina L.,Lasioglossum morio Fabricius,1,carvalheiro 2008,Fabaceae,Fabales,Halictidae,Hymenoptera
Curculionidae,Lotus,Lotus corniculatus L.,Curculionidae sp1,1,carvalheiro 2008,Fabaceae,Fabales,Curculionidae,Coleoptera
Conioscinella,Medicago,Medicago lupina L.,Conioscinella sp.,1,carvalheiro 2008,Fabaceae,Fabales,Chloropidae,Diptera
Pieris,Geranium,Geranium robertianum L.,Pieris napi L.,1,carvalheiro 2008,Geraniaceae,Geraniales,Pieridae,Lepidoptera
Lasius,Geranium,Geranium robertianum L.,Lasius alienus Foerster  _,1,carvalheiro 2008,Geraniaceae,Geraniales,Formicidae,Hymenoptera
Lasioglossum,Geranium,Geranium robertianum L.,Lasioglossum parvulum Schenck,1,carvalheiro 2008,Geraniaceae,Geraniales,Halictidae,Hymenoptera
Meligethes,Geranium,Geranium robertianum L.,Meligethes aeneus Fabricius,1,carvalheiro 2008,Geraniaceae,Geraniales,Nitidulidae,Coleoptera
Andrena,Geranium,Geranium robertianum L.,Andrena bicolor Fabricius,1,carvalheiro 2008,Geraniaceae,Geraniales,Andrenidae,Hymenoptera
Heteroptera,Geranium,Geranium robertianum L.,Heteroptera sp9,1,carvalheiro 2008,Geraniaceae,Geraniales,NA,Heteroptera
Bombus,Geranium,Geranium robertianum L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Geraniaceae,Geraniales,Apidae,Hymenoptera
Bombylius,Geranium,Geranium robertianum L.,Bombylius major L.,1,carvalheiro 2008,Geraniaceae,Geraniales,Bombyliidae,Diptera
Meligethes,Geranium,Geranium robertianum L.,Meligethes atratus Oliver,1,carvalheiro 2008,Geraniaceae,Geraniales,Nitidulidae,Coleoptera
Meligethes,Geranium,Geranium robertianum L.,Meligethes flavimanus Stephens,1,carvalheiro 2008,Geraniaceae,Geraniales,Nitidulidae,Coleoptera
Meligethes,Geranium,Geranium robertianum L.,Meligethes solidus Kugelann,1,carvalheiro 2008,Geraniaceae,Geraniales,Nitidulidae,Coleoptera
Rhinophora,Geranium,Geranium rotundifolia L.,Rhinophora lepida Meigen,1,carvalheiro 2008,Geraniaceae,Geraniales,Rhinophoridae,Diptera
Episyrphus,Geranium,Geranium robertianum L.,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Geraniaceae,Geraniales,Syrphidae,Diptera
Platycheirus,Geranium,Geranium robertianum L.,Platycheirus amplus Curran cf.,1,carvalheiro 2008,Geraniaceae,Geraniales,Syrphidae,Diptera
Melanostoma,Geranium,Geranium robertianum L.,Melanostoma scalare Fabricius,1,carvalheiro 2008,Geraniaceae,Geraniales,Syrphidae,Diptera
Platycheirus,Geranium,Geranium robertianum L.,Platycheirus albimanus Fabricius,1,carvalheiro 2008,Geraniaceae,Geraniales,Syrphidae,Diptera
Bombus,Geranium,Geranium robertianum L.,Bombus pratorum L.,1,carvalheiro 2008,Geraniaceae,Geraniales,Apidae,Hymenoptera
Bombus,Geranium,Geranium rotundifolia L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Geraniaceae,Geraniales,Apidae,Hymenoptera
Anthomyiidae,Hypericum,Hypericum perforatum L.,Anthomyiidae sp2,1,carvalheiro 2008,Hypericaceae,Malpighiales,Anthomyiidae,Diptera
Bombus,Hypericum,Hypericum perforatum L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Hypericaceae,Malpighiales,Apidae,Hymenoptera
Platycheirus,Hypericum,Hypericum perforatum L.,Platycheirus albimanus Fabricius,1,carvalheiro 2008,Hypericaceae,Malpighiales,Syrphidae,Diptera
Episyrphus,Hypericum,Hypericum perforatum L.,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Hypericaceae,Malpighiales,Syrphidae,Diptera
Formica,Hypericum,Hypericum perforatum L.,Formica fusca L. _,1,carvalheiro 2008,Hypericaceae,Malpighiales,Formicidae,Hymenoptera
Cteniopus,Hypericum,Hypericum perforatum L.,Cteniopus sulphurous L.,1,carvalheiro 2008,Hypericaceae,Malpighiales,Tenebrionidae,Coleoptera
Platycheirus,Hypericum,Hypericum perforatum L.,Platycheirus scutatus Meigen,1,carvalheiro 2008,Hypericaceae,Malpighiales,Syrphidae,Diptera
Sphaerophoria,Hypericum,Hypericum perforatum L.,Sphaerophoria scripta L.,1,carvalheiro 2008,Hypericaceae,Malpighiales,Syrphidae,Diptera
Melanostoma,Hypericum,Hypericum perforatum L.,Melanostoma scalare Fabricius,1,carvalheiro 2008,Hypericaceae,Malpighiales,Syrphidae,Diptera
Pegoplata,Hypericum,Hypericum perforatum L.,Pegoplata aestiva Meigen,1,carvalheiro 2008,Hypericaceae,Malpighiales,Anthomyiidae,Diptera
Lasiambia,Thymus,Thymus polytrichus A. Kerner ex Borb‡s,Lasiambia palposa Fall‚n,1,carvalheiro 2008,Lamiaceae,Lamiales,Chloropidae,Diptera
Bombus,Origanum,Origanum vulgare L.,Bombus lucorum L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Apidae,Hymenoptera
Meligethes,Origanum,Origanum vulgare L.,Meligethes aeneus Fabricius,1,carvalheiro 2008,Lamiaceae,Lamiales,Nitidulidae,Coleoptera
Lasius,Clinopodium,Clinopodium acinos (L.) Kuntze,Lasius niger L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Formicidae,Hymenoptera
Lasioglossum,Clinopodium,Clinopodium acinos (L.) Kuntze,Lasioglossum morio Fabricius,1,carvalheiro 2008,Lamiaceae,Lamiales,Halictidae,Hymenoptera
Lasius,Clinopodium,Clinopodium acinos (L.) Kuntze,Lasius alienus Foerster  _,1,carvalheiro 2008,Lamiaceae,Lamiales,Formicidae,Hymenoptera
Melangyna,Origanum,Origanum vulgare L.,Melangyna umbellatarum Fabricius,1,carvalheiro 2008,Lamiaceae,Lamiales,Syrphidae,Diptera
Chloropidae,Thymus,Thymus polytrichus A. Kerner ex Borb‡s,Chloropidae sp1,1,carvalheiro 2008,Lamiaceae,Lamiales,Chloropidae,Diptera
Bombus,Clinopodium,Clinopodium acinos (L.) Kuntze,Bombus pascuorum Scopoli,1,carvalheiro 2008,Lamiaceae,Lamiales,Apidae,Hymenoptera
Bombus,Clinopodium,Clinopodium ascendens (Jord.) Samp.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Lamiaceae,Lamiales,Apidae,Hymenoptera
Bombus,Origanum,Origanum vulgare L.,Bombus vestalis Geoffroy,1,carvalheiro 2008,Lamiaceae,Lamiales,Apidae,Hymenoptera
Halictus,Origanum,Origanum vulgare L.,Halictus tumulorum L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Halictidae,Hymenoptera
Bombus,Origanum,Origanum vulgare L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Lamiaceae,Lamiales,Apidae,Hymenoptera
Pyronia,Origanum,Origanum vulgare L.,Pyronia tithonus L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Satyridae,Lepidoptera
Lasioglossum,Clinopodium,Clinopodium ascendens (Jord.) Samp.,Lasioglossum morio Fabricius,1,carvalheiro 2008,Lamiaceae,Lamiales,Halictidae,Hymenoptera
Gonepteryx,Origanum,Origanum vulgare L.,Gonepteryx rhamni L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Pieridae,Lepidoptera
Helophilus,Clinopodium,Clinopodium ascendens (Jord.) Samp.,Helophilus pendulus L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Syrphidae,Diptera
Paragus,Thymus,Thymus polytrichus A. Kerner ex Borb‡s,Paragus haemorrhous Meigen,1,carvalheiro 2008,Lamiaceae,Lamiales,Syrphidae,Diptera
Heteroptera,Origanum,Origanum vulgare L.,Heteroptera sp8,1,carvalheiro 2008,Lamiaceae,Lamiales,NA,Heteroptera
Sepsis,Clinopodium,Clinopodium vulgare L.,Sepsis cf. fulgens Meigen,1,carvalheiro 2008,Lamiaceae,Lamiales,Sepsidae,Diptera
Eudorylas,Clinopodium,Clinopodium vulgare L.,Eudorylas sp.,1,carvalheiro 2008,Lamiaceae,Lamiales,Pipunculidae,Diptera
Melanargia,Origanum,Origanum vulgare L.,Melanargia galathea L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Nymphalidae,Lepidoptera
Lasius,Thymus,Thymus polytrichus A. Kerner ex Borb‡s,Lasius alienus Foerster  _,1,carvalheiro 2008,Lamiaceae,Lamiales,Formicidae,Hymenoptera
Lasioglossum,Origanum,Origanum vulgare L.,Lasioglossum morio Fabricius,1,carvalheiro 2008,Lamiaceae,Lamiales,Halictidae,Hymenoptera
Aphantopus,Teucrium,Teucrium scorodonia L.,Aphantopus hyperantus L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Nymphalidae,Lepidoptera
Hymenoptera,Clinopodium,Clinopodium ascendens (Jord.) Samp.,Hymenoptera sp4,1,carvalheiro 2008,Lamiaceae,Lamiales,NA,Hymenoptera
Episyrphus,Origanum,Origanum vulgare L.,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Lamiaceae,Lamiales,Syrphidae,Diptera
Heteroptera,Origanum,Origanum vulgare L.,Heteroptera sp10,1,carvalheiro 2008,Lamiaceae,Lamiales,NA,Heteroptera
Bombus,Teucrium,Teucrium scorodonia L.,Bombus hortorum L.,1,carvalheiro 2008,Lamiaceae,Lamiales,Apidae,Hymenoptera
Ochlodes,Teucrium,Teucrium scorodonia L.,Ochlodes venata Bremer & Grey,1,carvalheiro 2008,Lamiaceae,Lamiales,Hesperiidae,Lepidoptera
Polyommatus,Origanum,Origanum vulgare L.,Polyommatus icarus Rottemburg,1,carvalheiro 2008,Lamiaceae,Lamiales,Lycaenidae,Lepidoptera
Bombus,Teucrium,Teucrium scorodonia L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Lamiaceae,Lamiales,Apidae,Hymenoptera
Meligethes,Teucrium,Teucrium scorodonia L.,Meligethes obscurus Erichson,1,carvalheiro 2008,Lamiaceae,Lamiales,Nitidulidae,Coleoptera
Lasioglossum,Origanum,Origanum vulgare L.,Lasioglossum villosulum Kirby,1,carvalheiro 2008,Lamiaceae,Lamiales,Halictidae,Hymenoptera
Hoplitis,Origanum,Origanum vulgare L.,Hoplitis spinulosa Kirby,1,carvalheiro 2008,Lamiaceae,Lamiales,Megachilidae,Hymenoptera
Oedemera,Origanum,Origanum vulgare L.,Oedemera lurida Marsham,1,carvalheiro 2008,Lamiaceae,Lamiales,Oedemeridae,Coleoptera
Epistrophe,Teucrium,Teucrium scorodonia L.,Epistrophe grossularia Meigen,1,carvalheiro 2008,Lamiaceae,Lamiales,Syrphidae,Diptera
Melanostoma,Plantago,Plantago lanceolata L.,Melanostoma mellinum L.,1,carvalheiro 2008,Plantaginaceae,Lamiales,Syrphidae,Diptera
Hymenoptera,Plantago,Plantago lanceolata L.,Hymenoptera sp9,1,carvalheiro 2008,Plantaginaceae,Lamiales,NA,Hymenoptera
Hylaeus,Clematis,Clematis vitalba L.,Hylaeus communis Nylander,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Colletidae,Hymenoptera
Bombus,Clematis,Clematis vitalba L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Apidae,Hymenoptera
Anaspis,Clematis,Clematis vitalba L.,Anaspis pulicaria Costa,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Scraptiidae,Coleoptera
Orthocladiinae,Clematis,Clematis vitalba L.,Orthocladiinae cf. sp.,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Chironomidae,Diptera
Lasioglossum,Clematis,Clematis vitalba L.,Lasioglossum leucopus Kirby,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Halictidae,Hymenoptera
Apis,Clematis,Clematis vitalba L.,Apis mellifera L.,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Apidae,Hymenoptera
Lasioglossum,Clematis,Clematis vitalba L.,Lasioglossum smeathmanellum Kirby,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Halictidae,Hymenoptera
Heteroptera,Clematis,Clematis vitalba L.,Heteroptera sp8,1,carvalheiro 2008,Ranunculaceae,Ranunculales,NA,Heteroptera
Meligethes,Ranunculus,Ranunculus sp1,Meligethes solidus Kugelann,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Nitidulidae,Coleoptera
Lasioglossum,Clematis,Clematis vitalba L.,Lasioglossum morio Fabricius,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Halictidae,Hymenoptera
Eriothrix,Clematis,Clematis vitalba L.,Eriothrix rufomaculata DeGeer,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Tachinidae,Diptera
Episyrphus,Clematis,Clematis vitalba L.,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Helophilus,Clematis,Clematis vitalba L.,Helophilus pendulus L.,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Syrphus,Clematis,Clematis vitalba L.,Syrphus vitripennis Meigen,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Sepsis,Clematis,Clematis vitalba L.,Sepsis cynipsea L.,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Sepsidae,Diptera
Bombus,Ranunculus,Ranunculus sp1,Bombus pascuorum Scopoli,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Apidae,Hymenoptera
Lasioglossum,Ranunculus,Ranunculus sp1,Lasioglossum smeathmanellum Kirby,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Halictidae,Hymenoptera
Lauxaniidae,Clematis,Clematis vitalba L.,Lauxaniidae sp1,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Lauxaniidae,Diptera
Heterostylodes,Ranunculus,Ranunculus sp1,Heterostylodes nominabilis Collin,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Anthomyiidae,Diptera
Thysanoptera,Ranunculus,Ranunculus sp1,Thysanoptera sp4,1,carvalheiro 2008,Ranunculaceae,Ranunculales,NA,Thysanoptera
Syrphus,Ranunculus,Ranunculus sp2,Syrphus ribesii L.,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Thysanoptera,Ranunculus,Ranunculus sp1,Thysanoptera sp3,1,carvalheiro 2008,Ranunculaceae,Ranunculales,NA,Thysanoptera
Syrphus,Clematis,Clematis vitalba L.,Syrphus ribesii L.,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Platycheirus,Clematis,Clematis vitalba L.,Platycheirus albimanus Fabricius,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Meliscaeva,Clematis,Clematis vitalba L.,Meliscaeva cinctella Zetterstedt,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Sphaerophoria,Clematis,Clematis vitalba L.,Sphaerophoria scripta L.,1,carvalheiro 2008,Ranunculaceae,Ranunculales,Syrphidae,Diptera
Lasioglossum,Rosa,Rosa arvensis Huds.,Lasioglossum morio Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Halictidae,Hymenoptera
Myrmica,Potentilla,Potentilla sterilis (L.) Garcke,Myrmica ruginoides L.,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Phyllobius,Potentilla,Potentilla sterilis (L.) Garcke,Phyllobius roboretanus Gredler _,1,carvalheiro 2008,Rosaceae,Rosales,Curculionidae,Coleoptera
Bombus,Cotoneaster,Cotoneaster franchetti Bois * ¥,Bombus terrestris L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Meligethes,Rosa,Rosa canina L.,Meligethes flavimanus Stephens,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Anaspis,Rosa,Rosa canina L.,Anaspis pulicaria Costa,1,carvalheiro 2008,Rosaceae,Rosales,Scraptiidae,Coleoptera
Meligethes,Potentilla,Potentilla sterilis (L.) Garcke,Meligethes obscurus Erichson,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Meliscaeva,Rubus,Rubus fruticosus L.,Meliscaeva auricollis Meigen,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Peplomyza,Rubus,Rubus fruticosus L.,Peplomyza litura Meigen,1,carvalheiro 2008,Rosaceae,Rosales,Lauxaniidae,Diptera
Episyrphus,Rubus,Rubus fruticosus L.,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Eristalis,Rubus,Rubus fruticosus L.,Eristalis intricarius L.,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Anaspis,Rosa,Rosa arvensis Huds.,Anaspis frontalis L.,1,carvalheiro 2008,Rosaceae,Rosales,Scraptiidae,Coleoptera
Platycheirus,Rubus,Rubus fruticosus L.,Platycheirus albimanus Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Trachysiphonella,Rosa,Rosa canina L.,Trachysiphonella sp2,1,carvalheiro 2008,Rosaceae,Rosales,Chloropidae,Diptera
Meligethes,Rosa,Rosa arvensis Huds.,Meligethes aeneus Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Halictus,Rubus,Rubus fruticosus L.,Halictus tumulorum L.,1,carvalheiro 2008,Rosaceae,Rosales,Halictidae,Hymenoptera
Bombus,Rosa,Rosa arvensis Huds.,Bombus pratorum L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Formica,Crataegus,Crataegus monogyna Jacq.,Formica fusca L. _,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Myrmica,Rubus,Rubus fruticosus L.,Myrmica sp3,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Dexiosoma,Rubus,Rubus fruticosus L.,Dexiosoma caninum Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Fabricius,Diptera
Lasius,Sorbus,Sorbus aria (L.) Crantz,Lasius alienus Foerster  _,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Metasyrphus,Rosa,Rosa canina L.,Metasyrphus cf. latilunulatus Collin,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Syrphus,Rubus,Rubus fruticosus L.,Syrphus ribesii L.,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Platycheirus,Sanguisorba,Sanguisorba minor Scop.,Platycheirus clypeatus Meigen,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Heteroptera,Rubus,Rubus fruticosus L.,Heteroptera sp6,1,carvalheiro 2008,Rosaceae,Rosales,NA,Heteroptera
Bombus,Cotoneaster,Cotoneaster franchetti Bois * ¥,Bombus pratorum L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Oedemera,Sanguisorba,Sanguisorba minor Scop.,Oedemera lurida Marsham,1,carvalheiro 2008,Rosaceae,Rosales,Oedemeridae,Coleoptera
Formica,Cotoneaster,Cotoneaster horizontalis Decne * ¥,Formica fusca L. _,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Formica,Sorbus,Sorbus aria (L.) Crantz,Formica fusca L. _,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Formica,Cotoneaster,Cotoneaster franchetti Bois * ¥,Formica fusca L. _,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Lasius,Cotoneaster,Cotoneaster franchetti Bois * ¥,Lasius alienus Foerster  _,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Platypalpus,Rosa,Rosa arvensis Huds.,Platypalpus nigritarsis Fall‚n cf. ,1,carvalheiro 2008,Rosaceae,Rosales,Hybotidae,Diptera
Lasius,Cotoneaster,Cotoneaster horizontalis Decne * ¥,Lasius alienus Foerster  _,1,carvalheiro 2008,Rosaceae,Rosales,Formicidae,Hymenoptera
Isomira,Crataegus,Crataegus monogyna Jacq.,Isomira murina L.,1,carvalheiro 2008,Rosaceae,Rosales,Tenebrionidae,Coleoptera
Byturus,Crataegus,Crataegus monogyna Jacq.,Byturus tomentosus Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Byturidae,Coleoptera
Eusphalerum,Rubus,Rubus fruticosus L.,Eusphalerum luteum Marsham,1,carvalheiro 2008,Rosaceae,Rosales,Staphylinidae,Coleoptera
Bombus,Rubus,Rubus fruticosus L.,Bombus terrestris L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Meligethes,Sorbus,Sorbus aria (L.) Crantz,Meligethes obscurus Erichson,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Megaselia,Crataegus,Crataegus monogyna Jacq.,Megaselia sp.,1,carvalheiro 2008,Rosaceae,Rosales,Phoridae,Diptera
Strangalia,Rubus,Rubus fruticosus L.,Strangalia maculata Poda,1,carvalheiro 2008,Rosaceae,Rosales,Cerambycidae,Coleoptera
Cantharis,Crataegus,Crataegus monogyna Jacq.,Cantharis decipiens Baudi,1,carvalheiro 2008,Rosaceae,Rosales,Cantharidae,Coleoptera
Bombus,Rosa,Rosa canina L.,Bombus pratorum L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Byturus,Rubus,Rubus fruticosus L.,Byturus tomentosus Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Byturidae,Coleoptera
Anaspis,Rubus,Rubus fruticosus L.,Anaspis pulicaria Costa,1,carvalheiro 2008,Rosaceae,Rosales,Scraptiidae,Coleoptera
Bombus,Rubus,Rubus fruticosus L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Meliscaeva,Rosa,Rosa arvensis Huds.,Meliscaeva auricollis Meigen,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Grammoptera,Crataegus,Crataegus monogyna Jacq.,Grammoptera ruficornis Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Cerambycidae,Coleoptera
Meligethes,Rubus,Rubus fruticosus L.,Meligethes solidus Kugelann,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Cetonia,Crataegus,Crataegus monogyna Jacq.,Cetonia aurata L.,1,carvalheiro 2008,Rosaceae,Rosales,Scarabaeidae,Coleoptera
Phyllobius,Sorbus,Sorbus aria (L.) Crantz,Phyllobius roboretanus Gredler _,1,carvalheiro 2008,Rosaceae,Rosales,Curculionidae,Coleoptera
Bombus,Cotoneaster,Cotoneaster franchetti Bois * ¥,Bombus pascuorum Scopoli,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Meligethes,Geum,Geum urbanum L.,Meligethes aeneus Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Heteroptera,Rubus,Rubus fruticosus L.,Heteroptera sp10,1,carvalheiro 2008,Rosaceae,Rosales,NA,Heteroptera
Anthonomus,Rubus,Rubus fruticosus L.,Anthonomus rubi Herbst,1,carvalheiro 2008,Rosaceae,Rosales,Curculionidae,Coleoptera
Bombus,Cotoneaster,Cotoneaster franchetti Bois * ¥,Bombus lapidarius L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Phyllobius,Sanguisorba,Sanguisorba minor Scop.,Phyllobius roboretanus Gredler _,1,carvalheiro 2008,Rosaceae,Rosales,Curculionidae,Coleoptera
Bombus,Rosa,Rosa arvensis Huds.,Bombus hortorum L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Bombus,Rosa,Rosa arvensis Huds.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Meligethes,Crataegus,Crataegus monogyna Jacq.,Meligethes aeneus Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Bombus,Rubus,Rubus fruticosus L.,Bombus lapidarius L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Melangyna,Cotoneaster,Cotoneaster franchetti Bois * ¥,Melangyna umbellatarum Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Syrphidae,Diptera
Meligethes,Rubus,Rubus fruticosus L.,Meligethes aeneus Fabricius,1,carvalheiro 2008,Rosaceae,Rosales,Nitidulidae,Coleoptera
Mordellistena,Rubus,Rubus fruticosus L.,Mordellistena neuwaldeggiana Panzer,1,carvalheiro 2008,Rosaceae,Rosales,Mordellidae,Coleoptera
Apis,Rubus,Rubus fruticosus L.,Apis mellifera L.,1,carvalheiro 2008,Rosaceae,Rosales,Apidae,Hymenoptera
Vespula,Gallium,Gallium verum L.,Vespula vulgaris L.,1,carvalheiro 2008,Rubiaceae,Gentianales,NA,Hymenoptera
Myrmica,Gallium,Gallium verum L.,Myrmica lobicornis Nylander,1,carvalheiro 2008,Rubiaceae,Gentianales,Formicidae,Hymenoptera
Formica,Gallium,Gallium verum L.,Formica fusca L. _,1,carvalheiro 2008,Rubiaceae,Gentianales,Formicidae,Hymenoptera
Paragus,Gallium,Gallium verum L.,Paragus haemorrhous Meigen,1,carvalheiro 2008,Rubiaceae,Gentianales,Syrphidae,Diptera
Episyrphus,Gallium,Gallium verum L.,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Rubiaceae,Gentianales,Syrphidae,Diptera
Discomyza,Gallium,Gallium verum L.,Discomyza incurva Fall‚n,1,carvalheiro 2008,Rubiaceae,Gentianales,Ephydridae,Diptera
Trachysiphonella,Gallium,Gallium verum L.,Trachysiphonella sp1,1,carvalheiro 2008,Rubiaceae,Gentianales,Chloropidae,Diptera
Meligethes,Verbascum,Verbascum thapsus L.,Meligethes solidus Kugelann,1,carvalheiro 2008,Scrophulariaceae,Lamiales,Nitidulidae,Coleoptera
Bombus,Melampyrum,Melampyrum pratense L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Scrophulariaceae,Lamiales,Apidae,Hymenoptera
Bombus,Buddleja,Buddleja davidii Franchet*,Bombus pascuorum Scopoli,1,carvalheiro 2008,Scrophulariaceae,Lamiales,Apidae,Hymenoptera
Halictus,Verbascum,Verbascum thapsus L.,Halictus tumulorum L.,1,carvalheiro 2008,Scrophulariaceae,Lamiales,Halictidae,Hymenoptera
Anthonomus,Solanum,Solanum dulcamara L.,Anthonomus rubi Herbst,1,carvalheiro 2008,Solanaceae,Solanales,Curculionidae,Coleoptera
Bombus,Solanum,Solanum dulcamara L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Solanaceae,Solanales,Apidae,Hymenoptera
Episyrphus,Solanum,Solanum dulcamara L.,Episyrphus balteatus DeGeer,1,carvalheiro 2008,Solanaceae,Solanales,Syrphidae,Diptera
Oedemera,Centranthus,Centranthus ruber (L.) DC. * ¥,Oedemera nobilis Scopoli,1,carvalheiro 2008,Valerianaceae,Dipsacales,Oedemeridae,Coleoptera
Meligethes,Centranthus,Centranthus ruber (L.) DC. * ¥,Meligethes solidus Kugelann,1,carvalheiro 2008,Valerianaceae,Dipsacales,Nitidulidae,Coleoptera
