"","Network","Reference","clim","ele","jac.ord","bw","z","sei"
"186","M_PL_016_00","Herrera_1988","C",30,"Diptera_Hymenoptera","b",0.0151071228825979,0.0445779823475257
"187","M_PL_007_00","Dicks_etal_2002","C",39,"Diptera_Hymenoptera","b",0.197131677258767,0.204316214514186
"188","Bartomeu_BA","Bartomeus_etal_2008","C",74,"Diptera_Hymenoptera","b",-0.572739287664209,0.421613145063299
"189","Bartomeu_M1","Bartomeus_etal_2008","C",74,"Diptera_Hymenoptera","b",-1.26007384538756,0.397963425762953
"190","Bartomeu_MI","Bartomeus_etal_2008","C",74,"Diptera_Hymenoptera","b",-0.872989340073131,0.914206125780503
"191","carvalheiro","Carvalheiro_2008","C",79,"Diptera_Hymenoptera","b",-0.000674721244074203,0.0390834421842898
"192","M_PL_004_00","Barrett_Helenurm_1987","D",107,"Diptera_Hymenoptera","b",-0.637762490228986,0.14525587397794
"193","M_PL_015_00","Petanidou_1991","C",118,"Diptera_Hymenoptera","b",-0.3550141785479,0.0171773818657535
"194","ilha_das_vl","Valeria_Trivellone","C",136,"Diptera_Hymenoptera","b",-0.801700280922067,0.591003883841317
"195","M_PL_014_00","Hocking_1968","E",250,"Diptera_Hymenoptera","b",-0.603796152107861,0.0732959563887757
"196","M_PL_020_00","Kevan_1970","E",250,"Diptera_Hymenoptera","b",-0.769196697046151,0.059637646269408
"197","M_PL_010_00","Elberling_Olesen_unpubl","E",261,"Diptera_Hymenoptera","b",0.221404782722371,0.0610260237345276
"198","M_PL_009_00","Elberling_Olesen_1999","E",1009,"Diptera_Hymenoptera","b",-0.217993366155734,0.0262829104805881
"199","M_PL_012_00","Olesen_unpubl","C",1193,"Diptera_Hymenoptera","b",0.430550973519192,0.0048796391717254
"200","M_PL_013_00","Ollerton_etal_2003","C",1448,"Diptera_Hymenoptera","b",-0.00803899384905433,0.142142650401671
"201","lararomer16","LaraRomero_etal_2016","C",1914,"Diptera_Hymenoptera","b",-0.514642296437541,0.0819542339255186
"202","M_PL_008_00","Dupont_etal_2003","C",2011,"Diptera_Hymenoptera","b",0.00574369106476105,0.0958444661870605
"203","Caradonna14","Caradonna_etal_2017","D",2913,"Diptera_Hymenoptera","b",0.152964438189638,0.175753010426283
"204","Fang_Huang1","Fang_Huang_2016","C",3342,"Diptera_Hymenoptera","b",-0.328332079467663,0.0729366240263506
"205","Fang_Huang8","Fang_Huang_2016","C",3342,"Diptera_Hymenoptera","b",-0.597112439026912,0.065470330222413
"206","Fang_Huang9","Fang_Huang_2016","C",3342,"Diptera_Hymenoptera","b",-0.383987723459228,0.0570852440460238
"207","M_PL_001_00","Arroyo_etal_1982","E",3363,"Diptera_Hymenoptera","b",-0.123464049808777,0.117409023658885
"208","M_PL_002_00","Arroyo_etal_1982","E",3363,"Diptera_Hymenoptera","b",0.135783557193238,0.0695401422042906
"209","M_PL_005_00","Clements_Long_1923","D",4241,"Diptera_Hymenoptera","b",0.0232155208799381,0.0336813813182271
"210","M_PL_006_00","Dicks_etal_2002","C",2,"Diptera_Lepidoptera","b",-1.32840786868102,0.0943842871264869
"211","M_PL_017_00","Memmott_1999","C",9,"Diptera_Lepidoptera","b",-0.94161327206058,0.299275261481316
"212","M_PL_016_00","Herrera_1988","C",30,"Diptera_Lepidoptera","b",-0.124626956225164,0.044040427841514
"213","M_PL_007_00","Dicks_etal_2002","C",39,"Diptera_Lepidoptera","b",-0.309065733877084,0.207464160104846
"214","Bartomeu_BA","Bartomeus_etal_2008","C",74,"Diptera_Lepidoptera","b",0.531941319982532,0.00186472798033962
"215","Bartomeu_M1","Bartomeus_etal_2008","C",74,"Diptera_Lepidoptera","b",-0.302123388643989,0.470408103075689
"216","Bartomeu_M3","Bartomeus_etal_2008","C",74,"Diptera_Lepidoptera","b",0.626558277681821,0.0238621903564774
"217","Bartomeu_MI","Bartomeus_etal_2008","C",74,"Diptera_Lepidoptera","b",-0.596195633920538,0.524495422565117
"218","carvalheiro","Carvalheiro_2008","C",79,"Diptera_Lepidoptera","b",0.0801930408727069,0.0347707443276434
"219","M_PL_004_00","Barrett_Helenurm_1987","D",107,"Diptera_Lepidoptera","b",-0.751406637716157,0.164922490729898
"220","M_PL_015_00","Petanidou_1991","C",118,"Diptera_Lepidoptera","b",-0.164857439338731,0.017995914046259
"221","ilha_das_vl","Valeria_Trivellone","C",136,"Diptera_Lepidoptera","b",0.400542536271857,0.124669756565397
"222","M_PL_014_00","Hocking_1968","E",250,"Diptera_Lepidoptera","b",-0.973439036232209,0.0553417067710396
"223","M_PL_020_00","Kevan_1970","E",250,"Diptera_Lepidoptera","b",-0.540169852522441,0.0359791496788954
"224","M_PL_010_00","Elberling_Olesen_unpubl","E",261,"Diptera_Lepidoptera","b",0.120826603143094,0.0344565069890813
"225","benadi_14_5","Benadi_etal_2014","C",544,"Diptera_Lepidoptera","b",0.0721189270001006,0.0212246062637389
"226","M_PL_011_00","Olesen_etal_2002","A",565,"Diptera_Lepidoptera","b",0.183642043705662,0.315947297319005
"227","benadi_14_4","Benadi_etal_2014","C",799,"Diptera_Lepidoptera","b",-0.0485889104492955,0.0253755510517478
"228","benadi_14_6","Benadi_etal_2014","D",852,"Diptera_Lepidoptera","b",-0.255658874562734,0.0432384073340762
"229","benadi_14_1","Benadi_etal_2014","C",917,"Diptera_Lepidoptera","b",-0.0422444618109093,0.0213270427228626
"230","benadi_14_2","Benadi_etal_2014","D",957,"Diptera_Lepidoptera","b",-0.0600334131649406,0.0250930712611725
"231","M_PL_009_00","Elberling_Olesen_1999","E",1009,"Diptera_Lepidoptera","b",-0.203575122392908,0.0401793531767071
"232","M_PL_012_00","Olesen_unpubl","C",1193,"Diptera_Lepidoptera","b",-0.0334771187865505,0.0513454378458297
