"","Network","Reference","clim","ele","jac.ord","bw","z","sei"
"233","benadi_14_3","Benadi_etal_2014","D",1352,"Diptera_Lepidoptera","b",-0.281546524308707,0.0374410921341066
"234","M_PL_013_00","Ollerton_etal_2003","C",1448,"Diptera_Lepidoptera","b",-0.546174575053646,0.369275732313407
"235","lararomer16","LaraRomero_etal_2016","C",1914,"Diptera_Lepidoptera","b",-0.0968653846744763,0.0287675217897329
"236","M_PL_008_00","Dupont_etal_2003","C",2011,"Diptera_Lepidoptera","b",-0.145266902119087,0.114681549685502
"237","Caradonna14","Caradonna_etal_2017","D",2913,"Diptera_Lepidoptera","b",-0.775313321839844,0.115717585560403
"238","Fang_Huang1","Fang_Huang_2016","C",3342,"Diptera_Lepidoptera","b",0.0380285980337299,0.0344172228381557
"239","Fang_Huang8","Fang_Huang_2016","C",3342,"Diptera_Lepidoptera","b",0.0771987637816248,0.0374911175795061
"240","Fang_Huang9","Fang_Huang_2016","C",3342,"Diptera_Lepidoptera","b",0.0742025339377079,0.0244422524977879
"241","M_PL_001_00","Arroyo_etal_1982","E",3363,"Diptera_Lepidoptera","b",0.0384747668059034,0.0557301770490806
"242","M_PL_002_00","Arroyo_etal_1982","E",3363,"Diptera_Lepidoptera","b",-0.0702532804500615,0.0750262461800244
"243","M_PL_003_00","Arroyo_etal_1982","E",3363,"Diptera_Lepidoptera","b",0.422758350595756,0.0142575792100327
"244","M_PL_005_00","Clements_Long_1923","D",4241,"Diptera_Lepidoptera","b",-0.00406258077364615,0.0260126185370134
"245","M_PL_016_00","Herrera_1988","C",30,"Hymenoptera_Lepidoptera","b",-1.43148947032575,0.0671647644645195
"246","M_PL_007_00","Dicks_etal_2002","C",39,"Hymenoptera_Lepidoptera","b",-0.0150792598035357,0.312919723274185
"247","Bartomeu_BA","Bartomeus_etal_2008","C",74,"Hymenoptera_Lepidoptera","b",-1.65170073615001,1.29804096691178
"248","Bartomeu_M1","Bartomeus_etal_2008","C",74,"Hymenoptera_Lepidoptera","b",0.579357621214067,0
"249","Bartomeu_MI","Bartomeus_etal_2008","C",74,"Hymenoptera_Lepidoptera","b",0.508346048617063,0.00645759749133267
"250","carvalheiro","Carvalheiro_2008","C",79,"Hymenoptera_Lepidoptera","b",-0.0256965896481753,0.063433959645936
"251","M_PL_004_00","Barrett_Helenurm_1987","D",107,"Hymenoptera_Lepidoptera","b",-0.606533460492574,0.215130836886453
"252","M_PL_015_00","Petanidou_1991","C",118,"Hymenoptera_Lepidoptera","b",-0.450600296477247,0.0333947618837619
"253","ilha_das_vl","Valeria_Trivellone","C",136,"Hymenoptera_Lepidoptera","b",-0.17919304968901,0.461176871890188
"254","M_PL_014_00","Hocking_1968","E",250,"Hymenoptera_Lepidoptera","b",-0.426550191031976,0.142292475091158
"255","M_PL_020_00","Kevan_1970","E",250,"Hymenoptera_Lepidoptera","b",-0.206024702445112,0.0794923855949808
"256","M_PL_010_00","Elberling_Olesen_unpubl","E",261,"Hymenoptera_Lepidoptera","b",0.303512111425068,0.124362256717869
"257","M_PL_009_00","Elberling_Olesen_1999","E",1009,"Hymenoptera_Lepidoptera","b",-0.558390724225766,0.132531580162056
"258","M_PL_012_00","Olesen_unpubl","C",1193,"Hymenoptera_Lepidoptera","b",-0.524471823998566,0.298795768335551
"259","M_PL_013_00","Ollerton_etal_2003","C",1448,"Hymenoptera_Lepidoptera","b",0.306627729462441,0.131356552105812
"260","lararomer16","LaraRomero_etal_2016","C",1914,"Hymenoptera_Lepidoptera","b",-0.367716793367236,0.0544471263241826
"261","M_PL_008_00","Dupont_etal_2003","C",2011,"Hymenoptera_Lepidoptera","b",0.573392165166111,0.0953261304735952
"262","Caradonna14","Caradonna_etal_2017","D",2913,"Hymenoptera_Lepidoptera","b",0.294385626703393,0.124739732464911
"263","Fang_Huang1","Fang_Huang_2016","C",3342,"Hymenoptera_Lepidoptera","b",0.313873884970091,0.0206813294469179
"264","Fang_Huang8","Fang_Huang_2016","C",3342,"Hymenoptera_Lepidoptera","b",0.250644949318404,0.0417624391047052
"265","Fang_Huang9","Fang_Huang_2016","C",3342,"Hymenoptera_Lepidoptera","b",0.20296905377774,0.0606989894942132
"266","M_PL_001_00","Arroyo_etal_1982","E",3363,"Hymenoptera_Lepidoptera","b",-0.558122756398732,0.190155964727657
"267","M_PL_002_00","Arroyo_etal_1982","E",3363,"Hymenoptera_Lepidoptera","b",-0.0616617619936489,0.117946264460534
"268","M_PL_005_00","Clements_Long_1923","D",4241,"Hymenoptera_Lepidoptera","b",-0.181766515173116,0.0352182828275483
"269","M_PL_006_00","Dicks_etal_2002","C",2,"Syrphidae_Coleoptera","b",-2.07304620122823,0.267860316818139
"270","M_PL_016_00","Herrera_1988","C",30,"Syrphidae_Coleoptera","b",0.270836994322031,0.0318506166463145
"271","Bartomeu_FR","Bartomeus_etal_2008","C",74,"Syrphidae_Coleoptera","b",0.545190806353807,0.027412019867538
"272","Bartomeu_M3","Bartomeus_etal_2008","C",74,"Syrphidae_Coleoptera","b",-0.986730744317619,0.445642160817311
"273","Bartomeu_MI","Bartomeus_etal_2008","C",74,"Syrphidae_Coleoptera","b",-0.743436624404605,0.614188161667597
"274","carvalheiro","Carvalheiro_2008","C",79,"Syrphidae_Coleoptera","b",-0.0642589878213049,0.0410863091568981
"275","M_PL_018_00","Olesen_unpubl2","C",83,"Syrphidae_Coleoptera","b",-0.0197950838082793,0.053831227058143
"276","M_PL_004_00","Barrett_Helenurm_1987","D",107,"Syrphidae_Coleoptera","b",-1.27422329993836,0.0862123093324951
"277","M_PL_015_00","Petanidou_1991","C",118,"Syrphidae_Coleoptera","b",-0.164461239414254,0.0280378321936448
"278","M_PL_014_00","Hocking_1968","E",250,"Syrphidae_Coleoptera","b",-1.79330580767615,0.890060644298072
